Headline,Attention Score
The NRA's CEO Attacks The NRA's Biggest Fan For Being Unreasonable,0
"If These Americans Scare You, It Might Be Time To Reprioritize Your Life",1
Can We Please Have An Adult Conversation About This?,0
"When Your Mom Catches You Smoking In The Bathroom, Remember This:",1
What A Soap Opera Is Like In A Developing Country,0
"If You Watch This And Make It Through With Dry Eyes, Let's Not Be Friends",1
Aaron Swartz Said 'The Revolution Will Be A/B Tested' To This Woman. He Was Right.,0
Fox News Haters Will Love This Poll Result. So Will Fox News.,1
Here's 2012's Most Trusted Media Outlet. And Least Trusted Media Outlet. (They're The Same.),0
"Americans Are Better Than Any Other Country At This One, Totally F*cked Up Thing",1
Are You Genetically Predisposed To Going To Prison?,0
669 Jewish Children Were Saved From The Holocaust By A Single Man. This Is How They Thanked Him.,1
The Man Who Saved Children Destined For Concentration Camps Just Got Properly Thanked,0
CNN Pundit Politely Tells Anti-Gay Interview Guest That He Is An Idiot,1
Don't Let Gays In Boy Scouts!' Says A Man Who Knows Nothing About The Boy Scouts,0
Can You Guess What Happens 34 Times A Day In America?,1
This Life-Changing Event Happens To 34 Americans Every Day. Can You Guess What It Is?,0
"WTF New York? No One Should Ever, EVER Make Art Like This.",1
Here Is Some Art That You Won't Want Life To Imitate,0
"Forget Crop Circles, The U.S. Military Does Even Weirder Stuff In The Middle Of Nowhere",1
These Cool-Looking Things DEFINITELY Don't Call To Mind A Hellish War The U.S. Wages With Robots,0
Mark Zuckerberg Wants To Hire You. You Just Have To Learn This One Thing.,1
How Kids Can Convince Their Parents That They Should Spend More Time In Front Of The Computer,0
"See The Teacher’s Resignation Video That 280,000 People Have Already Watched",1
"With A Videotaped Resignation, This Teacher Angrily Busts An Already Busted Educational System",0
This School Totally Understands The Difference Between Learning And Education,1
Would You Let These Guys Design A School?,0
Just One More Very Good Reason To Raise The Minimum Wage,1
"In A Fight Between Minimum Wage And The Glass Ceiling, Everyone Loses",0
"An Unemployed Teen Walks 10 Miles To A Job Interview, But Gets Hired Before He Gets There",1
A Determined Teen Walks 10 Miles In The Snow To A job Interview. The Result Is Incredible.,0
Dumbledore Is Gay. Harry Potter Has This To Say.,1
"First He Was Harry Potter, Now He's Helping To End Teen Suicide",0
Watch A Lesbian Attack The Word 'Gay',1
"Acceptance And Tolerance Are 2 Different Things. One Changes The World, The Other Just Rots There.",0
I Can’t Believe This Is From A Television Show,1
Why You Should Treat Everyone Like Your Mother,0
15-Year-Old Bypasses The Awkward Teen Phase And Skips Straight To Genius,1
Just…Wow…Wow…Wow! Did I Say Wow Already?,0
¿Cómo Se Dice ‘Nada’ En Español?,1
"En Vez De ‘Sí Se Puede,’ Ya Es ‘Sí Se Shhhhhhhhh’?",0
Watch A Smart Guy Stump A Religious Bigot With Her Own Religion,1
Believe Homosexuality's An Abomination? Do I Ever Have A Daughter To Sell Into Slavery For You!,0
How To Disarm A Tea Partier With Nothing But Words,1
I Had More Inclusive Tea Parties Than This When I Was In My Terrible 2’s,0
A Woman Who Struggles To Speak Tells You A Story That’ll Rock Your World,1
The Best ‘First Time’ Story You’ll Ever Hear.,0
"What 99.5% Of people In America Will Never Experience, Despite The Hype",1
"By The Time You’re 18 In America You Would Have Seen 200,000 Murders",0
There's A New Pope? YAY! He Said Something Awful? BOO!,1
"Say What You Will About The New Pope, He Sure Doesn't Seem To Be A Fan Of Equality",0
"Every Time A Politician Tries To Defund Planned Parenthood, I Think Of This Brave Woman",1
This Brave Woman Has More Than Two Things To Get Off Her Chest,0
The Crazy Reason Fewer Americans Are Adopting,1
Why Is This A Political Story? I Just See Beautiful Kids.,0
Two Lesbians Raised A Son And Now He's Speaking Out Against The Boy Scouts,1
Do You Think The Boy Scouts Will Listen To 1.4 Million People?,0
Why Homophobia Is Not An Acceptable Life Choice,1
What Kind Of World Does Homophobia Create?,0
Teachers Aren't The Problem. They Are The Solution. And So Are You.,1
You Can Blame Teachers. You Can Blame Parents. You Can Blame Students. OR You Could Fix Things.,0
"I Expect This Kind Of Logic From My 4 Year Old, But From A Senator? Not So Much.",1
Senator Uses 2nd Grade Logic To Defend Not Doing Anything About Climate Change And Gets A Time Out,0
This NBA Star Got Really Angry When 2 Lesbians Got Married. He Had A Good Reason Though.,1
You Will Not Believe What This NBA Star Had To Say About Lesbians,0
"If You Think Twilight Was An Awesome Movie, Please Never Click This",1
"WANTED: Angsty, Mentally Abusive, Controlling, Sexist Teen Vampire For Long Stakes On The Beach ",0
The Most Powerful Photo Of Martin Luther King Jr. I've Ever Seen,1
The Most Powerful Memories Of Martin Luther King Jr.,0
Gabby Giffords Says More In Her Struggle With 72 Words Than Most People Do In A Lifetime,1
Gabby Giffords Returns To Congress To Say 72 Incredibly Moving And Powerful Words,0
"This Guy Endured An Incredible Trauma. Now, At 90, He's Thriving. Here's His Secret.",1
Meet One Of The Most Incredible 90-Year Olds Living Today,0
The Most Ingenious Way To Come Out To Your Parents In The History Of The Universe,1
The Most Inventive Way To Come Out To Your Parents In The History Of The Universe,0
What Would Cause A Group Of 8-Year-Olds To Riot?,1
Why Do Our Children Have To Fight Our Battles? Because We're Not Doing It.,0
The Odds Say That Some Guys In The NFL Are Gay. Here's One Of Them.,1
"That Guy Who Just Intercepted That Pass? Yeah, He's Gay.",0
Imagine Wanting To Kill Everything That Lives In The Ocean. Now That Dream Is A Reality.,1
What Kind Of Animal Is 10% Tuna?,0
"If Conservatives Knew The Truth About Ronald Reagan, They Probably Wouldn't Invoke His Name So Much",1
"So Ronald Reagan, Gerald Ford And Jimmy Carter Walk Into An NRA Bar...",0
This Is Not An Acceptable Solution To Child Abuse,1
I Don't Think Toy Soldiers Are Going To Cut It,0
CHART: Why Nearly Half Of Today's Kids Won't Be Able To Look At Their Parents' Wedding Photos,1
CHART: What Conservatives Wish Liberals Understood About The American Family,0
Valentine's Day Has Gone From Murder And Violence To Chocolates And Spending,1
Animal Sacrifice? Hitting Women With Pieces Of The Dead Animal? The OLD Valentine's Day Sucks!,0
This Woman's Eyes Burn When She Drinks Water. Which Would Be Weird If Not For–,1
"Would You Let Your Kids Drink This? Apparently, A Governor Is Game To Consider It.",0
This Is What A Video Looks Like When Thousands Of People Make It Together,1
"Videos Are Hard To Make. Unless 10,000 People Help You Out.",0
This Is What Happens When We Kill Without Caring,1
How Drone Strikes Create More Terrorists Than They Kill,0
The Military Budget Has Just Shot The Science Budget In The Head,1
I Wish The Government At Least PRETENDED To Care About Something Other Than Military Spending,0
The End Of The Nature Vs. Nurture Debate,1
"If You're Reading This Sentence Right Now, You Probably Won The Lottery Of Life",0
Here's The Chart That Most Republicans DON'T Want You To See,1
"Hey There, GOP - You Look Mighty Uncomfortable On That Fence",0
You Won't Believe What This Cop Did When The Cameras Weren't Rolling,1
"This Guy Had 99 Problems, But Then A Cop Gave Him A 100",0
"Meet One Of The 11,000,000 People Who Might Make You Uncomfortable, But Really Shouldn't",1
This Is One Of The Most Patriotic Videos About Being An American I've Ever Seen. Even If He's Not American.,0
Colin Powell's Quote About Gay Marriage Is Chock-Full Of Common Sense And Decency,1
Former Member Of The Bush Administration Comes Down On The Right Side Of History,0
Caught On Tape: Our Planet Is Literally Falling Apart,1
What Made This Glacier Retreat More In 10 Years Than It Did In A Century?,0
Possibly The Worst Thing That Can Be Done To A Child,1
The Lifeless Body Is A Metaphor,0
The Future Of Humanity Relies On Women Doing This,1
WTF: Women Are 50% Of The Population But They're Only 20% In The Computer Lab?,0
"Afghanistan In The 1960s. Prepare To Be Very, Very Surprised.",1
The Afghanistan That We Know Today Looks NOTHING Like The Afghanistan From The 1960s,0
10 Reasons Why A List Of 10 Reasons Why A List Of 10 Reasons Why A List Of 10 Reasons Why A List Of,1
LIST: 9.999... Reasons Why AAAAA MATH IS CRAZY,0
The Google Maps Revelation That Is Blowing My Mind,1
The Google Maps Version Of Journalism. It's Pretty Awesome.,0
The Most Sensible Definition Of Marriage I've Ever Heard,1
Marriage Is Where A Man And A Woman Fight All The Time,0
"Dick Cheney, Laura Bush, and Colin Powell Just Hopped In Bed With Barack Obama",1
Is This An Ad Featuring Democrats And Republicans Agreeing On Something Super Important?,0
Watch 1 Of The Best TV Shows Ever Give Liberals Their Swagger Back,1
Return Of The L Word,0
9 Of 10 People Who Go Here Die. Some Of Them Shouldn't Have Gone In The First Place.,1
How Many Governors Have Killed An Innocent Man? The Answer May Surprise You.,0
10 Amazing Honeymoon Spots That May Not Last As Long As Your Marriage,1
10 Amazing Honeymoon Spots That May Not Last As Long As The Average Marriage,0
A Few Things That Are Scarier Than Putting A Needle In Your Arm,1
Think Needles Are Scary?  I Can Think Of A Few Things That Are Scarier.,0
"This Is How The U.S. Would Look, If It Turned All Its Money Into Land ",1
Why Playing Real Life Monopoly Is More Like A Game Of 'Sorry!’,0
I Thought God Hated Women Until I Saw This.,1
God Is On The Phone. She Doesn't Sound Happy.,0
Why Would Anyone Want To Put George Takei In A Prison Camp?,1
Remember That One Time The U.S. Military Put George Takei In A Prison Camp Because Of His Race?,0
Why Is CNN Getting Rid Of Its Best Journalist?,1
You Know That One Actual Journalist CNN Has? They're Letting Her Go.,0
How To Take Down A Little Word With A Lot Of Power,1
Why Everybody Should Have A Personal Jihad,0
Trayvon Martin Died Exactly 1 Year Ago. What Do We Have To Show For It?,1
"It Doesn't Really Feel Like A Year, Does It?",0
We're Shelling Out $83 Billion A Year For This?,1
"If Big Banks Are So Indispensable, Why Can't They Make Money On Their Own? ",0
Are You Falling For The Biggest Trick Designed To Get Your Cash?,1
"Introducing ‘50 Shades Of Green’, In Which Powerful Corporations Have Their Way With The Environment",0
America's Old Nemesis Rears Its Ugly Head,1
"When People Are Hungry, They Die. Can We Get 50 Million Americans Off Death Row, Please?",0
What Would It Take For You To Never Use A Plastic Bottle Again?,1
Hopefully This Video Won't Make Any Sense In The Future — Not That It Makes Much Sense Now,0
A Politician Attacks Gay People Using Pretend Science. Real Science Corrects HIm.,1
The Internet Hereby Welcomes The Latest Politician To Attack Gay People To Factcheckistan,0
These Gay Dads Wanted To Give A Speech On Marriage Equality And What They Got Instead Was Hilarious,1
The One Time I'm OK With A Heckler Ruining A Speech Advocating Marriage Equality,0
This Gay Mormon Spent 1 Year Recording His Friends Reacting To Him Coming Out. How'd It Go?,1
This Guy Is Mormon. He's Also Gay. How Will His Friends And Family React When He Tells Them?,0
"Just This Once, Money Actually Is The Answer",1
"Don't Worry, The Good Guys Get Super PACs Too",0
Bill Nye Is Willing To Make A Deal With People Who Don't Believe In Evolution,1
Bill Nye Isn't Worried About People Who Don't Believe In Evolution. He's Worried About Their Kids.,0
One Of The Most Racist Things A Supreme Court Justice Has Ever Said,1
The One Where A Supreme Court Justice Acts Like An Internet Troll,0
These Are Some Of The Toughest (But Important) Photos I’ve Seen This Week,1
These Wolves Are About To Find Out What Happened To The Dodo Bird,0
This Is What Happens To Straight Kids When Gay Parents Get Married?,1
You Will Not Believe What I Heard Gay Marriage Is Going To Do To Straight People,0
Two Abortion Protesters Decided To Yell At This Guy's Wife. They Probably Shouldn't Have Done That.,1
Emotional Husband’s Powerful Confrontation With Abortion Protestors,0
Methinks The Anti-Gay Politician Doth Protest Too Much,1
Why Does It Take A Scandal To Get People To Be Who They Are?,0
Someone Wants To Tell You You’re Beautiful. Let Them!,1
Join The Movement That Thinks You’re Beautiful,0
Why The U.S. Healthcare System Makes Even Less Sense Than You Thought,1
Ever Wonder How Those Exorbitantly High Healthcare Costs Get So Exorbitant To Begin With?,0
How Poor People Became The McDonald’s Hamburger Meat Of The American Economy,1
"Remember The Military Industrial Complex? It Grew A Newer, Creepier Head, And It's Coming For You.",0
"Gross, Is That Blood? Nah, It's Just Paint. THAT'S Blood.",1
Remember That Time We Got Shot With Tear Gas? I Painted It.,0
One Man Destroys The Need For Paper Money In A Single Interview,1
Find Out Why You're Worth At Least $100 An Hour,0
This Is What Happens When A Journalist Forces A Banker To Actually Answer A Question,1
Irish Journalist Goes Old School On An Evasive Banker,0
Here’s The Ad That Muslims Across America Wish You Would See,1
A Bunch Of People Decided To Fight Hate With Beautiful Art,0
The Unbelievable Loophole In U.S. Child Labor Law,1
Meet The Kids Whom U.S. Child Labor Laws Failed To Protect,0
Which Current War Has The United States Been Losing Since The 1970s?,1
Drug War Update: The Drugs Won,0
This Really Offends Me About Child Offenders,1
"Where Will These 2,570 Kids All Spend Their 50th Birthday?",0
What Happens When You Suddenly Identify With The Unpopular Kid At The Back Of The Class? This.,1
Watch The Unpopular Kid At The Back Of The Class Become Poetry,0
You Call It Food. I Call It Poison.,1
Why Powdered Doughnuts Are The New Crack Cocaine,0
MUST WATCH: A Politician Loses It And Restores My Faith In Humanity,1
A Politician Asks For Forgiveness And Genuinely Means It,0
Does The Label On The Left Confuse You? Here’s Why.,1
What If Our Food Labels Didn’t Confuse The Heck Out Of Us?,0
Here’s Why We All Really Need To Be Tipping At Least 20%,1
Would You Work This Hard For $5 An Hour? Plus Tips?,0
Here’s One Way To Humiliate A Bunch Of Bigots. And It’s Hilarious.,1
The Time Talk Radio Turned On It’s Racist Listeners. And It Was Amazing.,0
The Crazy-High Cost Of Being A Working Parent,1
20 States Where A Year Of Child Care Costs More Than A Year Of College,0
Half Of All The World’s Diseases Come From This One Substance That You Definitely Ingested Today,1
The Guy Behind The Segway Has Invented Something New. And It’s Way Cooler Than A Scooter.,0
Meet A Woman Who'll Make You Furious That She Calls Herself An American,1
Meet The Woman Who Gave Mitt Romney His Stance On Immigration,0
"If You Think 1 Canadian Dude Is Actually 180,000 Hispanic People, You Might Be Kinda Sorta Racist",1
Why Martin Luther King Jr. Would Still Be Fighting For Voting Rights If He Were Alive Today,0
The Schoolhouse Rock Parody That Is Equal Parts Painfully Accurate And Funny,1
"Learning About The Government Is Too Depressing For Kids, Even When It Looks Like This",0
You Won't Believe What Saved The Lives Of 11 Children In 11 Seconds In Sandy Hook,1
"11 Kids, 11 Seconds, And 1 Mind Blowing Hopeful Fact About The Sandy Hook Tragedy",0
Think This Actress Is Just Another Pretty Face? HAH! So Wrong.,1
I Wish More Celebrities Were This Open And Honest About Feminism,0
"There's Something Rotten In Your Fridge, But It's Made Of Plastic",1
It's Not Easy To Live Sustainably. It IS Easy To Just Do This ONE Thing.,0
Just One More Sad Example Of What Kind Of Non-News 24 Hour News Networks Consider 'Newsworthy',1
OF COURSE The Media Stopped Covering The Sequester As Soon As It Started To Really Matter,0
I Bet This Man Has Embarrassed A Few Police Officers Who Have Tried To Arrest Him,1
The Professor Of Dirt Is About To Prove Just How Dirty Your City Is,0
Remember Those Troubled Kids In School? Turns Out They Weren't Actually Troubled.,1
Teamwork And Leadership Are Overrated — There Is Definitely An 'I' In 'Team',0
The Man In The Sweater Who Never Mentioned The Most Important Thing In His Life,1
Is It Possible To Teach Morality Without Talking Religion? Everyone's Favorite Minister Thought So.,0
You Haven't Been Allowed To Hear This American's Voice For Almost 3 Years; Here's What He Has To Say,1
Meet The Nobel Peace Prize Nominee Who Has Been Jailed Without A Trial For Years — In The U.S.?!,0
Watch A Feminist Senator Teach A U.S. General How To Do His Damn Job,1
Watch A US Senator Slap Some Sense Into The US Military,0
A Grandstanding Senator Decided To Tell A Cop How To Do His Job. Big Mistake.,1
Grandstanding Senator's NRA Talking Points No Match For Actual Law Enforcement Experience,0
Want To See Fox News Lose All Its Credibility In 93 Seconds?,1
"When Fox News Says This 3-Word Phrase, Kindly Turn Off The Television (It's Not ""Fair And Balanced"")",0
WINNER: The Most Depressingly Dumb Book Cover of 2013!,1
"Sexy, Sexy, Sex: Now Coming To Classic Literature Near You",0
The Taliban Just Got Owned By A 15-Year-Old Girl,1
The Taliban Tried To Silence This 15-Year-Old Girl By Shooting Her In The Head. It Didn't Work.,0
The Straight Woman's Worst Nightmare Just Got Real Lesbiany,1
The Scary Thing About Lesbians,0
It's Disgusting What People Consider Beautiful Nowadays,1
Killing An Elephant To Make A Trinket Is Beyond Stupid,0
This Future Map Of The United States Is Way Cooler Than Any Current Map Of The United States,1
MAP: This Is What Americans Look Like On Speed,0
What Would Happen If The U.S. Eliminated The Penny? Let's Ask A Country That Actually Did.,1
Why Is Canada Deliberately Getting Rid Of Good Luck?,0
WATCH: That Awkward Moment When Anti-Immigrant Protesters Realize They're Illegal Too,1
That Awkward Moment When Anti-Immigrant Protesters Realize They're Illegal Too,0
This Is The Most Depressing Version Of Google Maps I’ve Ever Seen,1
MAP: What Does Income Inequality Look Like In Your City?,0
This Renewable Energy Idea Is So Obvious I Smacked My Face,1
Is This Alt Energy Generator Too Close To A Human Hamster Wheel?,0
1 In 3 Women Need You To Watch This.  The Other 2 In 3 Women Would Prefer You To Watch It Too.,1
A World Leader Would Like You To Do Something Other Than Celebrate Valentine's Day This Year,0
"If You Watch One Moment From The State Of The Union, Make It This One",1
"Like The President Said, They Deserve A Vote",0
"If You’re Afraid Of The Unknown, You’ve Already Lost",1
Are You Curious Enough To Eat A Worm?,0
The Cutest Way EVER To Tell Someone They Should Be Ashamed Of Having Sexual Organs,1
"Playtex Runs Ads Targeting Middle School Boys, Because, Ya Know, Dudes Need Tampons?",0
There's Some Things About Women That I Didn't Think I'd Want To Know. This Is One Of Them.,1
Do We Need Laws To Protect Women From Violence? Ask This Chart.,0
"People Get Tired Of Hearing The Word Awesome. But In My Defense, Seriously, This Kid Is Awesome.",1
"What Do Robert Frost, Space Jam, And Journey Have In Common? Just Ask The President.",0
Pissed That A Girl Won't Sleep With You? You're Probably Not As 'Nice' As You Think.,1
Attention 'Nice Guys' Of The Internet: No One Owes You Sex,0
Watch A Real Person Correct An Elected Official On How Democracy Should Actually Function,1
2 Members Of Congress Debate Whether Accepting Legalized Bribes Is Cool. Righteous Honesty Prevails.,0
Why Oregon Just Became The Best State To Have Sex In,1
Having An Abortion? Better Move To Oregon.,0
WTF: Fox News Spends 4 Minutes Calling Wildly Successful Women Fat And Lazy,1
"Adele Just Won A Grammy, So Of Course Fox News Is Talking About How Fat She Is",0
The Truth About Angry Feminists,1
I'm Not Angry Because I'm A Feminist. I'm A Feminist Because I'm Angry.,0
The One Totally Stupid Thing That Will Decide The Fate Of Our Entire Economy,1
"Your Life Expectancy Is Lower Than Someone In Puerto Rico, South Korea, And Jordan.",0
Obama Doesn't Mince Words When It Comes To Gays In Boy Scouts,1
"If I Didn't Know Any Better, I'd Say Obama Is Tired Of The Boy Scouts Banning Gays",0
These Girls Have Seen Their Own Potential. They're Going To Do Amazing Things With It.,1
Bring Your Daughter To Work Day Just Got A 21st Century Upgrade,0
Artistic Depiction Of Climate Change Freaks The Heck Out Of People On The Street,1
This Art Project Will Make You Turn Your Head,0
Psychic Reveals His Greatest Trick. It's Actually Kind Of Terrifying.,1
This Psychic's 'Gift' Is About To Blow Your Mind,0
Talented Documentarian Makes Mushrooms Into The Most Fascinating Thing on The Planet For 2 Minutes,1
Talented Documentarian Makes Mushrooms Seem Like The Most Fascinating Thing On The Planet,0
"If This Video Goes Viral, The Internet Could Be In Huge Trouble",1
Just A Reminder To Stop Every Once In Awhile And Zoom In On The Flowers,0
Some Strange Things Are Happening To Astronauts Returning To Earth,1
Advice For Saving The Earth From Some Of The Only People Who Have Left It,0
Looking At This Map For 5 Seconds Will Change How You Think About Race,1
Cosmetics Salesmen Will Find This Map Very Helpful. Neo-Nazis Won't.,0
Bullies Called Him Pork Chop. He Took That Pain With Him And Then Cooked It Into This.,1
"If You Were Ever Bullied, I've Got Something Beautiful To Show You",0
Harry Potter's Last Great Spoiler Is One Warner Bros Will Do Anything To Protect,1
Meet Harry Potter’s Scary New Foe: The-Document-Which-Must-Not-Be-Read,0
The Most Amazing Act Of Heroism Ever Committed In Swim Trunks,1
WATCH: A Group Of Beachgoers Restore Your Faith In Humanity,0
"The Only Man In History With The Right To Say ""I Told You So"" To The Entire Planet",1
Nickola Tesla Exactly Predicted Our Energy Crisis 100 YEARS AGO,0
Take Your iPhone From Dead To 100% In 30 Seconds Using Science,1
FINALLY! A Battery I Can Throw In The Trash,0
You’ll Never Believe What These Adults Found In This Ball Pit,1
INSPIRING! Two Strangers Take Out Their False Teeth In A Ball Pit,0
WTF? Princeton Professor Profoundly Offended By Intellectuals,1
WATCH: Princeton Professor Profoundly Offended By Intellectuals,0
MAP: Definitive Proof That We Don’t All Live In The Same Democracy,1
A Detailed Map Proving That Florida Needs To Get Its Act Together,0
"Tom Felton Disarmed Dumbledore, Yet He Can Barely Watch This. Are You Stronger Than Him?",1
"When You Ask Tom Felton To Do This, His Face Does That",0
See A 17-Year-Old Girl’s Laser-Sharp And Laid Back Take-Down Of An Annoyingly Popular Reality Show,1
How Exactly Does Punishing Fat People Go With Your Pledge To Love Your Body?,0
Meet The Worst Spy Ever,1
Meet The Tackiest Creature In The Animal Kingdom,0
Watch A Diner Waitress Explain To A Wall Street Guy How Money Works In America,1
A Journalist Goes Undercover As A Waitress. Guess Which Job Was Harder?,0
College-Age Republicans Decide To Compromise In An Awesome Way,1
"These Republicans Have Officially Endorsed Gay Marriage. Sadly, They're Not The Ones In Power.",0
Elizabeth Warren Continues To Be The Senator We All Hoped She Would,1
Elizabeth Warren Shows The Big Banks What A Working Senator Looks Like,0
WATCH: The TEDxTalk That Knocked Me Down A Peg Or Two,1
What Your Reaction To Celebrity Gossip Says About You,0
A Hidden Camera Show Goes To Texas. They Did Not Expect To Find This.,1
A Hidden Camera Show Is Baffled When They Can't Find Any Bigots In Texas,0
The 3 Happiest Words In Many Parts Of The World Are The 3 Deadliest In Others,1
"In Some Countries, The Odds Are 50/50 Someone Wants To Kill You",0
9 Out Of 10 Americans Are Completely Wrong About This Mind-Blowing Fact,1
"Meet The Person Who Has No Clue How Money Really Works. Ok, Stop Looking In The Mirror Now.",0
"Ladies, Let Me Tell You What To Think About Women's History Month",1
"Ladies Need To Learn More About Women's History Month, So They Can Appreciate The Month We Gave Them",0
