Headline,Attentio Score
I Guarantee You'll Never See Any Of These Kids Interviewed On Fox,-4.187969822
Soledad O'Brien Clashes With Anti-Gay Interview Guest,-3.300433762
A Bunch Of Bullies Thought It Would Be Funny To Pummel This Kid. They Aren't Laughing Now.,-2.428622803
"Here's A Magazine Saying ""Sorry We're Not Sorry"" For Being Racist",-4.489177715
Those Idiots From “Jackass” Have Nothing On This Air Force Vet,-5.081404365
"A Very ""Shocking"" 98 Seconds. That Joke (Although Terrible) Will Make WAY More Sense After Watching.",-3.753485908
The Most Beautiful Way To Stop A Bully I've Ever Seen,-2.883605178
"This Cool And Nerdy Dad Is Doing Parenting For His Daughter So, So Right",-3.985922912
Meet The 13 Year-Old Who's Making Most Scientists Look Pretty Stupid,-3.502367311
When Did Sex Become A Sin? This Woman Can Tell You.,-3.339813801
A Joke About Male Genitalia That Even Hillary Clinton Would Laugh At,-3.59510036
Racists Spray-Paint A Comedian's Car. They Shouldn't Have Done That.,-3.376635146
The National Holiday We Used To Celebrate In November Until Thanksgiving Came Along,-5.175322603
The. Most Astounding Fact. EVER.,-2.858148323
Which Cities Will Be Completely Underwater In Less Than 100 Years?,-3.924669967
Love It: An NFL Player Who Genuinely Respects Women,-3.818369572
The CEO Of The NRA Attacks Himself In The Most Reasonable Super Bowl Ad Of 2013,-3.213397431
"If This Video Makes You Uncomfortable, Then You Make Me Uncomfortable",-3.344915456
"If These Americans Scare You, It Might Be Time To Reprioritize Your Life",-4.413471467
"When Your Mom Catches You Smoking In The Bathroom, Remember This:",-4.03433579
Fox News Haters Will Love This Poll Result. So Will Fox News.,-3.703902101
"Americans Are Better Than Any Other Country At This One, Totally F*cked Up Thing",-4.328851872
How Would A Lobbyist Describe His Job To A Child?,-4.823090819
669 Jewish Children Were Saved From The Holocaust By A Single Man. This Is How They Thanked Him.,-3.259408997
Can You Guess What Happens 34 Times A Day In America?,-3.954590265
"WTF New York? No One Should Ever, EVER Make Art Like This.",-3.792527979
"Forget Crop Circles, The U.S. Military Does Even Weirder Stuff In The Middle Of Nowhere",-3.261250237
Mark Zuckerberg Wants To Hire You. You Just Have To Learn This One Thing.,-3.001148292
"See The Teacher’s Resignation Video That 280,000 People Have Already Watched",-2.668325352
This School Totally Understands The Difference Between Learning And Education,-3.758785489
Just One More Very Good Reason To Raise The Minimum Wage,-4.108661066
"An Unemployed Teen Walks 10 Miles To A Job Interview, But Gets Hired Before He Gets There",-3.92703176
Dumbledore Is Gay. Harry Potter Has This To Say.,-4.120293614
Watch A Lesbian Attack The Word 'Gay',-3.554948381
I Can’t Believe This Is From A Television Show,-3.860088773
15-Year-Old Bypasses The Awkward Teen Phase And Skips Straight To Genius,-3.578260381
¿Cómo Se Dice ‘Nada’ En Español?,-5.970411138
Watch A Smart Guy Stump A Religious Bigot With Her Own Religion,-2.794869989
How To Disarm A Tea Partier With Nothing But Words,-3.169071448
A Woman Who Struggles To Speak Tells You A Story That’ll Rock Your World,-4.08122254
"What 99.5% Of people In America Will Never Experience, Despite The Hype",-4.152108645
There's A New Pope? YAY! He Said Something Awful? BOO!,-2.994019781
"Every Time A Politician Tries To Defund Planned Parenthood, I Think Of This Brave Woman",-4.472362877
The Crazy Reason Fewer Americans Are Adopting,-3.931131309
"BOOM, ROASTED: Here's Why You Don't Ask A Feminist To Hawk Your Sexist Product",-3.028061161
Two Lesbians Raised A Son And Now He's Speaking Out Against The Boy Scouts,-3.62097797
Teachers Aren't The Problem. They Are The Solution. And So Are You.,-4.322414232
"I Expect This Kind Of Logic From My 4 Year Old, But From A Senator? Not So Much.",-3.446105505
This NBA Star Got Really Angry When 2 Lesbians Got Married. He Had A Good Reason Though.,-3.096482177
"If You Think Twilight Was An Awesome Movie, Please Never Click This",-3.787697999
The Most Powerful Photo Of Martin Luther King Jr. I've Ever Seen,-3.827382969
Gabby Giffords Says More In Her Struggle With 72 Words Than Most People Do In A Lifetime,-3.302847204
"This Guy Endured An Incredible Trauma. Now, At 90, He's Thriving. Here's His Secret.",-4.416515363
The Most Ingenious Way To Come Out To Your Parents In The History Of The Universe,-3.769239975
What Would Cause A Group Of 8-Year-Olds To Riot?,-3.788952909
The Odds Say That Some Guys In The NFL Are Gay. Here's One Of Them.,-3.687909992
Imagine Wanting To Kill Everything That Lives In The Ocean. Now That Dream Is A Reality.,-3.427317898
"If Conservatives Knew The Truth About Ronald Reagan, They Probably Wouldn't Invoke His Name So Much",-3.254635928
This Is Not An Acceptable Solution To Child Abuse,-4.07402456
CHART: Why Nearly Half Of Today's Kids Won't Be Able To Look At Their Parents' Wedding Photos,-4.045609141
Valentine's Day Has Gone From Murder And Violence To Chocolates And Spending,-4.184077268
This Woman's Eyes Burn When She Drinks Water. Which Would Be Weird If Not For–,-3.595846554
This Is What A Video Looks Like When Thousands Of People Make It Together,-3.774348314
This Is What Happens When We Kill Without Caring,-4.601739651
The Military Budget Has Just Shot The Science Budget In The Head,-4.392604816
The End Of The Nature Vs. Nurture Debate,-3.759243934
Here's The Chart That Most Republicans DON'T Want You To See,-3.682749594
You Won't Believe What This Cop Did When The Cameras Weren't Rolling,-3.388642171
"Meet One Of The 11,000,000 People Who Might Make You Uncomfortable, But Really Shouldn't",-3.6453184
Colin Powell's Quote About Gay Marriage Is Chock-Full Of Common Sense And Decency,-3.720914757
Caught On Tape: Our Planet Is Literally Falling Apart,-4.117174338
Possibly The Worst Thing That Can Be Done To A Child,-3.066592299
The Future Of Humanity Relies On Women Doing This,-4.354791281
"Afghanistan In The 1960s. Prepare To Be Very, Very Surprised.",-3.465259901
This Is Why Women Have The Right To Complain About Their Paycheck,-4.267004208
10 Reasons Why A List Of 10 Reasons Why A List Of 10 Reasons Why A List Of 10 Reasons Why A List Of,-4.062356887
Exactly How Gay Is Your State?,-3.645296298
The Most Sensible Definition Of Marriage I've Ever Heard,-3.584756672
Watch 1 Of The Best TV Shows Ever Give Liberals Their Swagger Back,-4.119135123
9 Of 10 People Who Go Here Die. Some Of Them Shouldn't Have Gone In The First Place.,-3.59086153
10 Amazing Honeymoon Spots That May Not Last As Long As Your Marriage,-4.703259432
The Map That Shows Where It's Cool To Be Who You Are,-4.019902086
A Few Things That Are Scarier Than Putting A Needle In Your Arm,-4.113680227
I Thought God Hated Women Until I Saw This.,-3.494274171
Why Would Anyone Want To Put George Takei In A Prison Camp?,-4.315984636
Why Is CNN Getting Rid Of Its Best Journalist?,-3.815278169
How To Take Down A Little Word With A Lot Of Power,-3.575470229
Trayvon Martin Died Exactly 1 Year Ago. What Do We Have To Show For It?,-4.919232002
We're Shelling Out $83 Billion A Year For This?,-4.715030765
Are You Falling For The Biggest Trick Designed To Get Your Cash?,-4.085686499
America's Old Nemesis Rears Its Ugly Head,-3.623278422
What Would It Take For You To Never Use A Plastic Bottle Again?,-4.382202676
A Politician Attacks Gay People Using Pretend Science. Real Science Corrects HIm.,-3.239547388
These Gay Dads Wanted To Give A Speech On Marriage Equality And What They Got Instead Was Hilarious,-2.895616326
This Gay Mormon Spent 1 Year Recording His Friends Reacting To Him Coming Out. How'd It Go?,-3.042243234
"Just This Once, Money Actually Is The Answer",-5.583317274
Bill Nye Is Willing To Make A Deal With People Who Don't Believe In Evolution,-3.679947061
One Of The Most Racist Things A Supreme Court Justice Has Ever Said,-3.42713669
These Are Some Of The Toughest (But Important) Photos I’ve Seen This Week,-3.296604179
This Is What Happens To Straight Kids When Gay Parents Get Married?,-3.479039868
Two Abortion Protesters Decided To Yell At This Guy's Wife. They Probably Shouldn't Have Done That.,-3.062430023
Methinks The Anti-Gay Politician Doth Protest Too Much,-4.39312078
Someone Wants To Tell You You’re Beautiful. Let Them!,-4.969991346
Why The U.S. Healthcare System Makes Even Less Sense Than You Thought,-4.235894135
How Poor People Became The McDonald’s Hamburger Meat Of The American Economy,-3.946591002
"Gross, Is That Blood? Nah, It's Just Paint. THAT'S Blood.",-4.565583304
One Man Destroys The Need For Paper Money In A Single Interview,-3.95987081
This Is What Happens When A Journalist Forces A Banker To Actually Answer A Question,-3.813145495
Here’s The Ad That Muslims Across America Wish You Would See,-4.025561753
The Unbelievable Loophole In U.S. Child Labor Law,-4.452684785
Which Current War Has The United States Been Losing Since The 1970s?,-4.161455322
This Really Offends Me About Child Offenders,-4.272025739
What Happens When You Suddenly Identify With The Unpopular Kid At The Back Of The Class? This.,-4.004021924
You Call It Food. I Call It Poison.,-4.015546784
MUST WATCH: A Politician Loses It And Restores My Faith In Humanity,-2.892631646
Does The Label On The Left Confuse You? Here’s Why.,-4.471348194
Here’s Why We All Really Need To Be Tipping At Least 20%,-4.177565239
Here’s One Way To Humiliate A Bunch Of Bigots. And It’s Hilarious.,-3.515771139
The Crazy-High Cost Of Being A Working Parent,-4.456906101
Half Of All The World’s Diseases Come From This One Substance That You Definitely Ingested Today,-3.650585686
Meet A Woman Who'll Make You Furious That She Calls Herself An American,-3.305005985
"If You Think 1 Canadian Dude Is Actually 180,000 Hispanic People, You Might Be Kinda Sorta Racist",-4.123039993
The Schoolhouse Rock Parody That Is Equal Parts Painfully Accurate And Funny,-3.631046231
You Won't Believe What Saved The Lives Of 11 Children In 11 Seconds In Sandy Hook,-3.790825055
Think This Actress Is Just Another Pretty Face? HAH! So Wrong.,-3.953493438
"There's Something Rotten In Your Fridge, But It's Made Of Plastic",-3.875587401
Just One More Sad Example Of What Kind Of Non-News 24 Hour News Networks Consider 'Newsworthy',-4.488300912
I Bet This Man Has Embarrassed A Few Police Officers Who Have Tried To Arrest Him,-3.718227175
Remember Those Troubled Kids In School? Turns Out They Weren't Actually Troubled.,-3.57356278
The Man In The Sweater Who Never Mentioned The Most Important Thing In His Life,-2.996842768
You Haven't Been Allowed To Hear This American's Voice For Almost 3 Years; Here's What He Has To Say,-3.967298459
Watch A Feminist Senator Teach A U.S. General How To Do His Damn Job,-3.347029145
A Grandstanding Senator Decided To Tell A Cop How To Do His Job. Big Mistake.,-2.92380869
"Bully Calls News Anchor Fat, News Anchor Destroys Him On Live TV",-3.819280954
Want To See Fox News Lose All Its Credibility In 93 Seconds?,-3.091331931
The Taliban Just Got Owned By A 15-Year-Old Girl,-3.4281842
The Straight Woman's Worst Nightmare Just Got Real Lesbiany,-2.90840326
It's Disgusting What People Consider Beautiful Nowadays,-2.838781066
This Future Map Of The United States Is Way Cooler Than Any Current Map Of The United States,-2.905919774
What Would Happen If The U.S. Eliminated The Penny? Let's Ask A Country That Actually Did.,-3.861458992
WATCH: That Awkward Moment When Anti-Immigrant Protesters Realize They're Illegal Too,-2.961641238
This Is The Most Depressing Version Of Google Maps I’ve Ever Seen,-2.716325592
This Renewable Energy Idea Is So Obvious I Smacked My Face,-3.863331142
1 In 3 Women Need You To Watch This.  The Other 2 In 3 Women Would Prefer You To Watch It Too.,-3.058563552
"If You Watch One Moment From The State Of The Union, Make It This One",-3.172535488
"If You’re Afraid Of The Unknown, You’ve Already Lost",-3.849749829
The Cutest Way EVER To Tell Someone They Should Be Ashamed Of Having Sexual Organs,-2.890570862
There's Some Things About Women That I Didn't Think I'd Want To Know. This Is One Of Them.,-3.422604042
"People Get Tired Of Hearing The Word Awesome. But In My Defense, Seriously, This Kid Is Awesome.",-3.99075822
Pissed That A Girl Won't Sleep With You? You're Probably Not As 'Nice' As You Think.,-3.388947003
Watch A Real Person Correct An Elected Official On How Democracy Should Actually Function,-3.612005657
Why Oregon Just Became The Best State To Have Sex In,-3.514175866
WTF: Fox News Spends 4 Minutes Calling Wildly Successful Women Fat And Lazy,-3.182717734
The Truth About Angry Feminists,-3.529277963
The One Totally Stupid Thing That Will Decide The Fate Of Our Entire Economy,-4.568227473
Obama Doesn't Mince Words When It Comes To Gays In Boy Scouts,-3.902645844
These Girls Have Seen Their Own Potential. They're Going To Do Amazing Things With It.,-4.659424845
Artistic Depiction Of Climate Change Freaks The Heck Out Of People On The Street,-3.513466493
Psychic Reveals His Greatest Trick. It's Actually Kind Of Terrifying.,-3.617032971
Talented Documentarian Makes Mushrooms Into The Most Fascinating Thing on The Planet For 2 Minutes,-4.78087788
"If This Video Goes Viral, The Internet Could Be In Huge Trouble",-4.163362976
Some Strange Things Are Happening To Astronauts Returning To Earth,-3.289802527
Looking At This Map For 5 Seconds Will Change How You Think About Race,-3.643246067
Bullies Called Him Pork Chop. He Took That Pain With Him And Then Cooked It Into This.,-3.459918114
Harry Potter's Last Great Spoiler Is One Warner Bros Will Do Anything To Protect,-3.868758089
The Most Amazing Act Of Heroism Ever Committed In Swim Trunks,-3.70779393
"The Only Man In History With The Right To Say ""I Told You So"" To The Entire Planet",-3.082966534
Take Your iPhone From Dead To 100% In 30 Seconds Using Science,-3.388050915
You’ll Never Believe What These Adults Found In This Ball Pit,-3.659246222
WTF? Princeton Professor Profoundly Offended By Intellectuals,-4.198217485
MAP: Definitive Proof That We Don’t All Live In The Same Democracy,-3.696333356
"Tom Felton Disarmed Dumbledore, Yet He Can Barely Watch This. Are You Stronger Than Him?",-3.288210518
See A 17-Year-Old Girl’s Laser-Sharp And Laid Back Take-Down Of An Annoyingly Popular Reality Show,-2.917871199
Meet The Worst Spy Ever,-3.886940409
Why 'Jeopardy' Champions May Be The Dumbest People Alive,-3.902645844
Watch A Diner Waitress Explain To A Wall Street Guy How Money Works In America,-2.882898311
College-Age Republicans Decide To Compromise In An Awesome Way,-4.239886868
WATCH: The TEDxTalk That Knocked Me Down A Peg Or Two,-3.044892945
A Hidden Camera Show Goes To Texas. They Did Not Expect To Find This.,-2.981633349
The 3 Happiest Words In Many Parts Of The World Are The 3 Deadliest In Others,-3.75115848
9 Out Of 10 Americans Are Completely Wrong About This Mind-Blowing Fact,-3.787771727
"Ladies, Let Me Tell You What To Think About Women's History Month",-5.322673505
I Honestly Didn't Think A Video About Birds Would Make Me Cry. I Was Wrong.,-3.647092488
This Is Exactly How Desperate We Are To Get Oil Out Of The Ground,-4.423279306
This Is Why It's A Bad Idea To Be Racist In 2013. Or Ever.,-4.199890246
Watch A Nervous Mom Make An Heroic Phone Call While Her Kid Naps,-3.895785696
I Bet A Lot More People Would Become Librarians If They Got To Do It Like This,-4.834693344
Trying To Get Richer? Here's Why You Can Pretty Much Give Up Now.,-4.017113214
A Depressing Map Of The US That Will Make You Not Want To Have Babies,-3.538584966
What Do These Celebrities Hate More Than Paparazzi?,-4.472492288
Germ Warfare? Laughable. We Have A Virus On Earth That Could Literally Destroy The Everything.,-3.680511204
There's A Reason This Is Still My Favorite Internet Video Of All Time,-3.195697578
Watch The Kindest Smackdown I've Ever Seen,-3.670119679
Elizabeth Warren Asks The Most Obvious Question Ever And Stumps A Bunch Of Bank Regulators,-3.04291375
I've Never Met A 15-Year-Old And Thought 'She's Gonna Run The World One Day.' Yet Here We Are.,-3.469993432
Why Is The NRA Defending The Rights Of African Warlords?,-4.247966001
An Open Letter From Jesus To Everyone Who Is Scared Of Gay People,-3.487227278
The Chart That Might Just Bring Forth The Apocalypse,-3.804230878
Newbie Senator Mansplains The Constitution To Second-Longest-Serving Woman Senator. Justice Ensues.,-4.144041345
Why Your Part In The Steubenville Tragedy Is Bigger Than You Think It Is,-4.372552068
This Is Why I’m Afraid Of My Couch,-4.97278507
"B.P. Didn't Actually Clean Up The Oil They Spilled, They Just Covered It Up For A Few Years",-4.885814276
The 1 Thing That Actually Deserves The Death Penalty,-4.057309361
Did AIDS Just Get Cured By A Bunch Of Gamers?,-4.844094988
Stop Turning Everything I Do Into A Political Statement!,-4.253880578
NAILED IT: Watch A Really Smart Comedian Destroy A Really Dumb Idea,-3.251364421
How Science Allowed A Woman To See The Light,-4.820923666
"Why Is It Okay To Show Women Being Tortured On Screen, But Not Doing THIS?",-2.813963923
Offensive Things You Might Say That You Didn’t Realize Were Offensive,-3.407265887
The Tattoo That Misogynist Jerks Think Every Girl Has On Her Thighs,-3.511785368
These Soldiers Served Their Country. Then THIS Happened?,-4.400087737
"The Argument To Overturn The CA Gay Marriage Ban Is So Easy A Kid Could Make It. Oh Wait, He Did.",-3.884511871
Want To Hear A Genius Ruin Politics And Religion In 5 Sentences?,-3.59595912
Hillary Breaks Down Gay Marriage So People With Extra-Thick Heads Can Understand,-3.432426685
Tiny And Terrifying: Why Fate Doesn't Stand A Chance Against These Kids,-5.022402523
The Mysterious Early Death Of A Sexless One-Of-Kind 100-Year-Old,-4.169770457
The Love Story Disney Wished It Made,-3.883049148
These Are Literally The Smallest Apartments You'll Ever See,-4.006040241
"The Argument To Overturn The CA Gay Marriage Ban Is So Easy A Kid Could Make It. Oh Wait, He Did.",-3.471075209
Offensive Things You Might Say That You Didn’t Realize Were Offensive,-3.550276676
"This Map Won’t Tell You Where You Are, But It Will Tell You How Much NRA Money Is In Your State",-4.389314826
Watch This Bride Dump Her Very Important Groom At The Altar,-3.315182422
Why Gardening Is The Most Therapeutic And Defiant Act A Person Can Do,-4.401945969
You Won't Believe What The Happiest Man Alive Does For A Living,-3.98497453
The People With The Most Power In The World Actually Believe This Really Horrible Thing,-4.376970012
"These Christians Are Advocating The Government Do Something, And I'm Actually Not Outraged. At All.",-4.292284259
I Would Hire Any Of These Kids In A Heartbeat. To Be My Boss.,-4.855724091
The Single Greatest Gift For A Woman,-4.390616397
I Don't Like Being Lied To. Neither Did This Documentary Crew.,-3.251443154
The Mysterious Early Death Of A Sexless One-Of-A-Kind 100-Year-Old,-3.760467381
This Is Pretty Much One Of The Coolest Anti-Hate Things I've Ever Seen,-3.849394164
Meet The Students Who Launched The Mother Of All PR Campaigns,-4.192144926
"If My Dentist Caught Me Showing People This, He'd Slap Me In The Face",-4.018751007
Possibly The Most Devastating Response I've Ever Seen In An Immigration Debate,-3.360048108
SWOON: Watch This Star Calmly Blow Apart Any Argument That We Can't Solve Poverty In One Generation,-3.766480158
"And One Of These Days, Someone Will Realize This Is Racist",-3.12452981
Why Women (And Men) Love This Picture So Much,-3.130927129
Remember Sandy Hook? Apparently The Senate Doesn't.,-4.584430277
WTF: Why You're Way More Likely To Get Arrested At The End Of An Officer's Shift,-4.44571561
Remember Sandy Hook? Apparently The Senate Doesn't.,-4.833509518
"A Very Un-Sexy, Sexy Teen Thriller",-4.665395172
Remember Sandy Hook? Apparently The Senate Doesn't.,-4.68085954
Remember Sandy Hook? Apparently The Senate Doesn't.,-5.066024949
Remember Sandy Hook? Apparently The Senate Doesn't.,-4.925418582
Hey Bros: Check Out What This Bro Did When He Found A Drunk Girl Passed Out On HIs Bro Couch,-2.648799424
About To Start An Argument Over Israel and Palestine? Watch This Video First. ,-4.045580171
"Are You Kidding Me, America? How Is This Even Still An Issue?",-3.643223263
"Never Thought I'd Say This, But These Eggs Eat Poo And They're Gorgeous",-4.465908119
People All Across The World Are Demanding This One Thing That The U.N. Says They Can't Have,-4.335588155
Should A Parent Listen To Their Kid In This Situation?,-3.431772773
A Head-Slappingly Simple Strategy That Might Just Reduce The Crime Rate,-4.223890752
Advice From Parents On Preparing For That Horrible Day You Know Is Coming,-3.624834638
"Never Thought I'd Say This, But These Eggs Eat Poo And They're Gorgeous",-4.216168804
"This 9-Year-Old Has Blown Away The Minds Of Millions, Will You Be Next?",-3.665150524
The Olympic Marathon Runner Who Outran His Own Murder,-4.268451344
Obamacare Has 48 Million Fans Who Just Don’t Know It Yet,-4.801800645
Obamacare Has 48 Million Fans Who Just Don’t Know It Yet,-4.195004607
This Supreme Court Justice Just Asked A Rhetorical Question That Might Tear Down Prop 8,-3.201404499
This Girl's Middle School Photography Project Will Steal Your Breath Away,-3.334738378
"If Gay Marriage Isn't Constitutional, Neither Is Straight Marriage If You're Older Than 55",-3.568394791
"What The Craziest Thing About The Fact That Humans Exist? I Don’t Know, But I Bet It’s In Here.",-3.737860076
"She Had One Year To Live, And This Is How She Did It",-3.763328153
I’ve Never Had A Pie Chart Make Me Gasp Before,-4.682305915
Did The Supreme Court Just Legalize Gay Marriage? Well... Sort Of.,-3.030513588
"MUST WATCH: The 0-Emission, Air-Powered Car Big Oil Doesn’t Want You To Know About",-4.602284671
"This Doctor Had A Breakdown, Saw A Therapist, And Ended Up Changing, Like, Millions of Lives",-3.970291914
This Isn’t Just A Car: It’s The End Of Gasoline As We Know It,-4.872576662
"When Your Carbon Footprint Needs A Commercial, Your ‘Feet’ Are Too Damn Big",-5.659814001
"This Doctor Had A Breakdown, Saw A Therapist, And Ended Up Changing Lives",-4.32263613
A Supermodel Hemorrhages During Childbirth And Turns Her Experience Into An International Campaign,-4.225742454
Check Out The Idea That's Got This Guy's Seal Of Approval,-4.537689488
"Some Ideas About Our Economy That Are Bound To Make The Wall Street Journal Very, Very Upset",-4.084800959
"OMG. Google ""Tucker Carlson"" And ""Gay Marriage""",-3.756636131
Why Do Men Think THIS Is OK?,-3.403013913
Pin This Up In Your Mind. Then You'll Never Forget It.,-4.380031893
Jennifer Lawrence Summarizes Everything That’s Wrong With Our Culture Today In 1 Sentence,-2.609181642
You Won’t Believe What This Guy Does In His Spare Time,-4.480304435
How To Eat To Live Instead Of Living To Overeat,-4.262332051
Why The Cheesecake Factory Is Conspiring Against You,-4.135578843
How To Eat To Live Instead Of Living To Overeat,-4.214702549
"OMG. Google ""Tucker Carlson"" And ""Gay Marriage""",-2.99901408
In Case You Missed It: Why Everyone Is Posting Those Pink Equal Signs on Facebook This Week!,-3.449180117
"OMG. Google ""Tucker Carlson"" And ""Gay Marriage""",-3.720914757
In Case You Missed It: Why Everyone Is Posting Those Pink Equal Signs on Facebook This Week!,-3.661082891
"It's Been A Long Week. Need A Hug? Yeah, You Need A Hug.",-4.544166394
"Forget 'God-Given Rights.' In America, It's 'However-Much-Money-You-Happen-To-Have'-Given Rights.",-4.376199833
Watch A Preacher Attack Gay Marriage And Totally Change His Mind On The Spot,-3.026302849
A Rap Music Video All About Women. But Not Like You Think.,-4.490476635
"Congressman 'Accidentally' Uses Horrific Racial Slur, Apologizes, And Is Still Racist",-3.394650424
"Congressman 'Accidentally' Uses Horrific Racial Slur, Apologizes, And Is Still Racist",-3.395588842
Congressman 'Accidentally' Uses Horrific Racial Slur And Hasn't Resigned. YET.,-3.085919077
Why Don't More Moms Talk To Their Daughters Like This Famous Actress Talks To Hers?,-3.207792408
Can We Clone This Adorable 5-Year-Old? She Really Has Her Sh*T Together.,-3.44159325
This Girl Has Some Demands For Her Future Husband — IF She Gets Married,-3.52693706
"It's Hard To Visualize Billions Or Trillions Of Dollars. After You See This, You Won't Want To.",-4.261966483
This Girl Has Some Demands For Her Future Husband — IF She Gets Married,-3.334259241
There's Something Odd About This 'Traditional Marriage' Propaganda Video,-3.399878245
This Girl Has Some Demands For Her Future Husband — IF She Gets Married,-3.459847387
"A Gay Soldier Is Being Singled Out And Prosecuted, But That's Not Even The Craziest Part",-3.974828097
Here's Why We Can't Have Nice Things,-3.35111008
Watch A Lesbian Stage An Intervention With Straight People,-3.452310193
An Open Letter From A Badass Lesbian To Some Sad Straight People,-3.198002202
Watch A Lesbian Dress Down Straight Ignorance And Then Drop The Proverbial Microphone,-3.4029102
Watch A Lesbian Dress Down Straight Ignorance And Then Drop The Proverbial Microphone,-3.248496464
An Open Letter From A Badass Lesbian To Some Sad Scared Straight People,-3.432053716
This Graphic Of Adam Lanza's Home Arsenal Is Devastating,-3.588107365
Everyone Said This Couldn't Be Done. See How This Guy Did It In Under 7 Hours. ,-3.902791335
The Most Honest Cable Company In The World Has A Message For You. It's Not Good.,-3.768498086
Your Cable Company Has Been Keeping A Really Sketchy Secret From You For Like Forever,-3.927333767
The Invisible Bike Helmet That You'll Have To (Not) See To Believe,-3.517138666
The Most Honest Cable Company In The World Has A Message For You. It's Not Good.,-3.948859927
Meet Three Mothers Who Will Never Give Up On Their Children's Education,-4.274998062
The Most Honest Cable Company In The World Has A Message For You. It's Not Good.,-3.839176565
The Most Honest Cable Company In The World Has A Message For You. A Really Jerky Message.,-4.09806313
OMG. Exxon LITERALLY Just Spilled Oil In Your Backyard. Not Joking.,-4.445634664
"If I Could Marry This Speech, I’d Be Buying A Wedding Dress Right Now ",-4.039743429
World’s Largest Online Retailer Takes A Controversial Stand In The Least Controversial Way Possible,-3.743773401
"If Boy Scouts Are Taught To ‘Always Be Prepared,’ Then Why Weren’t They Prepared For The Future?",-4.417309507
So ... What Genius Thought It’d Be A Good Idea To Strip A City Of Its Democracy?,-4.413471467
World’s Largest Online Retailer Takes A Controversial Stand In The Least Controversial Way Possible,-3.665079961
The Canadian Project That Might Ruin Our Future,-4.136020561
So ... What Genius Thought It’d Be A Good Idea To Strip A City Of Its Democracy?,-3.774721448
The Only Thing ‘Unnatural’ About Gay Marriage Is That There Aren’t Enough Ads Out There Like This,-3.355294936
"North Korea Would Ban This Video If They Could. Lucky For Us, They Can't.",-3.427860438
This 9-Year-Old Kid Has More Wisdom In His 'Star Wars' Pajamas Than I Will Obtain In A Lifetime,-3.781931709
You Won’t Believe What These Muslims Are Protesting About,-3.211268011
You Will Not Believe What It Takes To Escape North Korea,-3.731619608
North Korea Doesn't Want You To See This And They'll Be Really Furious If You Share It,-3.220767526
"North Korea Doesn't Want You To See This, And They'll Be Really Furious If You Share It",-3.088666504
"Air, People! This Car Runs Entirely On AIR!",-4.125425145
This Adorable Kid Just Wants To Take A Girl On A Date. So Why Is That Such A Big Deal?,-3.845996652
"I Don’t Know Anything About Soccer, But This Is The Most Inspiring Goal I’ve Ever Seen",-3.390024081
This Is One Woman No Man (Or Building) Will Mess With Again,-4.113570322
The Risk Of Drowning Has Never Looked So Appealing,-3.684737028
You Won’t Believe What The Chinese Government Did To These 26 Million Children,-3.853720452
"History May Not Remember This Speech, But I Guarantee That You Will",-3.257504647
