Headline,Attention Score
Fox News finally went off on Walmart for their shady practices. PSYCH.,-3.851497585
A famous athlete tattooed 50 names on his body for a sad reason. Showing them got him suspended.,-3.852109669
"The next time you ask someone to pass the guacamole, remember what he says.",-4.12812139
"A before and after shot that didn't change the man, but it will probably change the way you see him",-3.864232342
A popular TV show from the 70s was one of the first to brilliantly call out unfair pay for women.,-5.146132838
Here is the smartest money move we could make. How dumb is it that we're not?,-5.168082123
I've been waiting to hear a message like this from an elected official since my kids were little.,-4.461200479
The #1 huge thing we're all missing when we try to be environmentally friendly.,-4.447346101
Protein shakes aren't as harmless as you might think. Just take a look at these men.,-3.946170141
He is black. He is privileged. And all of that concerns his parents.,-3.966258634
These racist idiots spray-painted a swastika on the dumbest/best location possible.,-2.747431828
How 1 haircut and a before and after photo may change everything for people,-3.427967623
"Call her dark, call her skinny, call her beautiful, just don’t ever call her Iman",-4.004255471
Short-shorts and high kicks meet super advanced science degrees. Surprised? You shouldn't be.,-4.96284463
These raw words from the past are still gut-wrenching. And still true.,-5.503177137
"This kid's dad is just as bad as the bullies at school, until makes me smile at the end.",-3.821871908
Listen to the parts they've auditioned for and try not to say 'WTF?',-4.283707547
"For every dollar we spend on it, we get $4 back. Magic? Nope. Just smart money.",-5.027373852
Why the millennials of the world could be the key to ending shame about mental illness.,-5.180072268
"The bully punches him in the face. Later, he follows the bully home, and that's where he sees it.",-3.151318946
An actress decided to do something about the stigma of mental illness.,-4.974352789
"An actress was told to bring an “easy access skirt” to a casting. Well, dang.",-3.035410757
"If you look at her hands, you'll see her struggles. Literally.",-4.453109519
2 trans men made a very clear point with their very pointed photo shoot.,-4.074811971
2 trans men make a very clear point with this  revealing photo shoot.,-3.046601981
A transitioning male reproduced Adam Levine's nearly nude photo to prove a point. It worked.,-3.458050826
"When people say his TV show’s racist, he’s like, ‘I don’t know if you know any of us.’",-4.029988673
School is not going so well. Here's a cheap and easy way to fix it ... that teachers will love.,-5.023149259
"I thought Alan Cumming had lost his mind, then I watched the video and was so wrong.",-4.645130271
A rare behind the curtain look at acting that's less glam and more racist.,-3.499050798
Dad took blood samples at his kid's birthday party. And that's not the worst part.,-4.037750051
"Her story is pretty funny, but the lesson at the end will change the way you think about blaming.",-3.63901313
8 love letters to survivors of sexual violence. The one from the dad made me cry.,-4.563326428
Ever heard of ‘Right-To-Work’? About that …,-4.827471277
The big problem at the Oscars that got these 3 women singing,-4.355086527
"Teens always think they know more than their parents. About this, they probably do.",-5.58586054
He was right about the cops 50 years ago. We didn't listen.,-4.734327271
"Ever heard of ‘Right-To-Work’? Well, about that …",-4.258022613
It was a normal day until their family dressed as homeless people to prove a point,-4.369726017
It was a normal day until their family dressed as homeless people to prove a point,-4.304791362
The dug up a Malcolm X speech that predicted so much of what's going on today. Creepy.,-4.676273649
They dug up a Malcolm X speech that predicted so much of what's going on today. Creepy.,-4.192680463
"Teens always think they know more than their parents. About this, they probably do.",-4.584823749
He put these inmates in a room with nothing but a camera and asked them to talk about their crimes.,-4.513709729
"If you think the Oscars are racist, you should read this. Same if you don't.",-4.043603678
"These parents were expecting a cute musical, instead they're rethinking what they pack for lunch",-5.206398864
"At the end, the camera zooms out and you see what these kids painted. Incredible.",-4.718786848
"A pole-dancing video so beautiful, my hair stood on end",-4.485872846
"If you don't think the Oscars are racist, you should read this. Same if you do.",-4.088967815
"If you don't think the Oscars are racist, you should read this. Same if you do.",-3.90378775
"Where do ideas come from? Replace that ""lightbulb moment"" with turtles cuddling.",-4.995248708
Dear Oscars: It's time for an intervention about your little problem.,-4.847046274
The stuff about the Oscars and race you probably hadn't considered. And really should.,-4.381449545
It's a song that every 1st grader knows. But it has a dark secret.,-4.440334206
Watch these kids shut down a problem that grown ups have been trying to solve for centuries.,-4.039968651
A white TV news anchor from Texas smacks down a group of racist sports fans so perfectly,-4.09806313
"Their parents expected a cute musical, but the cows had everyone cringing",-3.96925752
Things are happening behind closed doors and you might want to know about them.,-4.279440046
The kids aren't all right. 8 photos show you why.,-3.392171261
Bill Gates has a Utopian dream. Watch this guy grill him about it.,-4.692348216
"If the way women are treated around the world keeps you up at night, you want to meet these people.",-5.287584297
"I'm so tired of hearing people fight over a bunch of pipe, but Obama's latest move got my attention.",-4.778020805
"I'm so tired of hearing people fight over a bunch of pipe, but Obama's latest move got my attention.",-5.334924778
This is truly one of the most innovative ways to use technology to help people.,-5.746758669
One guy reaches out and grabs her arm. The other makes a split-second decision.,-4.115905321
"It's like that flashlight app on your phone, but for blind people.",-4.936527322
What if you could help blind people see? You can.,-5.588609666
The president has a superpower he uses only when he absolutely has to. He just had to.,-5.030716008
"Say what you will about Sean Penn. OK, now listen to this guy talk about race.",-4.643414949
Here’s a paycheck for a McDonald’s worker. I can't even.,-4.000199117
"A mom who loved her son rejected him when she learned he as gay. That’s not how it ends, though.",-4.419671173
"100 years ago, people were eating things that most of us will never taste.",-5.125485523
"There are people pretending to be scientists on TV, and their 'facts' could be harming our health.",-5.342607625
"Their name is Jacob, and here is their story. Yes, *theirs*.",-4.604503297
Feeling down from crappy news? Here's a quick pick-me-up.,-5.599107595
How many of us can say a photograph changed our lives? She's can. And she's only 10.,-4.230880695
One guy reaches out and grabs her arm. The other makes a split-second decision.,-3.686251695
"He wanted to challenge what people saw when they looked at him. Clearly, his getup did the trick.",-4.590547667
In 90 seconds this politician shuts down any debate over girls rights to an education.,-4.531295287
"New studies of musicians are revealing amazing things about brains. Even, um, normal ones.",-4.23796379
See what happened in a country that didn't put extreme anti-choice lawmakers in check. It's scary.,-4.428433007
"Here’s a McDonald’s employee paycheck, and here’s my jaw dropping to the floor.",-3.763195555
A terrible thing happened to this 20-year-old woman. They're trying to let the whole world to know.,-4.206680692
"This video wants to thank you, me, and all of us for saving Earth.",-5.410615301
Watch a feminist comedian perform the most equality-driven striptease I've ever seen.,-4.043689023
"If you’re trying to find a career you'd actually enjoy, boy, is this for you.",-4.349781535
23 people a day die from this illness. But insurance companies don't really care.,-4.40836588
Watch how fast one politician slams the door on any debate over girls rights to an education.,-4.95750238
"I thought I wanted a baby someday, but after watching this ... yikes.",-3.862232341
This is a game-changer for the blind. And you (and your smartphone!) can help.,-4.858571324
Fast forward through her life for the awful ending. Then do it again to see something amazing.,-3.924487374
"Got a 3rd grader? Guess what you're doing next year, thanks to President Obama.",-4.154551909
"All the embarrassing things a dad can say to his daughter, corrected.",-4.172017601
Real doctors show us just how fed up they are on Jimmy Kimmel's late night show,-4.285495831
Some of these college women were raped before classes even started,-4.116037387
How should a restaurant deal with homeless people looking for a bite? This works.,-4.224734051
A writer has had enough of when men do this totally unwelcome and offensive thing.,-3.643510849
Here’s why scientists believe learning to play music works a brain like nothing else. P.S. Yipes.,-4.927422191
Here’s why playing music does things to a brain that nothing else does. Spoiler alert: Yipes!,-4.59013976
Listen to this 2-minute reality check about what you have to offer.,-5.359996199
I wanted to know how and when cops decide to kill someone. Now I understand...kind of.,-4.54211205
The must-see video burning up the Internet in China right now might help millions breathe easier,-4.036008985
"When phones can act like eyes, have we reached a new level of amazing?",-4.876892239
Oh look. John Oliver takes yet another boring topic and makes it grade-A hilarious.,-4.023514223
She asks the little girl 3 questions about her life. Her answers are pretty devastating.,-3.6045972
"When she decided to have an abortion, her mother didn't stop her. The reason why makes sense.",-4.049048287
This is how you win an argument about climate change.,-4.565149153
"Everyone waited for it to be taken down. 150 million views later, it's still up. Watch it here.",-3.466237114
São Paulo sounds like a city of dreams. Until I saw the reservoir.,-5.077704394
"She is Gertrude from Ndola, Zambia. Here's how she gets water.",-5.056572389
"Each survives on $3 a day, average. On top of that, their water? There's a huge problem.",-5.869463067
Here’s what might happen when a climate-change skeptic invites a scientist over for dinner.,-4.580776709
"She says 9 sentences in the beginning, and that's all that it took to convince me.",-4.677735616
One of the most beautifully shot videos I've ever seen that makes be feel ugly to be a human,-4.232772949
This is how you win an argument about climate change.,-4.526959133
"If you’re like me, when homeless people ask for money, I just can't. Here’s a much better idea.",-4.062950744
Hundreds of kids arrive in Ireland and go missing. Somehow he was spared.,-4.101087454
Her name is Gertrude Mamba. Here's what it takes her to get water.,-5.229522888
His hometown is littered with dirty rivers and contaminated wells. So he fixed them.,-5.112182095
Straight-up chilllin' out for 20 minutes a day will make your brain better. Here's how.,-4.562098932
One little girl took pictures of her school lunch. The internet responded — and so did the school.,-3.674850205
This 10 minute video has completely changed the way I look at do-gooder,-5.353916594
I wonder what we'd think of the NFL if every player knew their mind as well as him,-4.641443073
São Paulo sounds like a city of dreams. Until I saw its reservoir.,-4.91602757
The president puts 1 chart in front of the camera that might make you hate your cable company more.,-4.574710979
"He was fed up with his mom, so he tried an experiment. After it ended, he started sobbing.",-3.614069383
"EXCLUSIVE: A massively viral Chinese documentary, summarized in English for the first time.",-4.664442204
10 life-saving heroes walk into a photo. Obviously we're going to celebrate them.,-4.655175417
"I hold my breath as she takes the bandages off. But after, I can't stop smiling.",-3.748775023
I never realized how dumb our cities are until I saw what a smart one looks like.,-3.410626472
Julia Roberts stars in her biggest role ever. She will literally never have a bigger one.,-3.410200658
I asked a black ladyfriend if this was for real. She realized she had no idea how oblivious I was.,-3.449886439
Her name is Gertrude Mamba. Here is her story. Brace yourself.,-3.974745362
"They can barely bring themselves to watch, but when I saw what was on the screen, I just laughed.",-4.249902702
"Well, one guy in this video just comes out and says it. 'Stop treating women like baby-machines.'",-6.586565666
It's a pop song like no other. But not every woman is allowed to hear it.,-3.903753614
There's a new way for kids to smoke cigarettes and it's totally legal. What?,-4.386737742
A fairly obvious thing that all homeless people have in common that's good to remember,-4.698550129
"Instead of making homelessness illegal and punishing people, how about we help them?",-5.478692586
It only took 83 minutes for a movie to change everything for SeaWorld.,-4.243902501
"He asks, 'Why do people fear the gay?' And then he answers his own question.",-4.271536023
"If water doesn't flow, farmers have to leave their homes for the city. DIY glaciers to the rescue.",-5.462085515
What if I told you that you'd never have to see things like this ever again?,-4.639695475
"A movie went behind the scenes, and now SeaWorld is just trying to stay afloat.",-4.225697658
This billboard takes on domestic violence in a way you really have to see to believe,-3.452544438
"A woman perfectly answers the question, ""What's the difference between men and women?""",-5.189355603
Watch a super rich capitalist have a 'lil secret chat with his fellow richies,-4.423156274
A woman explains how she makes money in Cuba without the Castros,-5.617432036
"A woman perfectly answers the question, ""What's the difference between men and women?""",-4.147659621
Three women deliver a powerful message about the state of women's rights in the world.,-5.441751488
"If your next package looks like this, you might be a black woman",-4.783818337
This fake Amazon ad is pretty funny until it gets to black women,-4.098756584
Coming out was easy. The hard part? Admitting she still liked men.,-4.035815346
"There wasn't a dry eye, on court or off. Even the refs were crying.",-4.204692619
Happy Puberty! Here's a vibrator.,-3.341532701
There's something powerful about hearing the first black president say these words in Selma,-4.429601289
"Some women want a man to secure their future. 
And then there's her.",-4.209554373
An actress was sick of the roles she was being offered as a black woman. So she made her own movie.,-4.073507502
"Some lawmakers think you need a good probing, mentally and vaginally, before you have an abortion.",-6.205711498
Here's what's being done to women in over 80% of America. I didn't know it was this bad.,-5.717924428
"She became ill before her son Eli was born — for one small reason. Small, but important.",-4.191732202
"An analysis of 1,500 films resulted in 1 disturbing conclusion.",-5.264040932
The thing that's slowly encroaching upon women state by state is scarier than any nightmare.,-4.657497829
Listen to 1 man explain why he has a hard time being a feminist.,-3.720435119
A man screamed at her once because he thought she was white. That's just the tip of the iceberg.,-3.720341323
"You, yes, you, have the power to overcome the mind-control device you carry around every day.",-4.738220694
"When these drones zoom in over elephants and rhinos, they stop horrible things from happening.",-3.853801408
"As parents get older, grownup kids have a problem. Who’s gonna take care of their parents?",-5.165699842
She was the first American to ever win the International Children's Peace Prize. Hear her speech.,-4.97361431
"The inventors of this could have made a fortune. Instead, they're making kids happy.",-3.961821065
Want to see some young people who refuse to be told they can’t fix some problems of the world?,-4.982058805
"After hearing how she spent her 9th birthday, it's no wonder she's being recognized globally.",-4.665849526
I can't imagine walking miles for a cup of water. Now they probably can't either.,-5.462716107
"Every time some charity asks for your money, ask them if they do it like this.",-4.631562997
Their life-changing injuries are identical. But their compensation couldn't be more different.,-4.454566667
"Every time some charity asks for your money, ask them if they do it like this.",-4.642376349
Best use of food coloring ever.,-4.649965671
"Marry an older man. Not just grandma's advice, in some countries, it's the law.",-3.948298208
Is this cartoon character (that's actually a machine) a boy or a girl? And why it matters.<br>,-4.646847628
They both lost an arm. But one guy's workers comp was 10 times the other's.,-5.129898715
"As they read mean tweets, a laugh track plays. But it's not funny.",-4.271582673
The first tweets? Audience goes wild. By the end? No one's laughing.,-4.041126802
John Oliver covers a massive college sports scandal that made my blood boil.,-4.725116123
"Hold the pickles and lettuce. And when you get burned on the job at McDonald's, here's some mustard.",-5.037624119
"The Supreme Court allowed them to discriminate for 20 years. This year, they changed their mind.",-4.392651805
Her job didn't exist before. Now it's changing her whole town.,-5.066298338
Her job didn't exist before. Now it's changing her whole town.,-5.099188691
Take 2 minutes for the funniest commercial about guns you'll ever see.,-3.943293648
This new website about guns makes me wonder whether I should be relieved or scared sh*tless.,-5.11976647
What if you only had this crucial resource about 9% of the time?,-5.168436446
"It's the side of extreme weight-loss you won't see on TV, but that's why it's needed",-3.488730761
"Oregon's Governor just did a thing that could change everything for voters, if other states copy it.",-4.477568699
Her name was 'Essence.' This is a little story about making her essence felt in her community.,-4.970052735
Your first love story started long before romance. This is how to write a great final chapter.,-4.672372838
"An analysis of 1,500 films resulted in 1 disturbing conclusion.",-3.722060682
"Yes, this is a man in a women's restroom. Why? To protest men being forced to use women's restrooms.",-4.371512369
The way we grow food is causing a ruckus and we have a way to make it all good,-5.920603048
Her name was 'Essence.' This is a little story about making it felt all around her.,-4.851360397
The boy didn't want to blend in. He wanted to stand out. And they made it happen.,-4.450199961
"A bankruptcy lawyer shows up at a 'right-to-work' hearing. Believe it or not, hilarity ensues.",-4.178638575
A chilling new PSA takes on sexual assault through fresh eyes: Yours.,-4.18724459
The most convincing argument I've heard for raising the minimum wage. From a rich guy.,-4.512400636
The little girl in this story is no longer alive. But she's still the star.,-4.06815929
A profanity-laden take on life from an 87 year old who pretends she's 88,-3.80768368
A toy company published beauty advice in its magazine for kids. She set them straight.,-4.879222052
"Someone asked him about his body issues, and he explained why he has them",-4.085904486
The spectacular fall of Rep. Aaron Schock,-5.119385407
"These women's husbands don't believe it takes so long to get water. After I heard them speak, I do.",-4.671817968
"What does childbirth look like? For Doris, it was far from clean. It was a bacterial nightmare.",-4.728567064
"When these astronauts described how it changed them, I got goosebumps.",-5.714593391
The faces on paper money haven't changed since 1929. You know what's missing? Women.,-5.431465621
A new app gets you buzzed every time you're near a place where a woman made history.,-4.75017619
"12 years ago, we invaded Iraq. Here's what Baghdad looks like today.",-3.915854041
"When they left the Earth, they looked back and saw us all in a way only a few can explain",-4.913250893
A black guy who dates outside of his race experiences a heart-dropping letdown moment.,-3.576097382
"He was yelling for help, asking for the beating to stop. Now his classmates have his back.",-4.426318014
"I'm never emotional when I see people eating, until I saw Carmen.",-4.789621257
A company in Italy figured out a genius way to make graveyards obsolete.,-4.217404655
"She's 34, 5'3, and 175 pounds. The world tells her she's not supposed to tell you that.",-3.681748828
2 designers in Italy came up with a genius plan to make graveyards 1000% less creepy.,-4.186040716
"This business is like a giant cancer in the north, and 100 celebrities want to stop the bleeding.",-4.495107273
See how one woman's life changed forever when she got a bathroom.,-3.578249826
Upworthy failed one of our own employees. But we learned a lot from it.,-4.629505804
These kids aren't all right. 7 photos show you a world of change.,-3.646995002
Even brave husky guides in the Arctic just want their moms at times.,-4.260205853
This is the most important 20 seconds of Monica Lewinsky's TED Talk.,-3.500007565
3 big problems we have because Americans eat more of this than just about anyone.,-3.878632179
She's not saying you have to stop eating it. But eating a little less lets 3 great things happen.,-3.744413743
People around the world list reasons to feel happy. What's yours?,-5.035267682
2-year-old Charlie died in an accident his dad didn't know could happen. Now he wants you to know.,-3.922349253
People around the world list reasons to feel happy. What are yours?,-5.333227182
They resisted the dam for decades but now that fight may be over.,-4.789257859
You can use your smartphone to determine if your child has a deadly form of cancer. Here's how.,-4.388383935
We like to build big things. But big dams have a price no one should have to pay.,-5.476463552
"They fought against this dam for decades, but the end is now in sight.",-5.28175235
"They compared Wall Street bonuses to the total earnings of every minimum wage worker. Oh, it's sad.",-5.268594265
Now *that's* what I call an acceptance speech. <br>,-5.041990396
NASA made an adorable video explaining climate change. You'll heart it.,-5.069909986
"Yo, this ice shelf the size of Rhode Island disintegrated in, like, four months.",-5.945182598
"I heard Rick Scott banned the term ""climate change."" I doubted it until I saw this hilarious video.",-4.130457072
She can't study or start a family all because of what happened at 15.,-4.697098029
"They compared Wall Street bonuses to the total earnings of every minimum wage worker. Oh, it's sad.",-4.873225422
"If you've heard one story, you've heard 'em all, right? Nope. That'd be myth #1.",-4.946311309
How many extra tabs do you have open on your computer right now?' It's a serious question.,-5.158305393
A look inside a Cambodian garment factory. It's not how I thought it'd look.,-4.588140759
Compare Wall Street bonuses to the total earnings of the everyday worker. Go.,-5.370148312
One of these experiments forever changed the way medical studies happened. The other created heroes.,-4.723614941
"You've probable heard about one group of black men from Tuskegee, Alabama. But likely not the other.",-4.635125185
What the president did right when he stopped by to ask these Girl Scouts about their science project,-4.502522038
The way we reward people for hard work is hurting the economy.,-5.59471138
What the president did right when he stopped by to ask these Girl Scouts about their science project,-3.195389738
She can't study or start a family all because of what happened at 15.,-4.304669993
"When the president meets with caped crusaders, it usually doesn't turn out this adorably",-5.108288767
California has 1 year of water left. This is how we can solve the long term issue.,-4.784203514
A time lapse video that allows you to watch the earth breath. It's wonderful.,-3.99809988
"As you lay dying, what moments will you remember?",-4.772063256
It's hard enough being a girl. It's even harder when you're denied an education.,-5.579729826
"When his wife died, he was heartbroken. It took him 22 years and a hammer to honor her memory.",-4.314612187
"He made some mind blowing art but no one knew about the ""problem"" that started it all.",-4.840951492
A straight guy shares the hilarious story of when he had to come out to his parents.,-4.264265606
New concept: You're only allowed to be colorblind if a doctor says so,-4.980057582
The health risk of going to school for kids like Rhett Krawitt is messed up. And avoidable.,-5.385491774
She needed a good meal. When I saw how her mom made that happen — wow.,-4.697040111
Let me show you what discrimination looks like in real life. It hurts.,-4.625572873
"What do grizzly bears, bald eagles, alligators, prairie dogs, and cornflowers have in common?",-5.414166166
Watch this Dallas sportscaster take a powerful stand against domestic violence in football.,-4.596307499
"She still doesn't know who posted, ""Bash that bitch's head in."" But she knows they meant her head.",-4.598412712
"This guy just won the 'Uncle of the Year,' award, and it's not even close.",-3.576397126
"Even after you listen to his whole think, you'll say, ""But sugar *does* make my kid hyper."" Nope.",-4.939516613
"What does childbirth look like? For Doris, it was far from ideal. She was luckier than most.",-4.462786165
"Cuba's known for many things, but when I heard about their doctors — incredible.",-4.633539456
"In a few years he'll graduate — debt free and be a doctor. Yep, I'm jealous.",-4.473141423
Here's an inside look at the viral skeletons video that brought joy to the Internet.,-4.66131902
"How the TSA “scans"" us at airports and why it means nothing for security.",-4.947137501
We can all learn something from how Maya Angelou dealt with a young rapper named Tupac.,-4.103013347
How the TSA 'scans' us at airports and why it means nothing for security.,-5.015673088
One way the TSA scans us at airports is about to be tried in court.,-4.279440046
"Penélope Cruz stars as water. Beautiful, ancient, and everlasting.",-4.834448726
The discoverer of this fuzzy ball of yarn is about to become the first person to see it up close,-5.225149124
The man who discovered Pluto is about to become the first person to visit it,-4.720282993
Remember Pluto? Probably not like this.,-4.895214331
"For years, the world has approached anti-rape programs all wrong, but Kenya set things straight.",-4.806217751
The story here is sad but beautiful. Whose is it? Water's. (Penélope Cruz narrates.),-4.413910847
These two guys are going to live in a tiny tin can in space. For a year. <br>,-5.481373947
"He's going to live on the Space Station for a year, so that someday we can all live on Mars<br>",-5.560938008
"The magic power of self-healing cats, explained.",-4.872731839
If you think zombies are only on TV you gotta hear this guys stories.,-5.148757582
"A short video recaps 25 years of the Internet. We've gotta admit, it's pretty exciting. What's next?",-5.08338997
A scientist watched a bunch of male baboons die. It revealed something fascinating about men.,-3.179778181
"When this little girl lays the smack down on the school board, the adults can't get enough.",-3.680677594
Talking about privilege can get awkward. A caterpillar and a snail make it easy.,-4.543542154
"This animation is the best, most non-confrontational way to talk about privilege",-4.261196197
Penélope Cruz takes on a role as ... water. She makes a powerful point.,-4.540073369
A 9 year old goes in on standardized tests and ends with the best mic drop of all time,-3.221486792
These tiny creatures are some of the scariest living things on Earth.,-3.597188842
A gay couple wanted to adopt a baby. So they did something a little out of the ordinary.,-4.724856172
A comedian went on TV and viciously insulted a fellow comedian. Here's her eloquent response.,-4.258718495
These students know a dirty secret about how their school makes money. They want you to know too.,-4.850769389
The guy taking over for Jon Stewart is absolutely hilarious. Here's the evidence.,-3.646664163
"When a black person and a white person get together, there are some things to consider.",-3.90261177
Kenya's unique approach to rape prevention should have the rest of the world taking note.,-4.319425629
They came on the air promising real stories of real women. Now they're just embarrassing.,-4.652494074
"In 2016, there will be two elections. 99.95% of you won't get to vote in the important one.",-4.207219149
"His film won him a trip to the White House, but what he really cares about happens back home.",-5.26663011
"He's over being called “illegal"" so he wrote the realest manifesto I've heard.",-5.170236929
It's an open secret among the members of her platoon. It shouldn't have to be a secret.,-4.304801922
They came on the air promising real stories of real women. Now they're just embarrassing.,-4.40097856
Folks in this city survive on $3 per day. He calls the city home and is trying to help.,-6.139165903
"Using his camera to learn more about himself, this teen ends up teaching Obama about the Navajo way.",-5.180072268
"If you get down about your work, a little Lego guy has some advice.",-4.82637246
"He's over being called “illegal"" so he wrote the realest manifesto I've heard.",-5.167762905
Indiana passed an anti-gay law. They're just finding out how badly they screwed up.,-4.70219879
Does being a perfectionist get to you? A little Lego guy has some advice.,-4.687870482
"They don't want us to feel ""normal"" so we'll keep buying sh*t we don't need. She says: ENOUGH.",-4.565110096
This superbug has killed thousands. Two scientists just killed it with a 1000-year-old remedy.<br>,-5.159305143
"Some words need to be ""retired"" from our language. Here's my #1 choice.",-4.684880198
"Look really closely at this river, and you just might see what the big developers see.",-4.021981629
A ripped guy and a not-ripped guy are in their undies and I love it. They both have great bodies!,-4.462478424
A ripped guy and a not-ripped guy are in their undies and I love it. They both have great bodies!,-4.288464925
"Superbugs like MRSA may have just met their match thanks to this 9th century potion. Yes, really.<br>",-5.160303895
This robotic bear can tell when a child is in pain based on how hard they squeeze its hand.,-5.38038232
An anonymous person complained that their school doesn't have a club for white people. Bad move.,-4.438254767
Sometimes the weight of the world feels pretty heavy. That's when you could use a pep talk.,-5.243760607
This robotic bear can tell when a child is in pain based on how hard they squeeze its hand.,-4.853289551
"Well, Indiana is sure gonna be sorry now. First Angie's List and now Ron Swanson? OUCH.",-4.192878551
"No one should be called ""illegal,"" so I applauded his powerful statement.",-4.93252765
"A Utah town's solution to homelessness is so good, every state will be mad that they weren't first.",-3.574045049
"""If you're against it, you're against jobs ... For it, you're against children."" Tough call.",-4.068388714
"When one stadium announced LGBT Pride Night, angry fans sold their tickets. So she bought them all.",-4.396866951
Celebs reading mean tweets it's hilarious. Homeless reading mean tweets? Not so much.,-4.328993993
How a doctor gets them up in there — and other important facts about IUDs,-4.49807978
Twitter is supposed to be fun. But for these homeless folks it's crushing.,-4.093100007
A gay love story set to a straight lyrics show that the feeling of love is universal,-4.297409084
"Growing up, Alfred was so full of hate. But now he's channeled that into something amazing.",-5.154798375
This is what California's water problem looks like. And here's how we fix it.,-4.263703681
Every year her daughter's birthday party is in the hallway. Here's why.,-3.945985161
3 selfies shared by Chris Rock are just one more way he's demonstrating racism still exists.,-3.173451419
"The huge price one comedian paid so that George Carlin, Richard Pryor, and others could make it big.",-4.211750879
"Her speech was great, but I zeroed in on the list of names she gave. Some really important women.",-5.16085991
Helen Mirren says what every woman who's ever been on a crowded train has been thinking.<br><br><br><br>,-3.41012526
Every birthday her daughter asks if her party will be in the hallway again. It is.,-3.681828511
These students know a dirty secret about how their school makes money. They want you to know too.,-4.093502457
"He's only 10, but he just gave Florida's legislature a powerful lesson in discrimination.",-4.504074069
"You should have learned about them in middle school, but you probably didn't. So here goes.",-4.196458054
These 2 elderly Holocaust survivors are living proof that it's not enough to just survive.,-4.656630133
"His wife said he was crazy. His rabbi said he was too old. But his friend said, 'Let's do it.'",-4.418840608
The NFL just hired their first female ref. Here's why that's huge news.,-4.640190769
John Oliver finds out just how easy it is for the NSA to see you naked.,-3.421484036
A black man sits down at a diner to eat. The white patrons are shocked. Then the owner steps up.,-3.080063152
"He takes down climate change deniers using only air-quotes and the phrase ""so-called"".",-4.083590426
Can't imagine what it's like to live in Uganda? Let this show you.,-4.358968715
"A 'woman' at 12, married by 14, pregnant by 15. But WAIT! Rewind that and let's do it again.",-3.864400834
"As the cost of college skyrockets, one school has a radical new plan: a free education.",-5.077421288
You can get paid to reduce your carbon footprint? I'm listening…,-5.480883991
Modern day human slavery takes many forms. Here are three of them.,-3.810649537
"When one employee saw these baby clothes, he almost lost his cool. Thankfully the store listened.",-3.449112272
A college just approved a $2.50 fee per student per semester. It made a lot of students happy.,-4.559247998
A massive corporate power grab is about to become law. You need to know what's in it.,-4.812676966
A famous rock star has an inspiring message for the poorest youth of America.,-4.184763498
