Headline,Attention Score
Two Abortion Protesters Decided To Yell At This Guy's Wife. They Probably Shouldn't Have Done That.,1
Emotional Husband’s Powerful Confrontation With Abortion Protestors,0
How Poor People Became The McDonald’s Hamburger Meat Of The American Economy,1
"Remember The Military Industrial Complex? It Grew A Newer, Creepier Head, And It's Coming For You.",0
"Gross, Is That Blood? Nah, It's Just Paint. THAT'S Blood.",1
Remember That Time We Got Shot With Tear Gas? I Painted It.,0
Here’s The Ad That Muslims Across America Wish You Would See,1
A Bunch Of People Decided To Fight Hate With Beautiful Art,0
The Unbelievable Loophole In U.S. Child Labor Law,1
Meet The Kids Whom U.S. Child Labor Laws Failed To Protect,0
This Really Offends Me About Child Offenders,1
"Where Will These 2,570 Kids All Spend Their 50th Birthday?",0
MUST WATCH: A Politician Loses It And Restores My Faith In Humanity,1
A Politician Asks For Forgiveness And Genuinely Means It,0
Meet A Woman Who'll Make You Furious That She Calls Herself An American,1
Meet The Woman Who Gave Mitt Romney His Stance On Immigration,0
"If You Think 1 Canadian Dude Is Actually 180,000 Hispanic People, You Might Be Kinda Sorta Racist",1
Why Martin Luther King Jr. Would Still Be Fighting For Voting Rights If He Were Alive Today,0
The Schoolhouse Rock Parody That Is Equal Parts Painfully Accurate And Funny,1
"Learning About The Government Is Too Depressing For Kids, Even When It Looks Like This",0
You Won't Believe What Saved The Lives Of 11 Children In 11 Seconds In Sandy Hook,1
"11 Kids, 11 Seconds, And 1 Mind Blowing Hopeful Fact About The Sandy Hook Tragedy",0
Just One More Sad Example Of What Kind Of Non-News 24 Hour News Networks Consider 'Newsworthy',1
OF COURSE The Media Stopped Covering The Sequester As Soon As It Started To Really Matter,0
I Bet This Man Has Embarrassed A Few Police Officers Who Have Tried To Arrest Him,1
The Professor Of Dirt Is About To Prove Just How Dirty Your City Is,0
Remember Those Troubled Kids In School? Turns Out They Weren't Actually Troubled.,1
Teamwork And Leadership Are Overrated — There Is Definitely An 'I' In 'Team',0
The Man In The Sweater Who Never Mentioned The Most Important Thing In His Life,1
Is It Possible To Teach Morality Without Talking Religion? Everyone's Favorite Minister Thought So.,0
Watch A Feminist Senator Teach A U.S. General How To Do His Damn Job,1
Watch A US Senator Slap Some Sense Into The US Military,0
It's Disgusting What People Consider Beautiful Nowadays,1
Killing An Elephant To Make A Trinket Is Beyond Stupid,0
This Future Map Of The United States Is Way Cooler Than Any Current Map Of The United States,1
MAP: This Is What Americans Look Like On Speed,0
What Would Happen If The U.S. Eliminated The Penny? Let's Ask A Country That Actually Did.,1
Why Is Canada Deliberately Getting Rid Of Good Luck?,0
1 In 3 Women Need You To Watch This.  The Other 2 In 3 Women Would Prefer You To Watch It Too.,1
A World Leader Would Like You To Do Something Other Than Celebrate Valentine's Day This Year,0
"If You Watch One Moment From The State Of The Union, Make It This One",1
"Like The President Said, They Deserve A Vote",0
"If You’re Afraid Of The Unknown, You’ve Already Lost",1
Are You Curious Enough To Eat A Worm?,0
There's Some Things About Women That I Didn't Think I'd Want To Know. This Is One Of Them.,1
Do We Need Laws To Protect Women From Violence? Ask This Chart.,0
"People Get Tired Of Hearing The Word Awesome. But In My Defense, Seriously, This Kid Is Awesome.",1
"What Do Robert Frost, Space Jam, And Journey Have In Common? Just Ask The President.",0
Watch A Real Person Correct An Elected Official On How Democracy Should Actually Function,1
2 Members Of Congress Debate Whether Accepting Legalized Bribes Is Cool. Righteous Honesty Prevails.,0
Why Oregon Just Became The Best State To Have Sex In,1
Having An Abortion? Better Move To Oregon.,0
These Girls Have Seen Their Own Potential. They're Going To Do Amazing Things With It.,1
Bring Your Daughter To Work Day Just Got A 21st Century Upgrade,0
"If This Video Goes Viral, The Internet Could Be In Huge Trouble",1
Just A Reminder To Stop Every Once In Awhile And Zoom In On The Flowers,0
Some Strange Things Are Happening To Astronauts Returning To Earth,1
Advice For Saving The Earth From Some Of The Only People Who Have Left It,0
Looking At This Map For 5 Seconds Will Change How You Think About Race,1
Cosmetics Salesmen Will Find This Map Very Helpful. Neo-Nazis Won't.,0
"The Only Man In History With The Right To Say ""I Told You So"" To The Entire Planet",1
Nickola Tesla Exactly Predicted Our Energy Crisis 100 YEARS AGO,0
Take Your iPhone From Dead To 100% In 30 Seconds Using Science,1
FINALLY! A Battery I Can Throw In The Trash,0
See A 17-Year-Old Girl’s Laser-Sharp And Laid Back Take-Down Of An Annoyingly Popular Reality Show,1
How Exactly Does Punishing Fat People Go With Your Pledge To Love Your Body?,0
Watch A Diner Waitress Explain To A Wall Street Guy How Money Works In America,1
A Journalist Goes Undercover As A Waitress. Guess Which Job Was Harder?,0
College-Age Republicans Decide To Compromise In An Awesome Way,1
"These Republicans Have Officially Endorsed Gay Marriage. Sadly, They're Not The Ones In Power.",0
WATCH: The TEDxTalk That Knocked Me Down A Peg Or Two,1
What Your Reaction To Celebrity Gossip Says About You,0
9 Out Of 10 Americans Are Completely Wrong About This Mind-Blowing Fact,1
"Meet The Person Who Has No Clue How Money Really Works. Ok, Stop Looking In The Mirror Now.",0
I Honestly Didn't Think A Video About Birds Would Make Me Cry. I Was Wrong.,1
A Short Video About Birds That's Guaranteed To Break Your Heart,0
This Is Exactly How Desperate We Are To Get Oil Out Of The Ground,1
What Would Someone From 200 Years Ago Think Of This Thing We Now Do To Get Oil Out Of The Ground?,0
Watch A Nervous Mom Make An Heroic Phone Call While Her Kid Naps,1
Watch This Mom Check “Gun Control Advocacy” Off Of Her To-Do List,0
A Depressing Map Of The US That Will Make You Not Want To Have Babies,1
MAP: Why You Should Move To Canada To Have Your Baby,0
I've Never Met A 15-Year-Old And Thought 'She's Gonna Run The World One Day.' Yet Here We Are.,1
"A Teen Girl Who Loves Fashion? And She's A Feminist?! Stop, My Head Is Exploding!",0
How To Win An Argument That Might Just Save The Planet,1
Move Over Al Gore—A Flowchart Took Your Job,0
ALL KINDS OF WRONG: CNN Pays A Touching Trubute To The Rapists Who Attacked A 15 Year Old Girl,1
The One Where CNN Feels The Need To Sympathize With Sexual Predators,0
Why Your Part In The Steubenville Tragedy Is Bigger Than You Think It Is,1
Want To Prevent Tragedies Like Steubenville? Stop Letting Them Happen.,0
Stop Turning Everything I Do Into A Political Statement!,1
"Once Upon A Time, There Wasn’t 'Liberal' Beer Or 'Conservative' Beer, There Was Just … BEER",0
NAILED IT: Watch A Really Smart Comedian Destroy A Really Dumb Idea,1
Stephen Colbert Celebrates The End Of Racism — And The Continuation Of Ignorance,0
How Science Allowed A Woman To See The Light,1
"Bless Australia For Giving Us Kangaroos, Crocodile Dundee ... And THE BIONIC EYE?",0
Want To Hear A Genius Ruin Politics And Religion In 5 Sentences?,1
"If You Call It ""Flip-Flopping"" One More Time, Carl Sagan Is Gonna Be Pissed",0
Hillary Breaks Down Gay Marriage So People With Extra-Thick Heads Can Understand,1
Can We Hurry Up And Just Elect Hillary As President Yet?,0
These Are Literally The Smallest Apartments You'll Ever See,1
"These People Aren't Vampires, So Why Are They Living In Coffins?",0
Offensive Things You Might Say That You Didn’t Realize Were Offensive,1
Things I've Overheard In The Melting Pot,0
Watch This Bride Dump Her Very Important Groom At The Altar,1
"With This Ring, McDonald's, I Thee Wed",0
The People With The Most Power In The World Actually Believe This Really Horrible Thing,1
The Simplest Way To Think Your Way Out Of Wall Street's Awful Economic Dogma,0
"These Christians Are Advocating The Government Do Something, And I'm Actually Not Outraged. At All.",1
Why The Jobs Crisis Isn't Just Some God Of Economics Testing Our Faith In Fiscal Austerity,0
The Single Greatest Gift For A Woman,1
How Did 3 Geniuses Combine Purses With Saving The Planet?,0
I Don't Like Being Lied To. Neither Did This Documentary Crew.,1
Thank Goodness B.P. Cleaned Up Their Oil Spill. Now These Lovely Birds Can … Keep Dying?,0
"If My Dentist Caught Me Showing People This, He'd Slap Me In The Face",1
"Is That A Soda In Your Pocket, Or Are You Just Happy To See An Early Grave?",0
SWOON: Watch This Star Calmly Blow Apart Any Argument That We Can't Solve Poverty In One Generation,1
Why Is This Rockstar Calling Himself An 'Insufferable Little Jumped-Up Jesus'?,0
Why Women (And Men) Love This Picture So Much,1
Something REALLY Sexy Is Happening At This Store,0
Remember Sandy Hook? Apparently The Senate Doesn't.,1
The NRA Claims It's Latest Victim. Say Goodbye To Background Check Reform.,0
WTF: Why You're Way More Likely To Get Arrested At The End Of An Officer's Shift,1
So Messed Up: Why You're Way More Likely To Get Arrested At The End Of An Officer's Shift,0
About To Start An Argument Over Israel and Palestine? Watch This Video First. ,1
This Guy Lives In A War Zone. So What's He Smiling About?,0
Should A Parent Listen To Their Kid In This Situation?,1
Would You Sacrifice This Much For Your Kid's Education?,0
A Head-Slappingly Simple Strategy That Might Just Reduce The Crime Rate,1
A Strategy To Combat Crime That McGruff Wished He Thought Of,0
"This 9-Year-Old Has Blown Away The Minds Of Millions, Will You Be Next?",1
"Does Your Life Need More Meaning? Here, This 9-Year-Old Can Help.",0
This Girl's Middle School Photography Project Will Steal Your Breath Away,1
This Girl Makes Me Want To Dump My Thanksgiving Dinner On Columbus' Head ,0
"What The Craziest Thing About The Fact That Humans Exist? I Don’t Know, But I Bet It’s In Here.",1
How Do You Go From An Amoeba To A Global Superpower? Like This.,0
I’ve Never Had A Pie Chart Make Me Gasp Before,1
"This Isn't A Pie Chart, It’s A Big Fat Raspberry",0
Did The Supreme Court Just Legalize Gay Marriage? Well... Sort Of.,1
The Supreme Court Did What They're Paid To Do. Talk About Stuff. Here's The Abbreviated Version.,0
"This Doctor Had A Breakdown, Saw A Therapist, And Ended Up Changing, Like, Millions of Lives",1
"This Amazing Storyteller Can Change The Way You Live, Love, Work, And Parent",0
Why Going Off The Grid Isn’t Just For Conspiracy Theorists Anymore,1
Don't Want To Go Solar To Save The Environment? Go Solar To Save The Wallet.,0
This Isn’t Just A Car: It’s The End Of Gasoline As We Know It,1
The Future Of The Auto Industry Is Right Between Your Nostrils,0
"When Your Carbon Footprint Needs A Commercial, Your ‘Feet’ Are Too Damn Big",1
NERD ALERT: The Climate Action Superhero You Didn’t Know You Were Waiting For,0
A Supermodel Hemorrhages During Childbirth And Turns Her Experience Into An International Campaign,1
See What Can Happen When A Safe Place To Give Birth Isn’t A Guarantee,0
"OMG. Google ""Tucker Carlson"" And ""Gay Marriage""",1
10 Democratic Senators To The Right Of Tucker Carlson,0
Jennifer Lawrence Summarizes Everything That’s Wrong With Our Culture Today In 1 Sentence,1
What Could Hollywood Do To Change The Lives Of Half The Population?,0
In Case You Missed It: Why Everyone Is Posting Those Pink Equal Signs on Facebook This Week!,1
Support For Gay Marriage + A Little Creativity On Facebook = These Kick-Ass Profile Pics,0
"Congressman 'Accidentally' Uses Horrific Racial Slur, Apologizes, And Is Still Racist",1
Would You Forgive A Congressman For Being Horribly Racist If He Grew Up On A Farm? Me Neither.,0
Why Don't More Moms Talk To Their Daughters Like This Famous Actress Talks To Hers?,1
How Complimenting Yourself Creates Positive Change In Other People,0
"It's Hard To Visualize Billions Or Trillions Of Dollars. After You See This, You Won't Want To.",1
What Has Enough Money To Remake The Statue Of Liberty Out Of Dollar Bills?,0
"A Gay Soldier Is Being Singled Out And Prosecuted, But That's Not Even The Craziest Part",1
What If The Characters In 'Mr. Smith Goes To Washington' Were Gay?,0
Here's Why We Can't Have Nice Things,1
HBO's Game Of Thrones Really Needs To Stop Letting Congresscritters Write Their Scripts,0
The Most Honest Cable Company In The World Has A Message For You. It's Not Good.,1
The One Where Your Cable Company Offers To Punch You In The Face And Tells You To Say Thank You,0
Your Cable Company Has Been Keeping A Really Sketchy Secret From You For Like Forever,1
The One Where Your Cable Company Stops Talking About You Behind Your Back,0
A Photographer Asked People What They’d Like To Say To The World. Their Answers Will Blow You Away.,1
Ink That Makes You Think,0
"North Korea Would Ban This Video If They Could. Lucky For Us, They Can't.",1
What Do You Do When North Korea Threatens To Punish Your Family When You Escape?,0
You Won’t Believe What These Muslims Are Protesting About,1
Muslim America Rocks — We Just Don’t Hear About It Often,0
This Adorable Kid Just Wants To Take A Girl On A Date. So Why Is That Such A Big Deal?,1
"If You Can See Past The Super-Adorable Kid, There’s A Really Great Message Here",0
"I Don’t Know Anything About Soccer, But This Is The Most Inspiring Goal I’ve Ever Seen",1
These High School Athletes Were Winners Long Before The Game Ended,0
"History May Not Remember This Speech, But I Guarantee That You Will",1
This Speech On Gay Marriage Made 4 Years Ago Will Have You Cheering Right Now,0
How Kids Are Playing With Something Far More Dangerous Than Guns Every Day At School,1
Why Giving Kids Forks And Knives Can Help Save Their Lives,0
Our Nation's Capital Has A Secret. And It's Dirtier Than You Can Possibly Imagine.,1
I Got A Fever And The Only Prescription Is To Make It Rain... Fish.,0
The Mainstream Media Is Too Busy Covering War To Show You THIS,1
Why Is This Kid Riding A Bomb?!,0
Our Nation's Capital Has A Secret. And It's Dirtier Than You Can Possibly Imagine.,1
SECRET: Fishing Is Like Sex...,0
"They Had Polio And The Black Plague, We've Got This To Deal With",1
"""Damn It."" -The Present. ""Sorry About That!"" -The Past.",0
The Little Girl's Toy That Thousands Of Grown-Ass Men Can't Wait To Play With.,1
What Happens When A Bunch Of Dudes Get Down With My Little Pony?,0
What Lots Of Teachers Think But Are Scared To Say,1
Who Ever Heard Of Parents Getting Homework?,0
Guess The 1 Word The Postal Service Can’t Stand?,1
This Company Exposed A US Government Agency’s Religious Bias,0
An Iraq War Veteran Provides A Shocking Demonstration With His Weapon,1
I Bet This Weird Gray Torso Thing Wishes There Were Background Checks,0
Finally: A Kid’s Show That Isn’t Peddling Obesity And Actually Respects Kids,1
This Hiptastic Children’s Show Makes Me Want To Be A Kid Again,0
8 Things Women Want That Most Men Take For Granted,1
What Women Want Is So Much More Than A Terrible Film Starring Mel-Effing-Gibson,0
See The Video That Got This Terrific Tree Hugger Fired,1
Meet The Coolest Tree Hugger Ever,0
Teacher Caught On Camera Making A Student Cry. It’s Actually Pretty Amazing.,1
This Teacher Is Pushing His Kids Around. That’s Why They Love Him So Much.,0
I Can Barely Wait For A Bus. This Woman Has Waited Her Entire Life.,1
Could You Keep Waiting For Your Child To Come Home After Everyone Else Has Given Up?,0
The Scariest Horror Film Of The Year Is Actually A Documentary,1
Are You Unlucky Enough To Be Witnessing The Death Of America's Middle Class?,0
"This Filmmaker Could Have Been Killed At Any Moment, But He Kept The Camera Rolling Anyway ",1
MUST WATCH: The Unbelievable Footage Of Syria A Filmmaker Risked His Life To Get,0
How Do You Handle Gay Football Players In The NFL? Here's Archie Bunker's Wise 42-Year-Old Lesson.,1
"We May Not Call Them La-Dee-Dahs Anymore, But Why Do We Think The Same Way About Gay Athletes? ",0
You Don't Need To Speak A Foreign Language To Understand How Insane This Is,1
I've Been Told That Americans Get More Anti-Immigrant When They Hear Spanish. Prove Me Wrong.,0
Check Out This Hilarious But Real Prank A Bank Pulled On Men,1
"This Might Look Like An Episode Of 'Punk'd,' But It's Real",0
What’s The Most Quietly Despised One-Fifth Of America Nobody’s Talking About?,1
Guess Which Socially Vilified Group Needs An Extreme Makeover?,0
America Put This Famous Gay Space Dude In Jail When He Was 5 Years Old. Now He's Going Where?,1
Everything You Wanted To Know About Gay Broadway Space Prisoners-Of-War But Were Afraid To Ask,0
"Man Lands In America, He Wasn't Born Here, But We Let Him Stay. Do You Know His Name?",1
Ka-Pow! What's Your Answer To The Superman Question?,0
"Here's How Immigration Works, And I Still Don't Get It",1
Want To Work In America? Go Back In Time And Get In Line At Ellis Island,0
"This Might Be Why I Thought ""Harry Potter"" Was Written By A Dude For So Long",1
"We've Elected Women And Put Them In Space, So Why Is It So Hard To Find Them HERE?",0
"If You Enjoy When Rich People Fail, You’ll Love This Chart",1
The Biggest Financial Busts In History In One Easy-To-Read Chart,0
"Like Being A Woman In America Isn't Hard Enough, Now We Have To Worry About This?",1
"If Every State Did This One Thing, More Women Would Be Alive Today",0
Watch The Video That Coca-Cola And McDonald's Hope You Never See,1
How The Food Industry Has Made Children More Annoying,0
There Is Bravery In This World. A 9-Year-Old Kid In Star Wars Pajamas Taught Me That.,1
The Best Part About Being Sick Is That You Get All The Free Ice Cream You Want. The Worst Part Is-,0
That Thing They Teach You About In Health Class Isn't Nearly As Dangerous As It Used To Be,1
F*ck AIDS. Ferreal.,0
We Couldn't Decide Wether Or Not To Accuse Google Of Not Caring About Your Privacy In This Headline,1
Google May Or May Not Be Game To Give All Your Private Info To The Feds. We Have No Idea Either Way.,0
" If You Hate It When Companies Get Away With Not Paying Taxes, Here's A Way To Vent Productively",1
You Remember Space Invaders? There's A New Version With A Way Scarier Real Life Villain.,0
" If You Hate It When Companies Get Away With Not Paying Taxes, Here's A Way To Vent Productively",1
"Don't Worry, You Can Play This Game At Work. All Your Bosses Do.",0
This Is Why Journalism Has Sucked For The Past 20 Years,1
Why Good Journalists Get Fired And Bad Journalists Get Promoted,0
2 People Described The Same Person To A Forensic Artist And This Is What Happened,1
How Did This Artist Draw 7 Women Perfectly Without Ever Seeing Their Faces?,0
Why You’re Being Smart For Not Liking This Little Girl,1
Scam alert! Look Before You “Like” Facebook Users.,0
"Want Another Reason To Turn Off Fox News? You’re Welcome 
",1
Behind Organized Hate’s Playbook,0
"If You Watch This Video, You Probably Won’t Need To Turn On Fox News For A Few Months",1
Behind Organized Hate’s Playbook,0
The Future Of Marriage Equality In One Stunning Chart,1
CHART: The Incredible Rise Of Gay Marriage,0
"Just When You’re Beaten Down For Being Different, Something  Amazing Happens",1
The Painful Way To Become Facebook Famous,0
The Most Inspiring Slab Of Concrete You’ll See Today,1
Why Is This Girl Lugging Around A Bag Of Manure Making Me So Hungry?,0
What Happens When Preschool Teachers Get Tired Of Being Treated Like Preschoolers,1
"Can Unions Really Make A Difference? Why Don’t You Ask Some Preschoolers.
",0
New Zealand’s 8-Minute Long PSA On Preventing Rape Is The Most Powerful Thing You’ll See Today,1
"When You Play This Party Video Backwards, It Reveals A Secret Message",0
"Sometimes Corporate Tax Breaks Are Cartoonishly Unfair. This Time, For Instance.",1
Guess What? I Discovered The Secret To Paying No Taxes!,0
"Sometimes Corporate Tax Breaks Are Cartoonishly Unfair. This Time, For Instance.",1
Guess What? I Discovered The Trick To Paying No Taxes!,0
This Documentary Is About Lawyers You'll Actually Like. Seriously.,1
Our Justice System Would All Go To Hell Without People Like This,0
This Is What Happens When A Diet Ad Goes Rogue,1
Diet Ads You’ve Been Busted,0
This New Zealand Politician Unleashes One Of The Funniest Gay Marriage Speeches On Record,1
"Find Out Why This Politician Said ‘Big Gay Rainbow’ In A Real, Live Floor Debate",0
The Future Of Marriage Equality In 1 Stunning Chart,1
CHART: The Incredible Rise Of Gay Marriage,0
Here's Why You Don't Mess With A Feminist And Her Laptop,1
Why I Never Want To See Another Article Asking Where All The Feminists Have Gone,0
Here's Why You Don't Mess With A Feminist And Her Laptop,1
Why I Never Want To See Another Article Asking Where All The Feminists Have Gone,0
"How The Boston Bomber Was Identified, Arrested, Got A Tan And Disappeared In Just A Few Hours
",1
WTF Happened In Boston The Day After The Bombings? A Handy Guide To The Arrest Clusterf$&k.,0
This Is How The NRA Handles Reporters,1
Did You Know The NRA Used To Support The Law It Just Helped Destroy?,0
"A Whole Country Decided To Legalize Gay Marriage. In Response, They Got What They Deserved.",1
This Is My Favorite Song Sung By A Legislative Branch Of Government Celebrating Gay Marriage EVER,0
"This Is How The World Doesn't End, Not With A Whimper, But With The Click Of Your Camera Lens?",1
"This Is Not How The World Will End. At Least, Not If These People Can Help It. ",0
"If You're A Human Being, You're Going To Want To See This",1
What Do 1 Billion People Do Once A Year?,0
"If You're A Human Being, You're Going To Want To See This",1
What Do 1 Billion People Do EVERY Year?,0
How A Talk Show Host Found Out The Hard Way There Are Some Things Bob Costas Won’t Joke About,1
Bob Costas Has A Bone To Pick With The Masters,0
The Feds Will Not Be Cutting Your Social Security. They'll Just Be Decreasing Your Benefits By 10%.,1
Will The Government Cut Your Social Security? It Depends On How You Define Cuts.,0
"I Can't Believe What The Government Is Planning To Do To Your Poor, Gentle, Sweet, Old Grandma",1
"I Can't Believe What The Government Is Planning To Do To Your Sweet, Gentle, Old Grandma",0
"The DIY House That The Real Estate Industry Hopes You Won’t See
",1
"How You Can Make A House By The Same Process You Make Wine
",0
"This Desert Miracle Can Only Mean One Of Two Things: Engineers Rule, Or There Are Wizards Afoot",1
"This Wild Invention Brings A Whole New Meaning To The Phrase ‘Make It Rain’
",0
The Most Passive Aggressive Way To Cure Malaria Using Elizabeth Banks I Have Ever Seen,1
"What Do A Bearded Lady, A Supermodel, Jerky Puppies, Competitive Eating And Malaria Have In Common?",0
Watch The Most Selfish Political Movement In America Get Destroyed By One Of Its Own,1
Why Are Some Of The Most Influential Minds Of The Right Wing Stuck In Their Teen Years?,0
"Why Was This Second-Year Med Student Deprived Of 1,138 Rights Most Americans Have?",1
"How To Improve Our Quality Of Life, One Gay Marriage At A Time",0
"Two Years Ago, President Obama Quietly Signed A Radical Media Bill. It’s About To Go Live.",1
Why There May Be Fewer Terrible Songs Coming Out Of Your Radio In The Near Future,0
Guess How Much Money The Senators Who Voted Against Background Checks Got From The NRA?,1
"The Senate Has Some Bosses, And I'm Pretty Sure We Aren't Them",0
"Well, That Pretty Much Disproves Everything I Thought I Knew About The Human Body",1
Swimming At The North Pole In A Speedo? Talk To This Man First.,0
Why Is A Successful Actress Like Sophia Bush Living On $1.50 A Day?,1
Think You Could Live On $1.50 A Day? Prove It.,0
You Will Not Believe What It Cost The NRA To Make Sure Background Checks Got Killed,1
"Say What You Will About The NRA, They Sure Do Pay Their Employ- Er, I Mean, Senators Well",0
"The Completely Obvious Way To Solve Homelessness
",1
"The Incredible Reason Why This Man Feels Human Again
",0
"If You Can Read This, You're One Of The 83 People In The World Who Can ",1
"The World, In A Nutshell, According To The Worst Disney Song Ever",0
What People Who Get Bombed All The Time Have To Say To Boston,1
Is This The Most Touching Love Letter Ever?,0
Here’s A Very Important Story That The Mainstream Media Isn’t Really Covering,1
Meet The Folks Who Are On The Frontlines Of The Battle To Save Public Education,0
