Headline 1,Headline 2,Direction
"Say what you will about Sean Penn. OK, now listen to this guy talk about race.",The assumption that good people make about injustice that makes everything worse.,1
Here’s a paycheck for a McDonald’s worker. I can't even.,When my father-in-law talks about 'spending wisely' when working for peanuts ... He has no idea.,1
"A mom who loved her son rejected him when she learned he as gay. That’s not how it ends, though.","After so much pain, he finally got the call he desperately wanted: His mom told him to come home.",1
"100 years ago, people were eating things that most of us will never taste.",Nearly 75% of our crops have vanished in the last 100 years. Where the heck did they go?,1
"There are people pretending to be scientists on TV, and their 'facts' could be harming our health.","The lab coat guy sounds pretty legit, but really? He's just scaring you into doing what he wants.",1
"Their name is Jacob, and here is their story. Yes, *theirs*.","Their name is Jacob, and here is their story.",1
Feeling down from crappy news? Here's a quick pick-me-up.,"There's a lot to be happy about. For example, polar bears.",1
How many of us can say a photograph changed our lives? She's can. And she's only 10.,Meet the 10-year-old who's turning her lemonade stand into a multi-million-dollar business.,1
One guy reaches out and grabs her arm. The other makes a split-second decision.,One guy reaches and grabs her arm. The other makes a split-second decision that changes everything.,1
"He wanted to challenge what people saw when they looked at him. Clearly, his getup did the trick.","One kid tells him he's 'too skinny to be Captain America.' And yet, he is Captain America.",1
In 90 seconds this politician shuts down any debate over girls rights to an education.,Nothing is lost in translation here.  Denying girls an education is wrong in every language.,1
"New studies of musicians are revealing amazing things about brains. Even, um, normal ones.","Here’s why scientists think playing music works a brain like nothing else. Oh, and also, yipes!",1
See what happened in a country that didn't put extreme anti-choice lawmakers in check. It's scary.,Are women the only ones who suffer when laws restrict their own family planning? Not by a long shot.,1
"Here’s a McDonald’s employee paycheck, and here’s my jaw dropping to the floor.",Here’s a paycheck for a McDonald’s worker. Here’s my jaw dropping to the floor.,1
A terrible thing happened to this 20-year-old woman. They're trying to let the whole world to know.,A terrible thing happened to this 20-year-old woman. Their wearing skirts to tell the world.,1
"This video wants to thank you, me, and all of us for saving Earth.",It's okay to pat ourselves on the back. Especially when we accomplished everything in this video.,1
Watch a feminist comedian perform the most equality-driven striptease I've ever seen.,A feminist comedian performs burlesque for equality. (Hint: not your average striptease).,1
"If you’re trying to find a career you'd actually enjoy, boy, is this for you.",Doing something you give a rat’s @#$ about every day is no fun. But how do know what you WANT to do?,1
23 people a day die from this illness. But insurance companies don't really care.,Insurance companies refuse to help people with eating disorders. This survivor thinks they should.,1
Watch how fast one politician slams the door on any debate over girls rights to an education.,In 90 seconds one politician shuts down any debate over girls rights to an education.,1
"I thought I wanted a baby someday, but after watching this ... yikes.",So maybe being a parent isn't all giggles and fun. It looks impossible.,1
This is a game-changer for the blind. And you (and your smartphone!) can help.,"It's like a GPS, a magnifying glass, and a flashlight. For the blind.",1
Fast forward through her life for the awful ending. Then do it again to see something amazing.,Fast forward through her life for the awful ending. Then do it again to see the potential.,1
"Got a 3rd grader? Guess what you're doing next year, thanks to President Obama.",President Obama has a gift for a quarter million 10-year-olds.,1
"All the embarrassing things a dad can say to his daughter, corrected.","A dad writes a problematic letter to his unborn daughter, then fixes it",1
Real doctors show us just how fed up they are on Jimmy Kimmel's late night show,Real doctors sound off on the vaccine debate on late night TV. It's golden.,1
Some of these college women were raped before classes even started,Why do so many colleges not help rape victims? The reason: Money.,1
How should a restaurant deal with homeless people looking for a bite? This works.,This Philadelphia pizza parlor found a scrumdiddlyumptious way to show its 'brotherly love.',1
A writer has had enough of when men do this totally unwelcome and offensive thing.,It's time we talk about the way 'men being men' makes it harder for a woman ... to be.,1
Here’s why scientists believe learning to play music works a brain like nothing else. P.S. Yipes.,Ever wonder why musicians are so intense? They throw parties in their brains.,1
Here’s why playing music does things to a brain that nothing else does. Spoiler alert: Yipes!,Here’s why scientists believe learning to play music works a brain like nothing else. P.S. Yipes.,1
Listen to this 2-minute reality check about what you have to offer.,A solid reality check about your place in the world.,1
I wanted to know how and when cops decide to kill someone. Now I understand...kind of.,"This just in: The police have a hard job - and very, very vague rules.",1
The must-see video burning up the Internet in China right now might help millions breathe easier,The game-changing documentary that's rocking China right now started with her unborn baby's tumor.,1
"When phones can act like eyes, have we reached a new level of amazing?",What if the ability to see could be crowd-sourced?,1
Oh look. John Oliver takes yet another boring topic and makes it grade-A hilarious.,"There are 70,000 bridges in America that are 'structurally deficient.' Some really big ones too.",1
She asks the little girl 3 questions about her life. Her answers are pretty devastating.,She made a 2-hour documentary about an important issue. These 3 images drive the point home.,1
"When she decided to have an abortion, her mother didn't stop her. The reason why makes sense.",Some demand that women who've had abortions show remorse. But what about when they don't regret it?,1
This is how you win an argument about climate change.,"When climate change came up over dinner, things went sideways fast.",1
"Everyone waited for it to be taken down. 150 million views later, it's still up. Watch it here.",Why the creator of this almost-censored Chinese video can't breathe easy just yet.,1
São Paulo sounds like a city of dreams. Until I saw the reservoir.,How São Paulo will collapse if it won't act on this water problem soon,1
"She is Gertrude from Ndola, Zambia. Here's how she gets water.",Many of us can just turn on the tap and fill our glass. She can't.,1
"Each survives on $3 a day, average. On top of that, their water? There's a huge problem.",The town of Matagalpa didn't have clean water. One of their own decided to change that.,1
Here’s what might happen when a climate-change skeptic invites a scientist over for dinner.,Skeptics have all kinds of reasons why climate change is no biggie. Check another one off the list.,1
"She says 9 sentences in the beginning, and that's all that it took to convince me.",23 people a day die from this illness. But insurance companies don't really care.,1
One of the most beautifully shot videos I've ever seen that makes be feel ugly to be a human,Sharks are pretty nice to us considering how many we kill every day. Here's how it's going down.,1
This is how you win an argument about climate change.,Can a little bit more CO2 really do that much damage?,1
"If you’re like me, when homeless people ask for money, I just can't. Here’s a much better idea.","What if you could help the homeless by electronically funding the purchase of shoes, clothes, etc.?",1
Hundreds of kids arrive in Ireland and go missing. Somehow he was spared.,His mom died. His dad was into danger. At 15 he had to escape.,1
Her name is Gertrude Mamba. Here's what it takes her to get water.,Take a look at the heavy barrels these women push just to survive.,1
His hometown is littered with dirty rivers and contaminated wells. So he fixed them.,More kids went to school. People got healthier. What did it take? Fixing a couple of wells.,1
Straight-up chilllin' out for 20 minutes a day will make your brain better. Here's how.,"If superfit brains were as sexy as superfit bods, their brains would be in Sports Illustrated",1
One little girl took pictures of her school lunch. The internet responded — and so did the school.,Social media and technology have failed some children. But these kids? They win the internet.,1
This 10 minute video has completely changed the way I look at do-gooder,Are you really a good person for buying organic apples?,1
I wonder what we'd think of the NFL if every player knew their mind as well as him,This NFL player is breaking the stigma around mental illness,1
São Paulo sounds like a city of dreams. Until I saw its reservoir.,This is what deforestation can do to your city and your water supply.,1
The president puts 1 chart in front of the camera that might make you hate your cable company more.,He shows you 1 chart that explains why it took so long to load this page.,1
"He was fed up with his mom, so he tried an experiment. After it ended, he started sobbing.","He did an experiment to see what it was like to have Alzheimer's. By the end, he was in tears.",1
"EXCLUSIVE: A massively viral Chinese documentary, summarized in English for the first time.","EXCLUSIVE: 'Under The Dome,' the viral anti-pollution video from China, translated to English.",1
10 life-saving heroes walk into a photo. Obviously we're going to celebrate them.,These 10 people are linked to some of the most common vaccines we have today,1
"I hold my breath as she takes the bandages off. But after, I can't stop smiling.","Their mother bursts into tears thinking about the surgery. But after, they can't stop smiling.",1
I never realized how dumb our cities are until I saw what a smart one looks like.,Why are so many cities making people sick? Wake up and smell the exhaust fumes.,1
Julia Roberts stars in her biggest role ever. She will literally never have a bigger one.,It's definitely time to stop trying to save the Earth.,1
I asked a black ladyfriend if this was for real. She realized she had no idea how oblivious I was.,#askhermore isn't just for the red carpet.,1
Her name is Gertrude Mamba. Here is her story. Brace yourself.,40 billion hours a year. That's the time people spend to get water in Africa.,1
"They can barely bring themselves to watch, but when I saw what was on the screen, I just laughed.",I can't believe we lost the glacier.' — A guy not talking about sports.,1
"Well, one guy in this video just comes out and says it. 'Stop treating women like baby-machines.'",They're sharing some brave thoughts and experiences with womanhood. You may find yourself agreeing.,1
It's a pop song like no other. But not every woman is allowed to hear it.,Her powerful pop song is meant for 'all' women. Even those not allowed to hear it.,1
There's a new way for kids to smoke cigarettes and it's totally legal. What?,"16 million kids can buy e-cigarettes legally, and no one's talking about it.",1
A fairly obvious thing that all homeless people have in common that's good to remember,A guy takes to the streets to interview homeless people. The results?,1
"Instead of making homelessness illegal and punishing people, how about we help them?","The first half was a huge downer. It all turned around, though, because of good people.",1
It only took 83 minutes for a movie to change everything for SeaWorld.,"They should be free in the ocean, but they’re ‘stored’ in tanks. Now it’s SeaWorld that’s tanking.",1
"He asks, 'Why do people fear the gay?' And then he answers his own question.",He reflects on what he thinks makes people dislike others who are different. What do you think?,1
"If water doesn't flow, farmers have to leave their homes for the city. DIY glaciers to the rescue.",Can human-beings create glaciers? These guys are off to a good start.,1
What if I told you that you'd never have to see things like this ever again?,The result? 72% less chronic homelessness. The reason. Give'em homes.,1
"A movie went behind the scenes, and now SeaWorld is just trying to stay afloat.",SeaWorld is trying to stay afloat since a movie revealed its secret.,1
This billboard takes on domestic violence in a way you really have to see to believe,People can control how the women on this billboard look. They just have to look up.,1
"A woman perfectly answers the question, ""What's the difference between men and women?""",Three women from around the world speak up on the status of women's rights.,1
Watch a super rich capitalist have a 'lil secret chat with his fellow richies,This zillionaire knows why 1 city is crushing it in the prosperity and job categories,1
A woman explains how she makes money in Cuba without the Castros,"Say what you will about Cuba, but they are embracing capitalism just fiiiine.",1
"A woman perfectly answers the question, ""What's the difference between men and women?""","On International Women's Day, these three women have something to say about gender equality.",1
Three women deliver a powerful message about the state of women's rights in the world.,"When asked about gender equality, 3 women give different answers with one important thing in common.",1
"If your next package looks like this, you might be a black woman","A wage gap parody that includes all women, not just the white ones.",1
This fake Amazon ad is pretty funny until it gets to black women,This fake Amazon ad imagines what packages look like for black women,1
Coming out was easy. The hard part? Admitting she still liked men.,Why is coming out as bisexual so difficult? Katy breaks it down.,1
"There wasn't a dry eye, on court or off. Even the refs were crying.",Terminal cancer didn't get in the way of making student Lauren Hill's dream come true.,1
Happy Puberty! Here's a vibrator.,There are so many things wrong with the way girls are taught about sex. Some women want to fix it.,1
There's something powerful about hearing the first black president say these words in Selma,Was President Obama's speech on the 50th anniversary of the march from Selma one of his best? Yes.,1
"Some women want a man to secure their future. 
And then there's her.","Some are stuck on history, but when it comes to money, they're the future.",1
An actress was sick of the roles she was being offered as a black woman. So she made her own movie.,She was SO sick of the roles she was being told to play by Hollywood. So she made her own movie.,1
"Some lawmakers think you need a good probing, mentally and vaginally, before you have an abortion.","It's really pretty creepy, when you think about it, that lawmakers want to do this to women.",1
Here's what's being done to women in over 80% of America. I didn't know it was this bad.,"The creator of 'The Daily Show' has some scary, not-at-all-funny news for women.",1
"She became ill before her son Eli was born — for one small reason. Small, but important.",The amazing reason water can make a huge difference on childbirth,1
"An analysis of 1,500 films resulted in 1 disturbing conclusion.","An analysis of 1,500 films outlined the path forward for better movies from Hollywood.",1
The thing that's slowly encroaching upon women state by state is scarier than any nightmare.,"The truth about anti-choice laws is truly frightening, but letting it creep up on us is even worse!",1
Listen to 1 man explain why he has a hard time being a feminist.,Listen to 1 man explain why he has a hard time being a feminist,1
A man screamed at her once because he thought she was white. That's just the tip of the iceberg.,A man screamed at her once. But being ignored now is even worse.,1
"You, yes, you, have the power to overcome the mind-control device you carry around every day.","Keep your eyes on the road, your hands upon the wheel ... not just song lyrics, but a good idea.",1
"When these drones zoom in over elephants and rhinos, they stop horrible things from happening.","In 10 years, there’ll be no elephants or rhinos in the wild. These drones are flying to the rescue.",1
"As parents get older, grownup kids have a problem. Who’s gonna take care of their parents?","We don’t hear much about caregivers, but we're about to care a lot about them.",1
She was the first American to ever win the International Children's Peace Prize. Hear her speech.,What does throwing a pebble into a pond have to do with changing the world?,1
"The inventors of this could have made a fortune. Instead, they're making kids happy.","For the people who are making these, the biggest question is, 'Which superhero do you want?""",1
Want to see some young people who refuse to be told they can’t fix some problems of the world?,Think all young people are apathetic and not interested in the world around them?,1
"After hearing how she spent her 9th birthday, it's no wonder she's being recognized globally.",The way she spent her 9th birthday brought her global recognition,1
I can't imagine walking miles for a cup of water. Now they probably can't either.,Why there are so many jobs in the water industry,1
"Every time some charity asks for your money, ask them if they do it like this.",They’ve come up with a $$-and-cents reason for people to do the right thing. Genius.,1
Their life-changing injuries are identical. But their compensation couldn't be more different.,Could you support your family if you were injured on the job? Depends where you live.,1
"Every time some charity asks for your money, ask them if they do it like this.","When you're thinking about making a donation, find out if they know about this.",1
Best use of food coloring ever.,"Let's be honest, who could say no to a reasonable request from a nice lady with a plate of cookies?",1
"Marry an older man. Not just grandma's advice, in some countries, it's the law.",97% of countries that committed to equality give moms paid family leave. For dads? About half.,1
Is this cartoon character (that's actually a machine) a boy or a girl? And why it matters.<br>,A video game machine that falls in love with a bubble? That'll be the day.,1
They both lost an arm. But one guy's workers comp was 10 times the other's.,Their life-changing injuries are identical. But their compensation couldn't be more different.,1
"As they read mean tweets, a laugh track plays. But it's not funny.",Bullies are never easy. But Twitter is making it brutal.,1
The first tweets? Audience goes wild. By the end? No one's laughing.,After each tweet the audience goes wild. So why do they look so low?,1
John Oliver covers a massive college sports scandal that made my blood boil.,John Oliver calls BS on March Madness,1
"Hold the pickles and lettuce. And when you get burned on the job at McDonald's, here's some mustard.",I wonder where Ronald McDonald got his license to practice medicine.,1
"The Supreme Court allowed them to discriminate for 20 years. This year, they changed their mind.",Yes! Now *that's* how you do a St. Patrick's Day parade.,1
Her job didn't exist before. Now it's changing her whole town.,There are so many jobs in the water industry — but first you gotta find water,1
Her job didn't exist before. Now it's changing her whole town.,An Upworthy &amp; TOMS event: Let's talk about water.,1
Take 2 minutes for the funniest commercial about guns you'll ever see.,See the reason these 'criminals' hate California so bad they want to shoot it.,1
This new website about guns makes me wonder whether I should be relieved or scared sh*tless.,He and his friends are violent people in leather jackets who yell at women. They LOVE this website.,1
What if you only had this crucial resource about 9% of the time?,A new app helps this Indian city distribute its limited water supply.,1
"It's the side of extreme weight-loss you won't see on TV, but that's why it's needed",Everyone deserves to love their body. This blogger has set out to prove it.,1
"Oregon's Governor just did a thing that could change everything for voters, if other states copy it.",She had a revolutionary idea: instantly being able to vote if you're eligible to vote. Brilliant!,1
Her name was 'Essence.' This is a little story about making her essence felt in her community.,"Once they learn to read that book, they're somebody. They will tell you, I am someBODY. I can read!'",1
Your first love story started long before romance. This is how to write a great final chapter.,Who will help you write a happy ending to your very first love story?,1
"An analysis of 1,500 films resulted in 1 disturbing conclusion.","1,500 films were analyzed. The prognosis is grim, but there's hope.",1
"Yes, this is a man in a women's restroom. Why? To protest men being forced to use women's restrooms.","Some politicians want to force this man to use the women's restroom, and it's absolutely ridiculous.",1
The way we grow food is causing a ruckus and we have a way to make it all good,A really cool animation about food and what you eat,1
Her name was 'Essence.' This is a little story about making it felt all around her.,"When we lose somebody, we never know what they will inspire us to do. Meet Essence.",1
The boy didn't want to blend in. He wanted to stand out. And they made it happen.,They just wanted to make the boy feel normal. They ended up making him feel like a superhero.,1
"A bankruptcy lawyer shows up at a 'right-to-work' hearing. Believe it or not, hilarity ensues.","He starts talking, and I'm thinking … groan. But he quickly gets me. I see what you did there.",1
A chilling new PSA takes on sexual assault through fresh eyes: Yours.,A powerful new PSA takes on sexual assault through fresh eyes: Yours.,1
The most convincing argument I've heard for raising the minimum wage. From a rich guy.,The video every rich and/or powerful person needs to watch on the necessity of a living wage,1
The little girl in this story is no longer alive. But she's still the star.,How one family turned their pain into something that helps kids learn to read.,1
A profanity-laden take on life from an 87 year old who pretends she's 88,Our society is kaput' and other insights from an ageless 88 year old,1
A toy company published beauty advice in its magazine for kids. She set them straight.,This picture is in a magazine for young girls. Published by a toy company. Ew.,1
"Someone asked him about his body issues, and he explained why he has them",Someone asked about his body issues and it made me wonder why he has them,1
