clickability_test_id,headline,clicks,impressions
54dd383e3862620028590000,A 1-minute video for any kid you know who may be depressed,14,1529
54dd65d8343832001a010000,This test will tell you whether you're sexist without knowing it. I dare you to take it.,43,1578
54dd65d8343832001a010000,This test will tell you whether you're homophobic without knowing it. I dare you to take it.,44,1559
54dd65d8343832001a010000,This test will tell you whether you're racist without knowing it. I dare you to take it.,47,1491
54dd65d8343832001a010000,This test will tell you whether you're prejudiced without knowing it. I dare you to take it.,53,1489
54dd7256343832000c060000,They're afraid to air it in the U.S. But I think it's a changing Tide,13,1510
54dd7256343832000c060000,They would not air it on TV and now you can see and I welcome a new Tide,16,1514
54dd7256343832000c060000,A commercial they won't let you see is finally coming out of the wash,18,1572
54dd7256343832000c060000,A commercial that was pulled in America. It's time to change the tide.,36,1510
54dd74ca633031001a200000,Matt Shepard was a friend of mine - a documentary about 1 hate crime,6,2543
54dd74ca633031001a200000,Remember the moment when you heard about Matthew Shepard? His friends want you to.,11,2533
54dd74ca633031001a200000,1 filmmaker wants to explain why Matthew Shepard was a friend of hers,12,2522
54dd74ca633031001a200000,"It came to a sad end, but the ripple effect changed the LGBTQ community",12,2498
54dd74ca633031001a200000,"Everyone seemed to love him, but 3 men killed him. Let's remember why we fight for equality.",28,2588
54dd7ee834383200281a0000,She interviewed her 3rd grade teacher just a few months before the tragedy. Heartbreaking.,7,1516
54dd7ee834383200281a0000,One of the 3 students killed in North Carolina made a heartbreaking recording just a few months ago.,8,1544
54dd7ee834383200281a0000,"Before the shooting that claimed her life, they recorded her voice one last time.",11,1551
54dd7ee834383200281a0000,"She met her husband in 3rd grade. 15 years later, she interviews her old teacher, but it's so sad.",16,1499
54de146c633031001a3e0000,"The more we ignore what's going on in Nigeria, the bigger the problem gets",6,1497
54de146c633031001a3e0000,"She stares straight into the camera and admits that she's ignorant, but she’s not alone.",9,1600
54de146c633031001a3e0000,"She doesn’t scream or yell, but when she asks if anyone cares, it’s heartwrenching.",17,1512
54de146c633031001a3e0000,They’re being taken from their homes and turned into slaves. So why is everyone so quiet?,20,1511
54de146c633031001a3e0000,"2000 were killed,  hundreds are missing, and some were made slaves, but we stay quiet",21,1581
54de16606330310028270000,She interviewed her 3rd grade teacher just a few months before the tragedy. Heartbreaking.,9,1521
54de16606330310028270000,"Before the shooting that claimed her life, they recorded her voice one last time.",13,1511
54de16606330310028270000,One of the 3 students killed in North Carolina made a heartbreaking recording just a few months ago.,16,1500
54de16606330310028270000,"She met her husband in 3rd grade. 15 years later, she interviews her old teacher, but it's so sad.",18,1574
54de1d7c633031001a500000,One of the 3 students killed in North Carolina made a heartbreaking recording just a few months ago.,9,1523
54de1d7c633031001a500000,One of the 3 students killed in North Carolina made a heartbreaking recording just a few months ago.,21,1595
54de1d7c633031001a500000,"She met her husband in 3rd grade. 15 years later, she interviews her old teacher, but it's so sad.",20,1443
54de1d7c633031001a500000,One of the 3 students killed in North Carolina made a heartbreaking recording just a few months ago.,30,1489
54de1d7c633031001a500000,She taught them both in 3rd grade. After they got married one of them interviews her. It's so sad.,41,1577
54de2c3863303100284b0000,One of the 3 students killed in North Carolina made a heartbreaking recording just a few months ago.,15,1488
54de2c3863303100284b0000,One of the 3 students killed in North Carolina made a heartbreaking recording just a few months ago.,32,1513
54de2c3863303100284b0000,She taught them both in 3rd grade. After they got married one of them interviews her. It's so sad.,54,1608
54de3d46343832000c5e0000,It looks like a love triangle at first. Then comes the twist — and it's adorable.,21,1571
54de3d46343832000c5e0000,It looks like a love triangle at first. Then comes the twist — and it's adorable.,20,1485
54de3d46343832000c5e0000,It looks like a love triangle at first. Then comes the twist — and it's adorable.,22,1523
54de3d46343832000c5e0000,A 4-minute video that pushed me to think differently of how love looks like,29,1556
54de3d46343832000c5e0000,A 4-minute video that pushed me to think differently of how love looks like,32,1511
54de3d46343832000c5e0000,It looks like a love triangle at first. Then comes the twist — and it's adorable.,36,1488
54de4f193364640028200000,A Supreme Court justice gets asked about women in the Supreme Court. She crushes.,16,1529
54de4f193364640028200000,"When there are 9,' she says. At first they laugh, but then the applause just grows and grows.",21,1487
54de4f193364640028200000,They asked her how many women should be on the Supreme Court. Her answer wins life.,22,1538
54de4f193364640028200000,"She always gets asked the same question. Her answer is only 4 words long, but it's fantastic.",26,1500
54de4f193364640028200000,An 81-year-old Supreme Court justice just gave the most badass answer to a ridiculous question.,47,1564
54de52073364640028270000,"The friend thinks it’s nice, but it sounds just like ‘You don't fit in’ to the teen hearing it.",15,1537
54de52073364640028270000,There are some really nice ways to say ‘You don’t fit in.’,15,1520
54de52073364640028270000,"The teen who says it is trying to be nice, but what it really means is, ‘You don't fit in.’",16,1496
54de52073364640028270000,"The teen who says it thinks it's sweet, but what it really says is, ‘You don't fit in.’",20,1494
54de52073364640028270000,"It’s meant as a compliment, but what it really says is, ‘You don't fit in.’",30,1604
54de6d2038356500286d0000,The first 30 seconds show how hard it can be to be a kid. The last 30 are why you shouldn't give up.,6,1524
54de6d2038356500286d0000,1 word keeps changing. But that word makes all the difference.,8,1537
54de6d2038356500286d0000,A 1-minute video for any kid you know who may be depressed,11,1560
54de6d2038356500286d0000,"In every shot, only 1 word changes. But that word makes all the difference.",16,1482
54de78bb383565000c860000,They're taking them out of prison and sending them right back in. And I'm 100% on board.,9,1491
54de78bb383565000c860000,"Normally, I wouldn't want to see an innocent soul sent to prison. This is probably my *1* exception.",15,1485
54de78bb383565000c860000,"The way these big, burly men love these dogs brings so many happy tears to my eyes",15,1472
54de78bb383565000c860000,Instead of killing this dog they sent her to prison. It's got a happy ending. Trust.,22,1593
54de78bb383565000c860000,A dog on the verge of death meets a prisoner with no hope,29,1564
54de7d5d336464000c8d0000,Know someone going to Sao Paolo for vacation? Here's a 2-minute primer for them.,4,1519
54de7d5d336464000c8d0000,"As beautiful as Sao Paolo is, 12 million people still need water. One woman found a way.",5,1524
54de7d5d336464000c8d0000,"Drinking rain water doesn't sound ideal, but it's better than no water at all.",7,1589
54de7d5d336464000c8d0000,"12 million people, one cool invention, and a beautiful city",9,1556
54de7d5d336464000c8d0000,"A woman came up with an invention to get 12 million people water. Is it magic? Nope, just hard work.",9,1452
54de7d5d336464000c8d0000,She made a cool invention. Now she's using it to save 12 million people.,21,1524
54e0d55d32336100280e0000,"Sometimes calling something ""pet"" or ""wild"" just doesn't capture the beauty of a relationship.",6,1965
54e0d55d32336100280e0000,A hummingbird introduced her son to a man in Brazil.  They took it from there.,12,2022
54e0d55d32336100280e0000,She seemed to be asking him to look out for her baby. So he did.,21,2084
54e0d55d32336100280e0000,"The video went viral, but did people miss what was so great about it?",21,2069
54e1140a303461000c030000,"One of the best policies for companies on Facebook is to engage with fans. Well, most of them, anyway.",9,1539
54e1140a303461000c030000,"McDonald’s has a new approach to Facebook. That is, to answer every question asked. Except …",17,1542
54e1140a303461000c030000,"When you ask questions on McDonald’s Facebook page, it’ll answer every one of them. With one exception.",17,1460
54e1140a303461000c030000,They asked McDonald’s a fair question about love for its workers. They’re still waiting for an answer.,18,1540
54e1140a303461000c030000,A funny thing happens when big companies like McDonald’s ask for feedback on Facebook.,24,1574
54e1140a303461000c030000,People who work for McDonald’s aren’t 'Lovin’ it.' So they asked the company some questions.,25,1495
54e17c4e396166001a2e0000,Getting people water to survive takes more than a shorter shower,1,1520
54e17c4e396166001a2e0000,"Every day, women walks miles and miles just to get fresh water. Here's what we can do about it.",4,1541
54e17c4e396166001a2e0000,"In 3 minutes, you will find out the *real* problem with water. Hint: It's not your shower.",8,1523
54e17c4e396166001a2e0000,The long showers you like to take are not the *real* problem.,16,1548
54e20408303461000c370000,These Vegas students want education but one mom thinks they're full of it,11,1561
54e20408303461000c370000,This mom thinks kids should get sex-ed at home but doesn't know jack about HPV,13,1561
54e20408303461000c370000,The Daily Show pokes a major hole in this city's sex-ed controversy with one question.,23,1504
54e20408303461000c370000,Meet the concerned mom who doesn't think kids need sex-ed. Then watch the Daily Show laugh at her.,38,1514
54e20f3a303461001a330000,The fact that this specialty magazine is still a thing shows how sexist America still is.,6,1542
54e20f3a303461001a330000,"To those who still buy the Sports Illustrated Swimsuit issue: why don't you just Google ""boobs""?",16,1540
54e20f3a303461001a330000,Last Week Tonight poses a great question: Why is there still a Sports Illustrated Swimsuit issue?,18,1575
54e20f3a303461001a330000,How some of these hosts are reacting to the Sports Illustrated Swimsuit models are really terrible.,20,1424
54e20f3a303461001a330000,The Sports Illustrated Swimsuit issue may be one of the worst remaining sexist things from the '60s.,25,1577
54e20f3a303461001a330000,The way this married host acted around Kate Upton shows the sad state of respecting women.,47,1496
54e2243a303461000c6d0000,The double amputee who's made history just by thinking about moving his arms,7,1538
54e2243a303461000c6d0000,He's controlling his new arms just like his old arms. With his mind.,9,1563
54e2243a303461000c6d0000,He lost both arms in an accident. Now he's making history with his new arms.,9,1528
54e2243a303461000c6d0000,He's moving his prosthetics with his mind?! We're living in the future.,13,1489
54e2287c303461001a5e0000,"She doesn't think kids need sex-ed, and that's why the Daily Show is laughing at her",23,1566
54e2287c303461001a5e0000,"Concerned mom thinks kids don't need sex-ed, but can't answer the Daily Show's simple question",32,1510
54e2287c303461001a5e0000,This concerned mom thinks kids don't need sex-ed. So the Daily Show let's her have it.,36,1557
54e2287c303461001a5e0000,Meet the concerned mom who doesn't think kids need sex-ed. Then watch the Daily Show laugh at her.,38,1522
54e24669396166000c860000,2000 were killed. Hundreds are missing. We stay quiet and do nothing.,19,1549
54e24669396166000c860000,"They're dead, they're missing, some were even turned into slaves, while we stay quiet",21,1515
54e24669396166000c860000,"2000 were killed. Hundreds are missing. We say we care, but do nothing.",25,1527
54e24669396166000c860000,"Thousands were killed, hundreds are missing, but we stay quiet",25,1520
54e24669396166000c860000,"2000 were killed, hundreds are missing, and some were made slaves, but we stay quiet",27,1514
54e24a81396166000c9a0000,"It has a 1-word chorus, but it may be the most necessary Oscar-nominated song of the last 10 years.",14,1479
54e24a81396166000c9a0000,"It has a 1-word chorus, but it may be the most important Oscar-nominated song of the last 10 years.",20,1579
54e24a81396166000c9a0000,"It has a 1-word chorus, but it may be the most revolutionary Oscar song of the last 10 years.",23,1574
54e24a81396166000c9a0000,"It has a 1-word chorus, but it may be the most brilliant Oscar-nominated song of the last 10 years.",22,1501
54e24a81396166000c9a0000,"It has a 1-word chorus, but it may be the most glorious Oscar-nominated song of the last 10 years.",26,1503
54e24b56663038000c080000,Here's a good way to think about death.,11,1592
54e24b56663038000c080000,"9 years after his friend Was killed, he was still looking for him. Was.",15,1438
54e24b56663038000c080000,Watch a way to look at death that is as surprising as it is encouraging.,18,1533
54e24b56663038000c080000,"His friend's death was a tragedy. 9 years later, he's finally opening up about it.",19,1546
54e24b56663038000c080000,His friend died nine years before he asked a question that made him accept it.,20,1519
54e24b56663038000c080000,Watch a way to look at death that is as surprising as it is encouraging.,22,1536
54e25532663038001a0c0000,The unfortunate thing is that the punchline is something women are actually saying every day.,10,1505
54e25532663038001a0c0000,Women are actually saying things like this every day. Maybe even on the street you're on right now.,12,1552
54e25532663038001a0c0000,The unfortunate thing is that the punchline is something women are actually saying every day.,21,1494
54e25532663038001a0c0000,"His smile might be the creepiest thing about him. When he puts his arm around her, I just cringe.",22,1522
54e25532663038001a0c0000,A 5 panel cartoon that just gets creepier and creepier as it goes on.,36,1536
54e25532663038001a0c0000,"A cartoon about catcalling from the man's perspective is totally disturbing, and that's the point.",37,1549
54e2c1726330650028240000,Your anti-vaccination deal is hurting poor people. Just thought you'd like to know.,3,1539
54e2c1726330650028240000,"It's an arms race. Actually, it's 2 arms races. One of them, you can help win.",3,1517
54e2c1726330650028240000,It's not every day lefty tofu-eaters and right-wing libertarians get together to ruin the country.,7,1583
54e2c1726330650028240000,It's a war on facts. Here's some ammo.,7,1548
54e2c1726330650028240000,An embarrassing dad made his kid's birthday party awful. And set public health back 100 years.,13,1483
54e34e30663937001a330000,He's able to control his new arms just like his old arms. With his mind.,2,1579
54e34e30663937001a330000,"Prosthetics operated by mind control?! This isn't science fiction, it's real life.",2,1511
54e34e30663937001a330000,"Here's what prosthetic limbs could look like in the future. Future, meaning now.",4,1518
54e34e30663937001a330000,The new prosthetic technology that's going to change everything,6,1515
54e34e30663937001a330000,This guy gained two fully functional arms thanks to the big brains of SCIENCE.,7,1496
54e37e22633039001a180000,The unlikely company that's banking off government handouts should be FOX's next target,4,1559
54e37e22633039001a180000,A fake interview about Walmart's shady tactics that I wish was real,6,1478
54e37e22633039001a180000,"When Hannity learned how much this company was making off welfare, he lost it. Sorta.",17,1530
54e37e22633039001a180000,What would happen if FOX news asked Walmart the tough questions?,21,1534
54e383f2633039001a290000,"She got people to drink water previously infested with mosquitoes, and it's kinda amazing how.",5,1470
54e383f2633039001a290000,"Think of water dripping from the ceiling. Now imagine drinking it. Gross? Actually, no. Just smart.",7,1579
54e383f2633039001a290000,Could anyone convince you to drink ceiling water? This lady might.,7,1533
54e383f2633039001a290000,I couldn't imagine not being able to flush my toilet. She imagined a way to help those who couldn't.,9,1545
54e383f2633039001a290000,She has a cute candy-colored barrel. What's inside is more precious than candy.,11,1463
54e383f2633039001a290000,She came up with an invention to save 12 million people. Genius? Kinda.,20,1533
54e38404633039000c3e0000,It's hard to think we're running out of water when we're swimming in it halfway around the world.,0,1532
54e38404633039000c3e0000,"Every 15 seconds, dirty water is responsible for killing someone.",1,1624
54e38404633039000c3e0000,"If we're running out of fresh water, why do our faucets still run? Finally, an answer.",5,1498
54e38404633039000c3e0000,Ever wonder why fresh water is a big problem? Here's a primer.,8,1436
54e38404633039000c3e0000,"Think you're saving the world with shorter showers? Actually, no.",17,1528
54e38404633039000c3e0000,The Catholic Church is trying to solve this problem. So should we.,26,1513
54e394366635310028330000,Here's what it would look like if an obnoxious TV anchor's questions were pointed in the right direction.,20,1544
54e394366635310028330000,Sean Hannity and two Walmart owners walk into a video. I *really* wish it was a joke.,25,1526
54e394366635310028330000,"If you love watching Fox News go after moochers, you're gonna love this",26,1537
54e394366635310028330000,It takes less than a minute to see that Fox News and Walmart are a match made in hell.,26,1505
54e394366635310028330000,Fox News finally went off on Walmart for their shady practices. PSYCH.,31,1513
54e395c3663531000c400000,"His name is Zlatan Ibrahimović. When you see him, he wants you to think of 805 million people.",17,1532
54e395c3663531000c400000,This athlete was suspended for breaking a rule that's usually unsportsmanlike. Usually.,24,1579
54e395c3663531000c400000,"He was in clear violation of the rule. But in this case, I think he deserved a pass.",26,1549
54e395c3663531000c400000,"He scored a goal 2 minutes into the match. But when he took his shirt off, it wasn't to celebrate.",26,1462
54e395c3663531000c400000,He surprised the world when he took off his shirt and revealed those 50 names.,27,1516
54e395c3663531000c400000,"He was like, ""If I'm going to get suspended, I might as well make it for a good reason."" And it was.",29,1522
54e395c3663531000c400000,A famous athlete tattooed 50 names on his body for a sad reason. Showing them got him suspended.,32,1562
54e3aa47663531001a5f0000,See how one guy dealt with his best friend being stabbed to death.,9,1554
54e3aa47663531001a5f0000,"For 9 years, he thought his best friend was gone forever. He realized that he had never really left.",9,1488
54e3aa47663531001a5f0000,Watch a way to look at death that is as surprising as it is encouraging.,12,1509
54e3aa47663531001a5f0000,"His best friend died. 9 years later, he has some beautiful thoughts to share.",19,1528
54e3aa47663531001a5f0000,His childhood friend was murdered by a parent. Here's how this guy copes.,27,1540
54e3aa47663531001a5f0000,His best friend's was killed by his own mother. Here's how he looks at it.,29,1557
54e3bb826330390028450000,"After you hear what he has to say, you will probably never ask for guacamole the same way again.",17,1609
54e3bb826330390028450000,"The next time you ask someone to pass the guacamole, choose your words carefully.",18,1480
54e3bb826330390028450000,"The next time you ask someone to pass the guacamole, you will probably think of this video.",19,1532
54e3bb826330390028450000,"The next time you ask someone to pass the guacamole, there's something you should think about.",23,1503
54e3bb826330390028450000,"The next time you ask someone to pass the guacamole, remember what he says.",24,1544
54e3cac1336662001a030000,"He stayed the same, but my perception changed. 1 easy way to help someone.",5,1537
54e3cac1336662001a030000,What's actually the difference in what happens before and after their haircut?,11,1582
54e3cac1336662001a030000,"When their haircuts ended, it was easy to see the impact we have.",16,1482
54e3cac1336662001a030000,"A before and after shot that didn't change the man, but it will probably change the way you see him",31,1532
54e3e305303238000c0b0000,The Church is trying to solve our water problem. So should we.,1,2022
54e3e305303238000c0b0000,"Every 15 seconds, a child dies because dirty water made them sick. That's not okay.",2,2036
54e3e305303238000c0b0000,Imagine walking miles and miles — just to find water. Dirty water. That's what's happening here.,3,2055
54e3e305303238000c0b0000,"If a child dropped dead every 15 seconds, we'd do something to stop it. Let's do it for others.",4,1998
54e3e305303238000c0b0000,That long shower you took today? That's not the *real* problem.,17,2025
54e3e305303238000c0b0000,The Catholic Church is trying to solve this problem. So should we.,25,2027
54e49290373139001a3e0000,"In the 1970s, the 'Batman' TV show and the :abor Department teamed up to beat an evil foe.",8,4030
54e49290373139001a3e0000,Pow! A surprising ad using a popular TV show proves just how cool the Labor Department can be.,9,4134
54e49290373139001a3e0000,"Batgirl to the rescue! Except she's kinda ticked off at her employer, so maybe not.",11,4118
54e49290373139001a3e0000,"When Batgirl is ready to just leave you tied up, you have to wonder where you went wrong.",17,4046
54e49290373139001a3e0000,"Holy dumb move, Batman. Not paying Batgirl fairly was your first mistake.",17,3948
54e49290373139001a3e0000,She wasn't getting paid fairly. An ad telling the world she wasn't taking Batman's crap anymore.,19,4018
54e49290373139001a3e0000,"She busts in to save them, but she busted them instead. Batgirl is my hero.",20,3936
54e49290373139001a3e0000,A popular TV show from the 70s was one of the first to brilliantly call out unfair pay for women.,23,4059
54e49806303238000c370000,Some say they're against abortion. Then why aren't they all for funding contraceptives?,5,4053
54e49806303238000c370000,Think about it -- spending five times as much globally just to deny women their rights is dumb.,9,4051
54e49806303238000c370000,222 million women want it. And it can prevent 26 million abortions per year.,14,4131
54e49806303238000c370000,"If you say you care about budget deficits and whatnot, you can't not support spending this $1.",14,4095
54e49806303238000c370000,Did you know that preventing 26 million abortions per year was this easy? So why aren't we doing it?,15,3990
54e49806303238000c370000,Here is the smartest money move we could make. How dumb is it that we're not?,22,3972
54e4ad1e3731390028480000,"From daycare rates many can't afford to unfair pay, President Obama lays out how women get robbed",10,3946
54e4ad1e3731390028480000,The Grammys weren't the only time that President Obama had a message women could say 'hell yes' to.,16,3991
54e4ad1e3731390028480000,President Obama has a message for women that makes sense and almost anyone can agree with.,21,4017
54e4ad1e3731390028480000,"Lately, I've been seeing just how much President Obama understands what women are up against. Bravo!",28,4138
54e4ad1e3731390028480000,You know you want to say 'heck yeah' to this long overdue message from President Obama,29,4082
54e4ad1e3731390028480000,I've been waiting to hear a message like this from an elected official since my kids were little.,46,4072
54e4c203303238001a4d0000,"If we're only thinking of sustainability in terms of packaging and recycling, we're doing it wrong.",4,1621
54e4c203303238001a4d0000,People who scoff at environmentalists will probably get a kick out of this woman's speech.,6,1504
54e4c203303238001a4d0000,It turns out that a lot of us smarty pants who are trying to save the planet aren't always so smart,7,1531
54e4c203303238001a4d0000,Your brand of environmentalism isn't good enough. A designer is going to tell you why.,7,1487
54e4c203303238001a4d0000,She made a lot of well-meaning environmentalists ashamed they never thought of this,9,1498
54e4c203303238001a4d0000,The #1 huge thing we're all missing when we try to be environmentally friendly.,17,1511
54e4c54637313900287b0000,"Some protein shakes aren't as harmless as you might think. Thankfully, there are alternatives.",8,1562
54e4c54637313900287b0000,The ultimate parody of swole gym-going bros might actually help you take better care of yourself.,10,1505
54e4c54637313900287b0000,This hilarious parody ad tricks some 'bros' into going organic.,11,1573
54e4c54637313900287b0000,It's a funny ad that stereotypes gym bros. But you might really want to know about protein shakes.,14,1507
54e4c54637313900287b0000,This hilarious parody makes a good point about checking the label before you take a swig.,25,1583
54e4c54637313900287b0000,Protein shakes aren't as harmless as you might think. Just take a look at these men.,28,1502
54e4ea8d3032380028910000,"To be privileged is one thing, but to be black and privileged is what concerns his parents.",23,2018
54e4ea8d3032380028910000,"To be privileged is one thing, but to be black and privileged is what worried his parents.",28,1996
54e4ea8d3032380028910000,"To be privileged is one thing, but to be black and privileged is another.",31,2017
54e4ea8d3032380028910000,His parents were poor. He's privileged. But there's one thing they all worry about.,33,2123
54e4ea8d3032380028910000,He is black. He is privileged. And all of that concerns his parents.,37,2016
54e4f82a373139001ae40000,These idiots spray-painted a swastika on the dumbest location possible.,98,2067
54e4f82a373139001ae40000,These bigots spray painted a swastika on the dumbest location possible.,101,2056
54e4f82a373139001ae40000,These racist idiots spray-painted a swastika on the dumbest location possible.,102,2041
54e4f82a373139001ae40000,These racist jerks spray-painted a swastika on the dumbest location possible.,112,2072
54e4f82a373139001ae40000,These racist idiots spray-painted a swastika on the dumbest/best location possible.,119,1983
54e4f83d373139000cb90000,"They became emotional when their 'before and after'. I admit it, I did too.",29,2007
54e4f83d373139000cb90000,These before and afters did not change him as much as much as they changed me,39,2024
54e4f83d373139000cb90000,"A before and after shot that didn't change the man, but it will probably change the way you see him",58,2043
54e4f83d373139000cb90000,How 1 haircut and a before and after photo may change everything for people,64,2051
54e50261373139001a150100,"She believes we’re conditioned to be afraid. So her motto, naturally, is 'F*ck fear'.",8,2060
54e50261373139001a150100,How a refugee from Sudan became a model who kicks serious butt,10,2033
54e50261373139001a150100,All her experience being hated has made her love for herself that much stronger,12,2044
54e50261373139001a150100,The odds were stacked pretty high against this refugee becoming a fashion model and entrepreneur,13,2064
54e50261373139001a150100,"Modeling agencies were trying to turn her into someone else, so she started her own.",23,2003
54e50261373139001a150100,"Call her dark, call her skinny, call her beautiful, just don’t ever call her Iman",35,1981
54e508103731390028f10000,They're here. They cheer. They're scientists.,14,2516
54e508103731390028f10000,"In an ideal world, we'd assume EVERY cheerleader was a scientist. We don't.",14,2507
54e508103731390028f10000,"These women are out there making little girls want to be a doctor, a teacher ... and a cheerleader.",15,2616
54e508103731390028f10000,Short-shorts and high kicks meet super advanced science degrees. Surprised? You shouldn't be.,17,2519
54e5348c623362001a020000,"Justice was upside-down, and we still don’t seem to know which way is up.",1,2022
54e5348c623362001a020000,Powerful words from the past remind us how far we haven’t come.,3,2004
54e5348c623362001a020000,It’s easy to forget just how long people have been waiting for justice.,4,1958
54e5348c623362001a020000,"If you cannot prove democracy is not hypocrisy, then don’t put your hands on me.' Wow.",8,2112
54e5348c623362001a020000,These raw words from the past are still gut-wrenching. And still true.,8,2094
54e55290343139000c0c0000,"A dad won't let his child wear a dress to school, but then he changes his mind and it's fantastic.",28,2001
54e55290343139000c0c0000,A kid gets bullied in school until Dad finally takes a stand.,30,2050
54e55290343139000c0c0000,"This kid gets bullied the whole time, even by Dad. The end changes all that, though.",37,2028
54e55290343139000c0c0000,"This kid's dad is just as bad as the bullies at school, until makes me smile at the end.",43,2030
54e553af623362001a190000,Numbers don't lie. Hollywood would make even more money if they just lost the stereotypes.,11,1969
54e553af623362001a190000,Prostitute. Terrorist. Cab driver. Friend. These jobs have nothing and everything in common.,17,2085
54e553af623362001a190000,The not so secret meaning behind 'more urban' that's so not OK,17,1981
