Headline,Attention Score
These raw words from the past are still gut-wrenching. And still true.,1
"This kid's dad is just as bad as the bullies at school, until makes me smile at the end.",1
Listen to the parts they've auditioned for and try not to say 'WTF?',1
"For every dollar we spend on it, we get $4 back. Magic? Nope. Just smart money.",1
Why the millennials of the world could be the key to ending shame about mental illness.,1
"The bully punches him in the face. Later, he follows the bully home, and that's where he sees it.",1
An actress decided to do something about the stigma of mental illness.,1
"An actress was told to bring an “easy access skirt” to a casting. Well, dang.",1
"If you look at her hands, you'll see her struggles. Literally.",1
2 trans men made a very clear point with their very pointed photo shoot.,1
2 trans men make a very clear point with this  revealing photo shoot.,1
A transitioning male reproduced Adam Levine's nearly nude photo to prove a point. It worked.,1
"When people say his TV show’s racist, he’s like, ‘I don’t know if you know any of us.’",1
School is not going so well. Here's a cheap and easy way to fix it ... that teachers will love.,1
"I thought Alan Cumming had lost his mind, then I watched the video and was so wrong.",1
A rare behind the curtain look at acting that's less glam and more racist.,1
Dad took blood samples at his kid's birthday party. And that's not the worst part.,1
"Her story is pretty funny, but the lesson at the end will change the way you think about blaming.",1
8 love letters to survivors of sexual violence. The one from the dad made me cry.,1
Ever heard of ‘Right-To-Work’? About that …,1
The big problem at the Oscars that got these 3 women singing,1
"Teens always think they know more than their parents. About this, they probably do.",1
He was right about the cops 50 years ago. We didn't listen.,1
"Ever heard of ‘Right-To-Work’? Well, about that …",1
It was a normal day until their family dressed as homeless people to prove a point,1
It was a normal day until their family dressed as homeless people to prove a point,1
The dug up a Malcolm X speech that predicted so much of what's going on today. Creepy.,1
They dug up a Malcolm X speech that predicted so much of what's going on today. Creepy.,1
"Teens always think they know more than their parents. About this, they probably do.",1
He put these inmates in a room with nothing but a camera and asked them to talk about their crimes.,1
"If you think the Oscars are racist, you should read this. Same if you don't.",1
"These parents were expecting a cute musical, instead they're rethinking what they pack for lunch",1
"At the end, the camera zooms out and you see what these kids painted. Incredible.",1
"A pole-dancing video so beautiful, my hair stood on end",1
"If you don't think the Oscars are racist, you should read this. Same if you do.",1
"If you don't think the Oscars are racist, you should read this. Same if you do.",1
"Where do ideas come from? Replace that ""lightbulb moment"" with turtles cuddling.",1
Dear Oscars: It's time for an intervention about your little problem.,1
The stuff about the Oscars and race you probably hadn't considered. And really should.,1
It's a song that every 1st grader knows. But it has a dark secret.,1
Watch these kids shut down a problem that grown ups have been trying to solve for centuries.,1
A white TV news anchor from Texas smacks down a group of racist sports fans so perfectly,1
"Their parents expected a cute musical, but the cows had everyone cringing",1
Things are happening behind closed doors and you might want to know about them.,1
The kids aren't all right. 8 photos show you why.,1
Bill Gates has a Utopian dream. Watch this guy grill him about it.,1
"If the way women are treated around the world keeps you up at night, you want to meet these people.",1
"I'm so tired of hearing people fight over a bunch of pipe, but Obama's latest move got my attention.",1
"I'm so tired of hearing people fight over a bunch of pipe, but Obama's latest move got my attention.",1
This is truly one of the most innovative ways to use technology to help people.,1
One guy reaches out and grabs her arm. The other makes a split-second decision.,1
"It's like that flashlight app on your phone, but for blind people.",1
What if you could help blind people see? You can.,1
The president has a superpower he uses only when he absolutely has to. He just had to.,1
"Say what you will about Sean Penn. OK, now listen to this guy talk about race.",1
Here’s a paycheck for a McDonald’s worker. I can't even.,1
"A mom who loved her son rejected him when she learned he as gay. That’s not how it ends, though.",1
"100 years ago, people were eating things that most of us will never taste.",1
"There are people pretending to be scientists on TV, and their 'facts' could be harming our health.",1
"Their name is Jacob, and here is their story. Yes, *theirs*.",1
Feeling down from crappy news? Here's a quick pick-me-up.,1
How many of us can say a photograph changed our lives? She's can. And she's only 10.,1
One guy reaches out and grabs her arm. The other makes a split-second decision.,1
"He wanted to challenge what people saw when they looked at him. Clearly, his getup did the trick.",1
In 90 seconds this politician shuts down any debate over girls rights to an education.,1
"New studies of musicians are revealing amazing things about brains. Even, um, normal ones.",1
See what happened in a country that didn't put extreme anti-choice lawmakers in check. It's scary.,1
"Here’s a McDonald’s employee paycheck, and here’s my jaw dropping to the floor.",1
A terrible thing happened to this 20-year-old woman. They're trying to let the whole world to know.,1
"This video wants to thank you, me, and all of us for saving Earth.",1
Watch a feminist comedian perform the most equality-driven striptease I've ever seen.,1
"If you’re trying to find a career you'd actually enjoy, boy, is this for you.",1
23 people a day die from this illness. But insurance companies don't really care.,1
Watch how fast one politician slams the door on any debate over girls rights to an education.,1
"I thought I wanted a baby someday, but after watching this ... yikes.",1
This is a game-changer for the blind. And you (and your smartphone!) can help.,1
Fast forward through her life for the awful ending. Then do it again to see something amazing.,1
"Got a 3rd grader? Guess what you're doing next year, thanks to President Obama.",1
"All the embarrassing things a dad can say to his daughter, corrected.",1
Real doctors show us just how fed up they are on Jimmy Kimmel's late night show,1
Some of these college women were raped before classes even started,1
How should a restaurant deal with homeless people looking for a bite? This works.,1
A writer has had enough of when men do this totally unwelcome and offensive thing.,1
Here’s why scientists believe learning to play music works a brain like nothing else. P.S. Yipes.,1
Here’s why playing music does things to a brain that nothing else does. Spoiler alert: Yipes!,1
Listen to this 2-minute reality check about what you have to offer.,1
I wanted to know how and when cops decide to kill someone. Now I understand...kind of.,1
The must-see video burning up the Internet in China right now might help millions breathe easier,1
"When phones can act like eyes, have we reached a new level of amazing?",1
Oh look. John Oliver takes yet another boring topic and makes it grade-A hilarious.,1
She asks the little girl 3 questions about her life. Her answers are pretty devastating.,1
"When she decided to have an abortion, her mother didn't stop her. The reason why makes sense.",1
This is how you win an argument about climate change.,1
"Everyone waited for it to be taken down. 150 million views later, it's still up. Watch it here.",1
São Paulo sounds like a city of dreams. Until I saw the reservoir.,1
"She is Gertrude from Ndola, Zambia. Here's how she gets water.",1
"Each survives on $3 a day, average. On top of that, their water? There's a huge problem.",1
Here’s what might happen when a climate-change skeptic invites a scientist over for dinner.,1
"She says 9 sentences in the beginning, and that's all that it took to convince me.",1
One of the most beautifully shot videos I've ever seen that makes be feel ugly to be a human,1
This is how you win an argument about climate change.,1
"If you’re like me, when homeless people ask for money, I just can't. Here’s a much better idea.",1
Hundreds of kids arrive in Ireland and go missing. Somehow he was spared.,1
Her name is Gertrude Mamba. Here's what it takes her to get water.,1
His hometown is littered with dirty rivers and contaminated wells. So he fixed them.,1
Straight-up chilllin' out for 20 minutes a day will make your brain better. Here's how.,1
One little girl took pictures of her school lunch. The internet responded — and so did the school.,1
This 10 minute video has completely changed the way I look at do-gooder,1
I wonder what we'd think of the NFL if every player knew their mind as well as him,1
São Paulo sounds like a city of dreams. Until I saw its reservoir.,1
The president puts 1 chart in front of the camera that might make you hate your cable company more.,1
"He was fed up with his mom, so he tried an experiment. After it ended, he started sobbing.",1
"EXCLUSIVE: A massively viral Chinese documentary, summarized in English for the first time.",1
10 life-saving heroes walk into a photo. Obviously we're going to celebrate them.,1
"I hold my breath as she takes the bandages off. But after, I can't stop smiling.",1
I never realized how dumb our cities are until I saw what a smart one looks like.,1
Julia Roberts stars in her biggest role ever. She will literally never have a bigger one.,1
I asked a black ladyfriend if this was for real. She realized she had no idea how oblivious I was.,1
Her name is Gertrude Mamba. Here is her story. Brace yourself.,1
"They can barely bring themselves to watch, but when I saw what was on the screen, I just laughed.",1
"Well, one guy in this video just comes out and says it. 'Stop treating women like baby-machines.'",1
It's a pop song like no other. But not every woman is allowed to hear it.,1
There's a new way for kids to smoke cigarettes and it's totally legal. What?,1
A fairly obvious thing that all homeless people have in common that's good to remember,1
"Instead of making homelessness illegal and punishing people, how about we help them?",1
It only took 83 minutes for a movie to change everything for SeaWorld.,1
"He asks, 'Why do people fear the gay?' And then he answers his own question.",1
"If water doesn't flow, farmers have to leave their homes for the city. DIY glaciers to the rescue.",1
What if I told you that you'd never have to see things like this ever again?,1
"A movie went behind the scenes, and now SeaWorld is just trying to stay afloat.",1
This billboard takes on domestic violence in a way you really have to see to believe,1
"A woman perfectly answers the question, ""What's the difference between men and women?""",1
Watch a super rich capitalist have a 'lil secret chat with his fellow richies,1
A woman explains how she makes money in Cuba without the Castros,1
"A woman perfectly answers the question, ""What's the difference between men and women?""",1
Three women deliver a powerful message about the state of women's rights in the world.,1
"If your next package looks like this, you might be a black woman",1
This fake Amazon ad is pretty funny until it gets to black women,1
Coming out was easy. The hard part? Admitting she still liked men.,1
"There wasn't a dry eye, on court or off. Even the refs were crying.",1
Happy Puberty! Here's a vibrator.,1
There's something powerful about hearing the first black president say these words in Selma,1
"Some women want a man to secure their future. 
And then there's her.",1
An actress was sick of the roles she was being offered as a black woman. So she made her own movie.,1
"Some lawmakers think you need a good probing, mentally and vaginally, before you have an abortion.",1
Here's what's being done to women in over 80% of America. I didn't know it was this bad.,1
"She became ill before her son Eli was born — for one small reason. Small, but important.",1
"An analysis of 1,500 films resulted in 1 disturbing conclusion.",1
The thing that's slowly encroaching upon women state by state is scarier than any nightmare.,1
Listen to 1 man explain why he has a hard time being a feminist.,1
A man screamed at her once because he thought she was white. That's just the tip of the iceberg.,1
"You, yes, you, have the power to overcome the mind-control device you carry around every day.",1
"When these drones zoom in over elephants and rhinos, they stop horrible things from happening.",1
"As parents get older, grownup kids have a problem. Who’s gonna take care of their parents?",1
She was the first American to ever win the International Children's Peace Prize. Hear her speech.,1
"The inventors of this could have made a fortune. Instead, they're making kids happy.",1
Want to see some young people who refuse to be told they can’t fix some problems of the world?,1
"After hearing how she spent her 9th birthday, it's no wonder she's being recognized globally.",1
I can't imagine walking miles for a cup of water. Now they probably can't either.,1
"Every time some charity asks for your money, ask them if they do it like this.",1
Their life-changing injuries are identical. But their compensation couldn't be more different.,1
"Every time some charity asks for your money, ask them if they do it like this.",1
Best use of food coloring ever.,1
"Marry an older man. Not just grandma's advice, in some countries, it's the law.",1
Is this cartoon character (that's actually a machine) a boy or a girl? And why it matters.<br>,1
They both lost an arm. But one guy's workers comp was 10 times the other's.,1
"As they read mean tweets, a laugh track plays. But it's not funny.",1
The first tweets? Audience goes wild. By the end? No one's laughing.,1
John Oliver covers a massive college sports scandal that made my blood boil.,1
"Hold the pickles and lettuce. And when you get burned on the job at McDonald's, here's some mustard.",1
"The Supreme Court allowed them to discriminate for 20 years. This year, they changed their mind.",1
Her job didn't exist before. Now it's changing her whole town.,1
Her job didn't exist before. Now it's changing her whole town.,1
Take 2 minutes for the funniest commercial about guns you'll ever see.,1
This new website about guns makes me wonder whether I should be relieved or scared sh*tless.,1
What if you only had this crucial resource about 9% of the time?,1
"It's the side of extreme weight-loss you won't see on TV, but that's why it's needed",1
"Oregon's Governor just did a thing that could change everything for voters, if other states copy it.",1
Her name was 'Essence.' This is a little story about making her essence felt in her community.,1
Your first love story started long before romance. This is how to write a great final chapter.,1
"An analysis of 1,500 films resulted in 1 disturbing conclusion.",1
"Yes, this is a man in a women's restroom. Why? To protest men being forced to use women's restrooms.",1
The way we grow food is causing a ruckus and we have a way to make it all good,1
Her name was 'Essence.' This is a little story about making it felt all around her.,1
The boy didn't want to blend in. He wanted to stand out. And they made it happen.,1
"A bankruptcy lawyer shows up at a 'right-to-work' hearing. Believe it or not, hilarity ensues.",1
A chilling new PSA takes on sexual assault through fresh eyes: Yours.,1
The most convincing argument I've heard for raising the minimum wage. From a rich guy.,1
The little girl in this story is no longer alive. But she's still the star.,1
A profanity-laden take on life from an 87 year old who pretends she's 88,1
A toy company published beauty advice in its magazine for kids. She set them straight.,1
"Someone asked him about his body issues, and he explained why he has them",1
The spectacular fall of Rep. Aaron Schock,1
"These women's husbands don't believe it takes so long to get water. After I heard them speak, I do.",1
"What does childbirth look like? For Doris, it was far from clean. It was a bacterial nightmare.",1
"When these astronauts described how it changed them, I got goosebumps.",1
The faces on paper money haven't changed since 1929. You know what's missing? Women.,1
A new app gets you buzzed every time you're near a place where a woman made history.,1
"12 years ago, we invaded Iraq. Here's what Baghdad looks like today.",1
"When they left the Earth, they looked back and saw us all in a way only a few can explain",1
A black guy who dates outside of his race experiences a heart-dropping letdown moment.,1
"He was yelling for help, asking for the beating to stop. Now his classmates have his back.",1
"I'm never emotional when I see people eating, until I saw Carmen.",1
A company in Italy figured out a genius way to make graveyards obsolete.,1
"She's 34, 5'3, and 175 pounds. The world tells her she's not supposed to tell you that.",1
2 designers in Italy came up with a genius plan to make graveyards 1000% less creepy.,1
"This business is like a giant cancer in the north, and 100 celebrities want to stop the bleeding.",1
See how one woman's life changed forever when she got a bathroom.,1
Upworthy failed one of our own employees. But we learned a lot from it.,1
These kids aren't all right. 7 photos show you a world of change.,1
Even brave husky guides in the Arctic just want their moms at times.,1
This is the most important 20 seconds of Monica Lewinsky's TED Talk.,1
3 big problems we have because Americans eat more of this than just about anyone.,1
She's not saying you have to stop eating it. But eating a little less lets 3 great things happen.,1
People around the world list reasons to feel happy. What's yours?,1
2-year-old Charlie died in an accident his dad didn't know could happen. Now he wants you to know.,1
People around the world list reasons to feel happy. What are yours?,1
They resisted the dam for decades but now that fight may be over.,1
You can use your smartphone to determine if your child has a deadly form of cancer. Here's how.,1
We like to build big things. But big dams have a price no one should have to pay.,1
"They fought against this dam for decades, but the end is now in sight.",1
"They compared Wall Street bonuses to the total earnings of every minimum wage worker. Oh, it's sad.",1
Now *that's* what I call an acceptance speech. <br>,1
NASA made an adorable video explaining climate change. You'll heart it.,1
"Yo, this ice shelf the size of Rhode Island disintegrated in, like, four months.",1
"I heard Rick Scott banned the term ""climate change."" I doubted it until I saw this hilarious video.",1
She can't study or start a family all because of what happened at 15.,1
"They compared Wall Street bonuses to the total earnings of every minimum wage worker. Oh, it's sad.",1
"If you've heard one story, you've heard 'em all, right? Nope. That'd be myth #1.",1
How many extra tabs do you have open on your computer right now?' It's a serious question.,1
A look inside a Cambodian garment factory. It's not how I thought it'd look.,1
Compare Wall Street bonuses to the total earnings of the everyday worker. Go.,1
One of these experiments forever changed the way medical studies happened. The other created heroes.,1
"You've probable heard about one group of black men from Tuskegee, Alabama. But likely not the other.",1
What the president did right when he stopped by to ask these Girl Scouts about their science project,1
The way we reward people for hard work is hurting the economy.,1
What the president did right when he stopped by to ask these Girl Scouts about their science project,1
She can't study or start a family all because of what happened at 15.,1
"When the president meets with caped crusaders, it usually doesn't turn out this adorably",1
California has 1 year of water left. This is how we can solve the long term issue.,1
A time lapse video that allows you to watch the earth breath. It's wonderful.,1
"As you lay dying, what moments will you remember?",1
It's hard enough being a girl. It's even harder when you're denied an education.,1
"When his wife died, he was heartbroken. It took him 22 years and a hammer to honor her memory.",1
"He made some mind blowing art but no one knew about the ""problem"" that started it all.",1
A straight guy shares the hilarious story of when he had to come out to his parents.,1
New concept: You're only allowed to be colorblind if a doctor says so,1
The health risk of going to school for kids like Rhett Krawitt is messed up. And avoidable.,1
She needed a good meal. When I saw how her mom made that happen — wow.,1
Let me show you what discrimination looks like in real life. It hurts.,1
"What do grizzly bears, bald eagles, alligators, prairie dogs, and cornflowers have in common?",1
Watch this Dallas sportscaster take a powerful stand against domestic violence in football.,1
"She still doesn't know who posted, ""Bash that bitch's head in."" But she knows they meant her head.",1
"This guy just won the 'Uncle of the Year,' award, and it's not even close.",1
"Even after you listen to his whole think, you'll say, ""But sugar *does* make my kid hyper."" Nope.",1
"What does childbirth look like? For Doris, it was far from ideal. She was luckier than most.",1
"Cuba's known for many things, but when I heard about their doctors — incredible.",1
"In a few years he'll graduate — debt free and be a doctor. Yep, I'm jealous.",1
Here's an inside look at the viral skeletons video that brought joy to the Internet.,1
"How the TSA “scans"" us at airports and why it means nothing for security.",1
We can all learn something from how Maya Angelou dealt with a young rapper named Tupac.,1
How the TSA 'scans' us at airports and why it means nothing for security.,1
One way the TSA scans us at airports is about to be tried in court.,1
"Penélope Cruz stars as water. Beautiful, ancient, and everlasting.",1
The discoverer of this fuzzy ball of yarn is about to become the first person to see it up close,1
The man who discovered Pluto is about to become the first person to visit it,1
Remember Pluto? Probably not like this.,1
"For years, the world has approached anti-rape programs all wrong, but Kenya set things straight.",1
The story here is sad but beautiful. Whose is it? Water's. (Penélope Cruz narrates.),1
These two guys are going to live in a tiny tin can in space. For a year. <br>,1
"He's going to live on the Space Station for a year, so that someday we can all live on Mars<br>",1
"The magic power of self-healing cats, explained.",1
If you think zombies are only on TV you gotta hear this guys stories.,1
"A short video recaps 25 years of the Internet. We've gotta admit, it's pretty exciting. What's next?",1
A scientist watched a bunch of male baboons die. It revealed something fascinating about men.,1
"When this little girl lays the smack down on the school board, the adults can't get enough.",1
Talking about privilege can get awkward. A caterpillar and a snail make it easy.,1
"This animation is the best, most non-confrontational way to talk about privilege",1
Penélope Cruz takes on a role as ... water. She makes a powerful point.,1
A 9 year old goes in on standardized tests and ends with the best mic drop of all time,1
These tiny creatures are some of the scariest living things on Earth.,1
A gay couple wanted to adopt a baby. So they did something a little out of the ordinary.,1
A comedian went on TV and viciously insulted a fellow comedian. Here's her eloquent response.,1
These students know a dirty secret about how their school makes money. They want you to know too.,1
The guy taking over for Jon Stewart is absolutely hilarious. Here's the evidence.,1
"When a black person and a white person get together, there are some things to consider.",1
Kenya's unique approach to rape prevention should have the rest of the world taking note.,1
They came on the air promising real stories of real women. Now they're just embarrassing.,1
"In 2016, there will be two elections. 99.95% of you won't get to vote in the important one.",1
"His film won him a trip to the White House, but what he really cares about happens back home.",1
"He's over being called “illegal"" so he wrote the realest manifesto I've heard.",1
It's an open secret among the members of her platoon. It shouldn't have to be a secret.,1
They came on the air promising real stories of real women. Now they're just embarrassing.,1
Folks in this city survive on $3 per day. He calls the city home and is trying to help.,1
"Using his camera to learn more about himself, this teen ends up teaching Obama about the Navajo way.",1
"If you get down about your work, a little Lego guy has some advice.",1
"He's over being called “illegal"" so he wrote the realest manifesto I've heard.",1
Indiana passed an anti-gay law. They're just finding out how badly they screwed up.,1
Does being a perfectionist get to you? A little Lego guy has some advice.,1
"They don't want us to feel ""normal"" so we'll keep buying sh*t we don't need. She says: ENOUGH.",1
This superbug has killed thousands. Two scientists just killed it with a 1000-year-old remedy.<br>,1
"Some words need to be ""retired"" from our language. Here's my #1 choice.",1
"Look really closely at this river, and you just might see what the big developers see.",1
A ripped guy and a not-ripped guy are in their undies and I love it. They both have great bodies!,1
A ripped guy and a not-ripped guy are in their undies and I love it. They both have great bodies!,1
"Superbugs like MRSA may have just met their match thanks to this 9th century potion. Yes, really.<br>",1
This robotic bear can tell when a child is in pain based on how hard they squeeze its hand.,1
An anonymous person complained that their school doesn't have a club for white people. Bad move.,1
Sometimes the weight of the world feels pretty heavy. That's when you could use a pep talk.,1
This robotic bear can tell when a child is in pain based on how hard they squeeze its hand.,1
"Well, Indiana is sure gonna be sorry now. First Angie's List and now Ron Swanson? OUCH.",1
"No one should be called ""illegal,"" so I applauded his powerful statement.",1
"A Utah town's solution to homelessness is so good, every state will be mad that they weren't first.",1
"""If you're against it, you're against jobs ... For it, you're against children."" Tough call.",1
"When one stadium announced LGBT Pride Night, angry fans sold their tickets. So she bought them all.",1
Celebs reading mean tweets it's hilarious. Homeless reading mean tweets? Not so much.,1
How a doctor gets them up in there — and other important facts about IUDs,1
Twitter is supposed to be fun. But for these homeless folks it's crushing.,1
A gay love story set to a straight lyrics show that the feeling of love is universal,1
"Growing up, Alfred was so full of hate. But now he's channeled that into something amazing.",1
This is what California's water problem looks like. And here's how we fix it.,1
Every year her daughter's birthday party is in the hallway. Here's why.,1
3 selfies shared by Chris Rock are just one more way he's demonstrating racism still exists.,1
"The huge price one comedian paid so that George Carlin, Richard Pryor, and others could make it big.",1
"Her speech was great, but I zeroed in on the list of names she gave. Some really important women.",1
Helen Mirren says what every woman who's ever been on a crowded train has been thinking.<br><br><br><br>,1
Every birthday her daughter asks if her party will be in the hallway again. It is.,1
These students know a dirty secret about how their school makes money. They want you to know too.,1
"He's only 10, but he just gave Florida's legislature a powerful lesson in discrimination.",1
"You should have learned about them in middle school, but you probably didn't. So here goes.",1
These 2 elderly Holocaust survivors are living proof that it's not enough to just survive.,1
"His wife said he was crazy. His rabbi said he was too old. But his friend said, 'Let's do it.'",1
The NFL just hired their first female ref. Here's why that's huge news.,1
John Oliver finds out just how easy it is for the NSA to see you naked.,1
A black man sits down at a diner to eat. The white patrons are shocked. Then the owner steps up.,1
"He takes down climate change deniers using only air-quotes and the phrase ""so-called"".",1
Can't imagine what it's like to live in Uganda? Let this show you.,1
"A 'woman' at 12, married by 14, pregnant by 15. But WAIT! Rewind that and let's do it again.",1
"As the cost of college skyrockets, one school has a radical new plan: a free education.",1
You can get paid to reduce your carbon footprint? I'm listening…,1
Modern day human slavery takes many forms. Here are three of them.,1
"When one employee saw these baby clothes, he almost lost his cool. Thankfully the store listened.",1
A college just approved a $2.50 fee per student per semester. It made a lot of students happy.,1
A massive corporate power grab is about to become law. You need to know what's in it.,1
A famous rock star has an inspiring message for the poorest youth of America.,1
What's it really like working for minimum wage all day? Let's hear from those actually living it.,1
Some are trying to humiliate SNAP users with weird restrictions. Like being broke isn't hard enough.,1
The surprising way a country that was closed off to the United States has dealt with scarcity.,1
"For power companies, it can be cheaper to pay customers to use less power than to sell it to them.",1
Michelle Obama's instantly classic speech at the 'Black Girls Rock' Awards is a must watch.,1
"82 years ago, we legalized a dangerous drug. It was a good idea.",1
"This 6-year-old's film was so important, President Obama showed it at the White House.",1
Dancing With The Stars' becomes poignant when a gay star dances out his pain.,1
"They haven't had a new bike in decades, but that doesn't stop them from using what they've got.",1
President Obama was interrupted by a bunch of bees. He responds with some pretty solid advice.,1
This company's clever software has power companies paying YOU.,1
This music video beautifully captures a major education problem we have in the world,1
"If you don't know why Apple's diverse emoji are big deal, there a study for that.",1
"Until the video of this man's murder went viral, his killer walked free.",1
The women sit in a circle and put money in a box. Then they do it again the next week. It's genius.,1
What parents want their black sons to do when they're stopped by the cops.,1
A thought out explanation of privilege in America from the mouth of a Southern good ol' boy,1
"Until the video of this man's murder went viral, his killer walked free.",1
"Two comedians walk into the exact same job. One gets $60, the other gets $10.",1
It started with extras from her pantry for the neighborhood kids. Then it spread like wildfire.,1
New evidence suggests the Brontosaurus could be real after all.,1
The Daily Show's Samantha Bee did an eye-opening report about rapists and parental rights.,1
The Daily Show's Samantha Bee did an eye-opening report about rapists and parental rights.,1
Workers across the U.S. are walking out on their jobs on April 15. Here's why.,1
A mom in the U.S. wondered about motherhood around the world. Here's what she found out.,1
A look inside a Cambodian garment factory. There's a pretty sweet health program in there.,1
A woman who's 'wobbly' talks about why the idea of 'normal' is actually pretty toxic.,1
A carpenter makes toys from garbage while living in a refugee camp.,1
"Capitalism's gotten twisted. Thankfully, we have options.",1
"Capitalism isn't working the way it should. Thankfully, we have options.",1
"Capitalism's gotten twisted. Thankfully, we have options.",1
Racism explained by a good ol' Southern boy,1
Here's a fact about trees that uses soccer in a really angering way.,1
This brilliant company is turning bigotry into something beautiful,1
This brilliant company is turning bigotry into something beautiful,1
Have you heard about what's happening on April 15? Because it's not just Tax Day.,1
4 people who inspired me not to be a Debbie Downer about water,1
Water is more than just a liquid. Here's how we save it.,1
"90 seconds of inspiration you might not need, but someone you love does",1
"He's been trying to prove it for 50 years, but this scientist still says tornadoes can save us.",1
"Mad Men' is a feminist powerhouse, even if some people don't see it that way.",1
A doctor who earns no money for taking care of patients say he gets all the compensation he needs.,1
She carried her mattress to protest her rape. A nation joins her — for the second time.,1
He told her that her body was shameful. She decided to be proud of its power.,1
John Oliver and Michael Bolton perform a hilarious tribute song to the IRS.,1
This is what all chemistry classes should be like.,1
He told her that her body was shameful. She decided to be proud of its power.,1
What if cancer could be treated with bubbles?,1
"Using Lego bricks, an economist demonstrates the tax code's impact on income inequality.",1
She carried her mattress to protest her rape. A nation joins her — for the second time.,1
"He's been trying to prove it for 50 years, but this scientist still says tornadoes can save us.",1
She wanted to eat better on tour and found out that taste is a mind game.,1
Some people think the minimum wage should be $15. Let's see how it stacks up to the current minimum.,1
"Using Lego bricks, an economist demonstrates how taxes impact income inequality.",1
When a PSA from the 1970s can illustrate a problem still happening today. that's a PROBLEM.,1
"They've produced 50,000 beautiful stories, but StoryCorps is far from done. They want yours!",1
Men have an issue with her face and she's not even trying to make one,1
She told a little girl that everything would be OK. The little girl was herself 10 years ago.,1
"3 words changed his life: 'You have cancer.' Now 3 more, 'Take another step,' keep him going still.<span></span>",1
Get to know a VSLA. They're popping up all over the place.,1
A massive corporate power grab is about to become law. You need to know what's in it.,1
"If you think $15 is too much, this parody of McD's advertising might make you finally understand.",1
A movie theater handed out free water that was impossible to open. Why?,1
"Everyone thought his ideas for making ice sounded crazy, but now he's a national hero.",1
"Everyone thought his ideas for making ice sounded crazy at first, but now he's a national hero.",1
One food bank in Minnesota figured out a genius way of getting food to hungry people who need it.,1
"That controversial testing your child is about to take in school?  They don't have to, in many cases.",1
