Headline,Clickability
3 Charts: A Quick Way To Make Wealth Inequality Better And Create A Stronger Middle Class.,0
3 Important Moments From The 2015 SAG Awards That Deserve Our Attention,0
The Cutest Way EVER To Tell Someone They Should Be Ashamed Of Having Sexual Organs,1
"Playtex Runs Ads Targeting Middle School Boys, Because, Ya Know, Dudes Need Tampons?",1
"3 major reasons to start talking about mental health. Like, now.",0
3 Million Syrian Refugees Would Greatly Appreciate It If You Learned About What The Hell Is Going On,0
Why Oregon Just Became The Best State To Have Sex In,1
The One Totally Stupid Thing That Will Decide The Fate Of Our Entire Economy,1
3 Million Syrian Refugees Would Greatly Appreciate It If You Learned About What The Hell Is Going On,0
3 Pieces Of Advice Brought To You By A First-Class Passenger On The Plane That Landed In The Hudson,0
Stop Turning Everything I Do Into A Political Statement!,1
3 Pieces Of Advice Brought To You By A First-Class Passenger On The Plane That Landed In The Hudson,1
Meet The Students Who Launched The Mother Of All PR Campaigns,1
Best,1
3 Reasons Why Ronald McDonald Isn't SmilingToday,1
Possibly The Most Devastating Response I've Ever Seen In An Immigration Debate,1
Live Immigration Debate Goes Viral When Back-To-Back Questions Get Spectacularly Demolished,1
3 Ways To Tell If You Are A Secret Feminist And Just Didn't Realize It,1
30 Seconds Of Talking Cats That'll Make You Smile,0
Remember Sandy Hook? Apparently The Senate Doesn't.,1
30 Seconds Of Talking Cats That'll Make You Smile,1
"Never Thought I'd Say This, But These Eggs Eat Poo And They're Gorgeous",1
Best,1
36 Football Fields Per Minute: A Statistic That Disgusts Me,0
A Head-Slappingly Simple Strategy That Might Just Reduce The Crime Rate,1
"4 Girls Get The ""Celebrity"" Makeover Of Their Dreams… And Then Hate The Results",0
The Olympic Marathon Runner Who Outran His Own Murder,1
Best,1
4 Things About Race That You Will Find Funny Instead Of Overwhelmingly Depressing,0
When Will We Start Treating Guns More Like Bananas?,1
One Simple Way To Instantly Reduce Violence Around The Globe,1
4 Things About Race That You Will Find Funny Instead Of Overwhelmingly Depressing,0
5 ‘Great’ Alternatives To Paid Sick Days,0
You Won’t Believe What This Guy Does In His Spare Time,1
5 ‘Great’ Alternatives To Paid Sick Days,1
Meet Three Mothers Who Will Never Give Up On Their Children's Education,1
Best,1
5 Easy Ways To Make Yourself A Ridiculously Good Listener,0
"If Boy Scouts Are Taught To ‘Always Be Prepared,’ Then Why Weren’t They Prepared For The Future?",1
5 Easy Ways To Make Yourself A Ridiculously Good Listener,0
The Canadian Project That Might Ruin Our Future,1
5 Minutes Will Change How You Think About Love,0
Our Nation's Capital Has A Secret. And It's Dirtier Than You Can Possibly Imagine.,1
5 Reasons You Should Stop Spending Money On Yourself Right Now,1
The Mainstream Media Is Too Busy Covering War To Show You THIS,1
5 Reasons You Should Stop Spending Money On Yourself Right Now,0
"America Loves The Rich And Famous. Sadly, They're Destroying America.",1
6 Postcards Of Beautiful Landscapes As We Might Never See Them Again — If We Don’t Do Something,0
"The One Word You Can’t Put On Your Package, If You Want It Delivered On Time",1
"7 People Comfortable In The Own Skin Shake It On Stage, And They Make A Powerful Point Doing It",0
7 Questions About Butts Answered Including 'What's Up With 'Butt Guys' And 'Boob Guys'?',1
Do You Know Which College Majors Have The Highest And Lowest Employment Rates?,1
8 confessions from students in top-notch colleges that made me think differently about 'merit',0
8 confessions from students in top-notch colleges that made me think differently about 'merit',0
America Is #1 In A Lot Of Things. This Shouldn’t Be One Of Them.,1
"8 Facts about vaccines: How they work, who's getting them, and who's NOT getting them.",0
America Is #1 In A Lot Of Things. This Shouldn’t Be One Of Them.,1
"8 Facts about vaccines: How they work, who's getting them, and who's NOT getting them.",0
Now Here’s A President Who Gets Kids,1
"If You Enjoy When Rich People Fail, You’ll Love This Chart",1
A 16-Year-Old Kid Says With A Marker And A Piece Of Paper Says A Lot About America's Race Problems,1
A 2-Minute PSA About A Merger Is Meant To Provoke Both Laughter And Outrage. I Call It 'Loutrage.',1
Google May Or May Not Be Game To Give All Your Private Info To The Feds. We Have No Idea Either Way.,1
A 3-Year-Old Discusses Who She's Going To Marry And Gives A Way Better Answer Than Many 30-Year-Olds,0
"Hey, Bank Regulators: If You Are Gonna Be Questioned By Senator Warren, Don't Ever Say This",1
A 3-Year-Old Discusses Who She's Going To Marry And Gives A Way Better Answer Than Many 30-Year-Olds,1
Sigh. Elizabeth Warren Embarrasses Bank Regulators To Their Faces. Again.,1
Sigh. Elizabeth Warren Embarrasses Some Bank Regulators To Their Faces. Again.,1
"A before and after shot that didn't change the man, but it will probably change the way you see him",0
"A before and after shot that didn't change the man, but it will probably change the way you see him",0
Sigh. Elizabeth Warren Embarrasses Some Bank Regulators To Their Faces. Again.,1
Confused Bank Regulators: 'We Might Not Help Average Americans.' Senator Warren: 'Wrong Answer.',1
A Bunch Of Moms Held Up Signs About How They Do Things Because We All Know The Right Way Is Our Way!,1
A Calm And Rational Explanation Of Why Prohibition Sucks The Hardest Of All American Policies,0
"If You Can Guess How Much BP Paid In Taxes In 2010, I'll Pay You Double What They Paid",1
"If You Hate It When Corporations Get Away With Not Paying Taxes, Here's A Way To Vent Productively",1
A carpenter makes toys from garbage while living in a refugee camp.,1
A Cheesy Love Story - The Ad Doritos Doesn't Want You to See,0
"If You Watch This Video, You Probably Won’t Need To Turn On Fox News For A Few Months",1
The Most Inspiring Slab Of Concrete You’ll See Today,1
A college just approved a $2.50 fee per student per semester. It made a lot of students happy.,0
A college just approved a $2.50 fee per student per semester. It made a lot of students happy.,0
This Is What Happens When A Diet Ad Goes Rogue,1
A Comedian Gives His Some Great Advice Including The Surefire Way To A 'Vagina-Free Life'.,0
You Will Not Believe What It Cost The NRA To Make Sure Background Checks Got Killed,1
A Comedian Made A Special Video For Some Friends Who Are Dealing With Identity Issues,0
This Is What Happens When A Judge Sentences A Man To Dress Up Like A Woman,1
A Comedian Puts 11 Pictures Up On The Screen. 1 Of Them Is Really Not OK.,1
What People Who Get Bombed All The Time Have To Say To Boston,1
A Comedian Talks About Why No One Sent Her Cards Or Flowers When She Was In The Hospital,0
So this is what you do when you leave the NBA,1
Homelessness And Hunger COULD Be Solved Through Charity If America Didn't Get In The Way,1
A Comic That Might Cause You To Look At Foreigners As Actual People,0
A commercial that was pulled in America. It's time to change the Tide.,0
"The Boy Scout Motto Is 'Always Be Prepared.' Clearly, The Anti-Gay Scoutmaster Didn't Get The Memo.",1
A company in Italy figured out a genius way to make graveyards 1000% less creepy.,0
A Company Visits Hospitalizes Vets Just Back From Iraq With Brain Trauma To Fleece Them Of Benefits,0
The Zombie Bill That Could Destroy Your Right To Privacy,1
"A condom fundraising video that has it all. Unicorns, two goofy German guys, and hilarious visuals.",0
A Congressperson Endorses Legalized Bribery Of Congress. Honest Shellacking Ensues.,0
A Courageous Answer To A Brilliant Question That America Just Plain Stopped Asking About Its Cities,1
"The State Of The World Is The Question, And GIRLS Are The Answer",1
A Crazy Story I Didn't Know About The Pill Happened In My Mom's Lifetime,0
A creepy parody commercial that shows exactly the wrong way to treat a puppy.,0
Obamacare Explained. In 90 Seconds. By Nurses.,1
Nurses Explain How Obamacare Will Affect Your Future,1
A Crime That Can Put These Men Behind Bars For Decades Is Most Certainly Not A Crime,0
Best,1
"For Every 3 Friends You Have, Statistically Only 1 Of You Is Actually Happy ",1
A Crowdfunded Super PAC Is Targeting Politicians Who Let Money Corrupt Government,0
"A dad writes a problematic letter to his unborn daughter, then fixes it",0
"What Happened To Our Jobs, Schools, Roads, And Bridges In One Incredible Clip",1
A Delightful Little Ditty About Something That Everybody Who Owns A Pair Of Balls Needs To Do,1
A Director Gives A 'Behind The Scenes Look' Into An Animal World,0
An Amazing Thing Happened When A Sporting Goods Store And A Fortune Cookie Had A Baby...,1
A Disney Nanny With Magic Powers Is Sick And Tired Of Her Cheap Boss Ruining Everything,0
"They Make Oil, Lycra, Carpet Cleaner, Toilet Tissue. Oh, And Maybe The End Of Democracy.",1
A Dispatch From The Front Lines In The Fight Against Bullying,0
A Disposable Coffee Cup Has Inspired An Indispensable Idea,1
A Doctor Used To Think Mental Illness Was Contagious. Now He Wants To Change The Way It's Treated.,0
"A Prison Ignored The Most Obvious Cries For Help, And The Result Is Devastating",1
"Once Again, A Corporation Failed At Its Job. The Result is Heartbreaking. ",1
A Fact I Wish Surprised Me: Most Criminals Who Get The Death Penalty Killed A White Person,0
A fake interview about Walmart's shady tactics that I wish was real,0
A Politician Learned The Hard Way What It’s Like To Actually Live On Government Handouts,1
A Far-Away War Got Too Close When She Learned Drones Were Being Controlled From Her Town,0
A Politician Learned The Hard Way What It’s Like To Actually Live On Government Handouts,1
Best,1
A Few Facts About The Student Loan Crisis That’ll Make You Wanna Scream,0
A Politician Learned The Hard Way What It’s Like To Actually Live On Government Handouts,1
WHOA: 9-Year-Old Proves THAT Even 'Failing' Schools Are Capable Of Producing Ridiculously Smart Kids,1
"A Few Hundred Years Ago, We Would Have Burned This Guy At The Stake For What He Knows",0
A Film Crew Exposes A Real Sports Event As Big As (And Worse Than) The Hunger Games,0
"A Film Crew Exposes The Planning Of A Real Sports Event That Could Cost $220 Billion And 4,000 Lives",0
"This Unjust War Costs Us About $3.6 Billion Every Year. No Not Iraq or Afghanistan, The Other One.",1
A Filmmaker Was Asked A Very Serious Question At His New Movie Screening. His Answer Was Incredible.,1
A Football Team Is Taking Their Towels Off To Show Men How To Check For Cancer,1
Stupid Law Says No Gay Marriage? Google Says Challenge Accepted.,1
A Friend Of Mine With A Beautiful Soul Posted A Slam Poem On Facebook. And I Can’t Get Enough Of It.,0
"Stephen Colbert Ridicules A Paper For Firing It's Photojournalists. Yes, There's An App For That.",1
"You're Probably A Part Of This Crowd, And Thats Why Corporate America Is Scared Of You",1
A Friend Of Mine With A Beautiful Soul Posted A Slam Poem On Facebook. And I Can’t Get Enough Of It.,1
A Funny (But True) Message To Men Who Live In The Saddest Corner Of The Internet,0
"What Do You Get When You Take A City And Add 12,000 Lemon Trees?",1
Hold Up. Are Hamburgers (Or Lack Thereof) Really The Answer To Global Warming?,1
A funny thing happens when big companies like McDonald’s ask for feedback on Facebook.,0
A Giant Religion Just Took A Teeny Baby Step Towards Love And Acceptance,0
Moving To Mars Ain't Happening. Time To Salvage The Planet We've Got.,1
A Great Way To Send Money Home To Your Starving Family — As Long As They Don't Live In Somalia,0
Moving To Mars Ain't Happening. Time To Salvage The Planet We've Got.,1
"A group of celebrities asked me to visit a website. What I found was alarming, to say the least.",0
"Stupid Law Says ""NO"" To Gay Marriage!? Google Says ""Challenge Accepted"".",1
Stupid Law Says NO Gay Marriage!? Google Says Challenge Accepted.,1
A Hidden Camera Shows A Day In The Life Of 1 Little Person,1
A Hilarious Love Story With A Twist Dorito Ending That Doritos Will Kind Of Hate,0
A Hollywood Actor Who’s Had Enough Of Our Broken Government Is Actually Doing Something About It,0
"What Happens When Our Computers Outsmart Us? Something Awesome, According To This Guy.",1
A Hollywood Actor Who’s Had Enough Of Our Broken Government Is Actually Doing Something About It,1
A Kid Says What Everyone Else Is Thinking When Someone Gets Bullied,0
These Parents Are Modeling Tolerance For Their Children Just Like We All Should,1
A Kid Working On A Family Farm Is No Biggie. But These Are Not Family Farms. So What The?,0
"Troubled Kids These Days Need Help, This Is What They're Getting Instead. ",1
"A Late Night Host Got Left Off The List Of Late Night Hosts, So He Decided Call Them Out For It",0
A Letter From A Teacher — 'Dear Parent: About THAT Kid …',0
A Little Girl’s 9-1-1 Call That Will Break Your Heart,0
This Politician Proves That Money In Politics Is (Quite Literally) A Dirty Business,1
"A Lot Of People Don't Get To Be Who They Really Are, And The Reason Might Hit Close To Home",0
"A Lot Of People Don't Get To Be Who They Really Are, And The Reason Might Hit Close To Home",1
Simplest Description of PTSD Ever Told In Two And Half Minutes,1
A lot of stories about having a baby are heartwarming. Hers is tragic.,0
A major American theater just cast a black woman as Hamlet and it looks so friggin' cool.,1
Watch an impatient U.S. immigration officer deport a lady he probably shouldn't be deporting,1
A major American theater just cast a black woman as Hamlet and it looks so friggin' cool.,0
Watch A Jerktacular U.S. Immigration Officer Deport A Lady He Probably Shouldn't Be Deporting. EVER.,1
Watch A Jerktacular U.S. Immigration Officer Deport A Lady He Probably Shouldn't Be Deporting.,1
A Man Exposes His Soul About The State Of A Country Fallen,0
A Man Fell Into A Fire. Then They Shot Him With A Really Nice Gun To Make Him Feel Better.,1
A Man Who Cares Immensely For His Students Wants To Change The Way We See Them,0
I never expected a 14-year-old's speech on gay rights to leave me speechless,1
I Want To Go To The Confidence Store And Buy What This Kid Has,1
"A Map Of The United States With Some Names You Know ... And Others That Are Like, Where?",0
"A movie went behind the scenes, and now SeaWorld is trying to stay afloat.",0
The Law Most Landlords Hope You Never Hear About.,1
"A movie went behind the scenes, and now SeaWorld is trying to stay afloat.",1
Over-Aged Bully Tries To Stop Grieving Father From Speaking. It Does Not Work.,1
Best,1
Fox News Spends 6 Minutes Describing Why Mr. Rogers Was An 'Evil Evil Man',1
A NASA astronaut explains how to get to the Space Station and why he's living there for a year.<br>,0
Fox News' Anti-Mr. Rogers Smear Campaign Is Borderline Unforgivable,1
A New York City woman just made the kind of movie that Hollywood never wants to make.,0
A New York woman just made the kind of movie that Hollywood never wants to make.,1
People Standing Together With A Common Goal Just Makes My Eyes All Watery,1
A Nice Girl Waved At Him. He Didn't Wave Back Because She Was Gay. His Dad Responded Appropriately.,0
" I Would Have Answered ""superhero"" To This Question. John Lennon's Answer Was Much Better.",1
What We All Need To Remember When Contemplating Our Goals In Life. Thanks John Lennon.,1
A Nice Girl Waved At Him. He Didn't Wave Back Because She Was Gay. His Dad Responded Appropriately.,1
"The Recovery Is Over! Stock Market Is Up! Life Is Great! Wait, What?",1
A No BS Video About The BS In Our Food System,1
A Not Real At All Study Confirms Moving The Corners Of The Mouth Up Causes Happy To Form,0
Dog Tries To Save Owner After Cops Handcuff Him. What Ensues Is Heartbreaking.,1
A Politician Tries To Pretend He's Not Homophobic Anymore. It Took A Comedian To Set Him Straight.,0
The True Story Of A Man With No Heart. Literally No Heart.,1
A powerful poem by Maya Angelou comes alive again through these little girls.,1
What This 14-Year Old Can Do With Only A Picture And Junks Scraps Is MacGyverrific,1
"A Preacher Talks About A Few Court Cases You Might Not Know About, But Affect Us Every Day",0
"If A 14-Year Old In Africa Can Build These With Scraps, Imagine What We Could Do In America?",1
A Preview Of What The Classroom Might Look Like In 2025 Is Also A Look Into Our Planet's Future,0
WTF?!? Doctors Prove Life Possible Without A Pulse Or A Heartbeat.,1
A Preview Of What The Classroom Might Look Like In 2025 Is Also A Look Into Our Planet's Future,0
"If You're Young, This Is The Only Obamacare Infographic You Need. I Obamadare You To Click On It.",1
A Problem Big Enough To Hold A Dance Party Inside,0
I Doubt His Parents Thought Sending Their Gay Kid To A Christian School Would Have These Results,1
This New Zealander Wants To Mess With Texas (For A Very Good Reason),1
A Proud Look At What Can Happen When You Work Through The Hard Times,0
A Scientist Gives Us Some Real Talk About How She Got To Where She Is Today,0
Straight-Shooting Texas Lawmaker Reminds Male Colleagues Exactly Who Changed Their Diapers,1
"A Secret Was Tearing Him Apart, Telling It Brought His Team Closer",0
CNBC Hosts Decide To Teach Senator Warren How Regulations Work. Probably Shouldn't Have Done That.,1
CNBC Hosts Lecture Senator Warren On How Bank Regulations Work. Probably Shouldn't Have Done That.,1
A Senator Tried To Outsmart A Doctor. Didn't Work Out Too Well For Him.,0
A snarky fashion critic proves you can actually  learn from your mistakes.,0
"The Wheelchair Is 2,300 Years Old. There’s Finally A Better Option.",1
A social experiment to see what would happen when family members became 'homeless',0
"If You Came Here And Saw This Much Excess, You Would Be Livid Too.",1
A Spoiler-Free Nugget Of Wisdom From ‘Orange Is The New Black’,0
"After being confronted with racism, these kids say what I wish everyone thought",1
A sportscaster goes off on the NFL's poor taste in men.,0
"If this is how the nice kids think, imagine how the not-so-nice ones feel ",1
Holy Crap. What Are We Accidentally Teaching Our Kids?,1
A Store Owner Pranks Customers And I Can't Help But Love Him For It,0
A Straight College Kid Stands Up To Bullying Politicians Who Don't Want His Moms To Stay Married,1
Meet A Young Person Who Can't Distinguish Corporate Farmers From Drug Dealers,1
You'll Want To See Why This Teen Can't Distinguish Corporate Farmers From Drug Dealers,1
A Strategy To Combat Crime That McGruff Wished He Thought Of,0
A Tale From 9/11 Still Brings A Tear To Your Eye? Here's How Rest Of Your Body Is Reacting.,0
WATCH: The Most Honest Lady-Business Advertisement I've Ever Seen. Period.,1
A Tiny Hashtag Gives Your Food Pictures A Huge Power To Feed People Worlds Away,1
Know Someone Who Has More Likes Than Friends? This Man Has A Few Words For Them.,1
A Tumblr user explains why a food bank partnering with cops to give out free food is so helpful.,0
Split Screen Look At Growing Up Rich Vs. Growing Up Poor,1
A TV Host’s Response To An Intolerant Jerk Isn’t Clever Or Witty. It’s Just Absolutely Perfect.,0
"At McDonald's, The Food Is Not Quite Real. Now, The Paychecks Aren't Either.",1
Why College Students Will Soon Be Screwed As Soon As They Graduate,1
"A Union Rep Gets Asked Some Hard Questions, And His Answers May Surprise You.",0
A Union Rep Is Asked Some Hard Questions. His Answers Are Surprising.,0
How Waste Isn't Just Throwing Things Away,1
"A Utah town's solution to homelessness is so good, every state will be mad that they weren't first.",1
"I'm Not Religious, But This Time I Think We Should Listen To Jesus",1
A Very Ambitious Project From The U.S. Department Of Energy,0
A Very Ambitious Project From The U.S. Department Of Energy,0
"The Simplest, Most Brilliant Way to Save Gas That I Have Ever Seen",1
A Very Playful Clean Energy Idea,0
A Video About Hate That You’ll Love To Hate Watch,0
Meet 5 Women Who Took Advantage Of A Law You Should Know More About,1
A Video Narrated By A Celebrity Was Just Shown To Over 100 World Leaders. It's Obvious Why.,0
A Vivid Description Of The Day The Ghost Began To Haunt Him,0
"Vaginas Prove Too Much For One University, Get Banned",1
"Don't They Know Banning Vaginas Will Only Draw More Attention?
",1
A Woman In The Audience Asks How He Deals With His Anger. I'll Never Look At Movies The Same Way.,0
"A Woman, A Black Person, And A Lesbian All Walk Into A Bar At The Same Time. It Ended Horribly.",1
What’s It Like To Take Pictures In A Country Where Cameras Were Outlawed?,1
A Young Woman Falls Over In The Midst Of Her Dance Routine In The Most Unfunny Way You Could Imagine,1
"According To This, The Mexican Border Is Basically The New Ellis Island. How Do You Feel About That?",0
"What If The Women In Your Life Had No Choice But To Keep Having Babies, Even If It Killed Them?
",1
Actors ≠ Supermodels — An Explainer By The Glorious Emma Thompson,1
"Adoption Is A Challenge, Certainly. But There Are States That Make It Impossible For Some.",0
"A Ginormous Energy Company Picked A Fight With College Kids And Really, Really, Regretted It",1
Adorable Kiddos Honor The Greats That Have Come Before Them,0
Advertising Seems Harmless ... Until You See It For What It Really Is,0
"No Matter What You Think About Intervening In Syria, Here’s One Voice You Should Hear Out
",1
Think We Should Bomb Syria?,1
"After Being Confronted With Racism, This Group Of Kids Say What I Wish Everyone Thought",0
"After Living On The Streets, These People Finally Have A Place To Call Home",0
That Time A Big Fancy Corporate Shill Realized His Entire Life Was A Horrible Lie,1
"After Seeing His Mom Harassed By Men, This Little Kid Decided To Send A Big Message Out To The World",1
"After Working Hard Their Entire Lives, Don't They Deserve More?",0
"Watch The Moment Russell Brand Rips Into A Big, Famous Sponsor With A Terrible Past",1
Russell Brand Delivers His Brand Of Controversy To A Brand With A Terrible Past,1
Age? 16. Past Accomplishments? Developing A More Efficient Way To Diagnose A Cancer. NBD.,1
"Ahh, Michigan: Cherries, Fish, Lakes, And Getting Fired For Something Absurd.",0
Brain Surgeons Needed Help During Surgery. They Found Inspiration In The Most Unlikely Place.,1
The American Dream Is No Longer Where You Think It Is,1
"All Girls Aren’t Klutzes, But Hollywood Writes Them That Way So You Can, Er, Relate To Them?!?",0
All Of The Coolest Moments In Your Favorite Movies Ruined By Shrill Science Facts,0
See How A Bunch Of Students Got Vaginas Banned At Their University,1
"The Wanted To Make A Point About Their Lady Parts, But They Got Banned Instead",1
All Of The Coolest Moments In Your Favorite Movies Ruined By Shrill Science Facts,1
Allowance Would Certainly Get More Lucrative,0
Don't You Love It When Your Family And Friends Surprise You In The Aisle Of A Home Depot?,1
"Although he talks about women, he spends a lot of time talking about men's body issues",0
"Beautiful Flash Mob Of Marriage Proposal Adorableness, Aisle 10",1
America Is #1 In A Lot Of Things. Why Is THIS One Of Them?,0
Here's A Women's Rights Issue That You May Not Have Heard About,1
"When You Think Of Fashion Models, What's The First Thing That Comes To Mind?",1
America Is Accidentally But Consistently Destroying Charities,0
"America Wouldn’t Accept His Views, So He Exported Them. I'm Still Ashamed.",0
"One Infographic You’ll Want To Take To The Grocery Store And Tape To Your Fridge
",1
America's $4 Billion Embarrassment,0
"I Will Never Forget This Man, And For The Sake Of Humanity I Hope America Doesn't Either",1
An 83 Year Old Movie Shows Exactly What To Say To Anyone Who Tells You How To Live Your Life,0
"Next Time You Bully Someone, You Better Hope They're Not Related To Him",1
When A Father Gets Fed Up With The System Watch What Happens,1
An 83 Year Old Movie Shows Exactly What To Say To Anyone Who Tells You How To Live Your Life,0
An Amazing Documentary Needs Your Help,0
An amazing story of a dying girl's wish and some incredible sportsmanship,0
A Bunch Of Government Officials Were Told That Gay People Were Inappropriate. So They Did This.,1
"An Anthem For Anybody Who’s Ever Struggled. So Yeah, This Is For Everybody.",1
I'm Sorry ... Immigrants Contribute HOW MUCH Money To This Country?,1
An Anti-Bully Movement Is Going On. It Starts With A Finger And Ends With A Selfie.,0
An Incredibly Inspiring Reason That ‘Yes You Can’ Should Be The Three Words You Tell Your Kids Daily,0
I'm Sorry ... People With Funny Accents Contribute HOW MUCH Money To This Country?,1
An incredibly thoughtful and calm discussion about the Oscars and race,0
He Breathes The Value Of Life Into Education,1
An inventor built a zero-emissions car out of a popular kids' toy. That's not even the best part.,0
An NFL player paid to be tough is about to tell you what *real* strength is.,0
Billionaire On Billionaire Class Warfare: 61 Americans Go Home Empty-Handed,1
An Organization With A Simple Name And A Revolutionary Promise. This Is The Future.,0
"Corporate America, Consider Yourself Schooled. You're Welcome.",1
An Underreported Health Crisis That Some Can't Remember And Loved Ones Can't Forget,0
An Underreported Health Crisis That Some Can't Remember And Loved Ones Can't Forget,0
Witness Class Warfare Like You've Never Seen It: Billionaire Vs. Billionaire,1
These Comments About Politics Are Too Mean To Be True. But They ARE True.,1
An Unlikely Face Drops A Monster Of A Speech On Anti-Gay Football Teams. Very Satisfying To Watch.,1
Angry About How Things Have Been Going Lately? Here’s Why Congress Doesn’t Care.,0
"If You've Ever Heard These 10 Stupid Arguments, You're Not Alone",1
Best,1
"April 15, 2015 was an incredible day around the world, and these photos are the proof.",0
Being Born A Woman And Of Color Can Seriously Impact Your Family's Wealth,1
Archie Bunker’s Brilliant (?) Summary Of What Equal Pay Would Do To America,0
There's Something Shocking That Your Boss Can Do To You In Michigan And 35 Other States,1
Best,1
Are You Unlucky Enough To Be Witnessing The Death Of America's Middle Class?,0
"This Isn't The Party Of Abraham Lincoln, And It Hasn't Been For A Long Damned Time",1
"As Other Senators Try to Cut Social Programs, Watch One Politician Do Something Else With Them",0
Just An Average Night In DC. Try Not To Throw Up.,1
Best,1
Asking Your Mom For A Convertible Would Probably Become Standard Practice,0
Debt Collection Agency Unleashes New Scheme To Get Us To Pay Up. And It’s Working.,1
Astronauts Have 1 Really Important Thing They'd Like You To Learn About. Before It's Too Late.,0
"One Of The World’s Most Hated Groups Found Her, Took Her Money, And Left Her In Tears (Of Happiness)",1
Best,1
A Debt Collector Who Spreads Joy? I Hope This Catches On.,1
"At first I found myself singing along, then I realized just how messed up the lyrics were",1
"At First, I Thought These Kids Were In Trouble. To This Cop, They're A Joy.",0
"Exposing Political Corruption, One Cross Country Road Trip At A Time",1
Best,1
"At What Age Do Most Girls Stop Mugging In Front Of The Camera? Whatever It Is, It's Way Too Young.",1
The Get-Rich-Quick Plan That Is Actually Killing People,1
Audio From Early Space Voyages Sounds More Like A Road Trip Than A Space Flight,1
The Reality Of What Food Stamps Cost All Of Us In One Incredibly Simple Graphic,1
Best,1
"How 'We, The People' Became 'We, The Corporations' In Under 4 Minutes",1
Australia Figured Out A Way To Stop Wasting So Much Food — Hashtags And Virgin Mobile,0
Awful Bank Regulators: 'We Might Not Help Average Americans.' Senator Warren: 'Wrong Answer.',0
"One Look At This Graphic And You Might Think Women Aren't Creative, Literate, Or Intelligent",1
Best,1
"Back In My Day, I’d Walk Five Minutes (Each Way!) To School, AND It Took A Felony To Get Locked Up",0
A Catalog That Believes Reality Can Sell Clothes Better Than Photoshop,1
A Catalog That Believes Reality Can Sell Clothes Better Than Photoshop,1
Best,1
Backwards Stuff To Think Of While Sitting At The Table This Christmas,0
"Ever Think That Reality Could Sell Clothes Better Than Photoshop? Then, You're In Luck!",1
BADASS WOMEN ALERT: These Women Won't Let A War-Torn Country Keep Them From Living And Thriving,0
BADASS WOMEN ALERT: These Women Won't Let A War-Torn Country Keep Them From Living And Thriving,0
"Why Does Europe Always Do Things Better? Washing Machines, Public Transport And Now… Economies? ",1
Banksy Has Updated His Famous 'The Girl With The Balloon' Artwork To Stand With Syria,0
"If One Of These People Were My Mother Or Father, I'd Have To Lock Myself Up",1
